,logFC,AveExpr,t,P.Value,adj.P.Val,B,adj p val log,,GranPos,LFC,adjPV,,mtorcPos,LFC,adjPV,,riboPos,LFC,adjPV
CLSTN3,0.78955866,20.28719914,2.030165097,0.082157408,0.192290491,-5.28348022,0.716042192,,,,,,,,,,,,
ABCD1,0.789312437,23.27389533,2.993630225,0.020277879,0.081283401,-3.859153792,1.089998135,,,,,,,,,,,,
PEX10,0.789098674,19.23905613,2.813104738,0.026205779,0.094369525,-4.126306073,1.02516823,,,,,,,,,,,,
PSMB4,0.788829481,24.94421043,1.06008234,0.324529555,0.486507949,-6.527757895,0.31291006,,,,,,,,,,,,
ATP6V1B2,0.788103882,28.14797357,2.314060681,0.054099959,0.146345559,-4.868091415,0.834620453,,,,,,,,,,,,
LARP1B,0.786261596,21.44956675,1.929238806,0.095300593,0.210912777,-5.428164526,0.67589711,,,,,,,,,,,,
GRIA4,0.785764914,20.89467997,3.122403527,0.016928298,0.074041692,-3.66992902,1.130523666,,,,,,,,,,,,
RBM28,0.785706578,22.40401255,2.641468963,0.03354924,0.108932434,-4.381561898,0.96284279,,,,,,,,,,,,
KIAA1715,0.785115264,23.20173285,2.888682275,0.02352738,0.088541692,-4.014240526,1.052852182,,,,,,,,,,,,
VPS18,0.784989854,23.95610354,3.745292016,0.007298693,0.047762018,-2.778611039,1.320917331,,,,,,,,,,,,
TUSC3,0.784539953,20.94921888,2.928262235,0.022241448,0.085948866,-3.955671238,1.065759847,,,,,,,,,,,,
HMOX2,0.784417043,22.95852512,2.534915042,0.039162303,0.118971603,-4.540211551,0.924556688,,,,,,,,,,,,
YIF1B,0.784399694,21.9970469,3.038842084,0.019027884,0.078958373,-3.792570341,1.102601811,,,,,,,,,,,,
RPS14,0.783842496,26.77615304,1.530890926,0.169929514,0.311597794,-5.972889117,0.506405625,,,,,,,,,,,,
SCAMP1,0.783469509,22.77573013,3.45807946,0.010683787,0.058316607,-3.183992312,1.234207756,,,,,,,,,,,,
RBM8A,0.783251796,21.14842876,1.523016422,0.171849043,0.314451911,-5.983100836,0.502445762,,,,,,,,,,,,
RTN1,0.782449009,25.67213114,2.743103083,0.028973556,0.100367613,-4.230317385,0.998406406,,,,,,,,,,,,
GPATCH2L,0.779506434,19.67678559,2.348095283,0.051463325,0.141282962,-4.817729571,0.849910208,,,,,,,,,,,,
MBOAT7,0.779287003,22.37482567,2.24079716,0.060251726,0.157105346,-4.976183478,0.803809036,,,,,,,,,,,,
CTNNAL1,0.778272156,19.88703986,1.140059606,0.29199851,0.45046047,-6.44270049,0.346343315,,,,,,,,,,,,
GCC2,0.776146966,19.22309334,2.488568277,0.041899564,0.125223977,-4.609176838,0.902312508,,,,,,,,,,,,
RINT1,0.775997476,19.23678538,2.623136313,0.03445188,0.110846315,-4.408858553,0.955278739,,,,,,,,,,,,
PALM,0.775258999,27.05281106,2.085375652,0.075743534,0.182321715,-5.203544834,0.739161604,,,,,,,,,,,,
EMC4,0.774624189,20.76677352,3.097670712,0.017522748,0.075552397,-3.706168875,1.121751753,,,,,,,,,,,,
KMT2A,0.772642555,21.94179273,1.753826221,0.12318426,0.251641921,-5.674062298,0.599217009,,,,,,,,,,,,
TOMM70A,0.771358233,20.25876252,2.326830155,0.053094944,0.144454981,-4.849205886,0.840267478,,,,,,,,,,,,
PTBP3,0.770207963,21.53158752,1.182411778,0.275886239,0.432517111,-6.39594632,0.363996706,,,,,,,,,,,,
PKP4,0.770039726,22.65593377,3.029848784,0.019269843,0.079378298,-3.805802723,1.100298217,,,,,,,,,,,,
ELAVL3,0.76974945,25.90363335,3.206720616,0.015058285,0.069695913,-3.546792692,1.156792686,,,,,,,,,,,,
DLST,0.769269305,23.57669472,2.80801987,0.02639715,0.094725618,-4.13385524,1.02353255,,,,,,,,,,,,
ATP6V1D,0.767757433,25.92974229,2.292903476,0.055807946,0.149299393,-4.899354201,0.825941959,,,,,,,,,,,,
PCDHGB2,0.767294484,19.91465223,1.562880459,0.162332495,0.304343997,-5.931141853,0.51663526,,,,,,,,,,,,
FKBP8,0.767055465,23.91198872,2.816249927,0.02608814,0.094054609,-4.121637158,1.026619918,,,,,,,,,,,,
SLC35E1,0.766258462,22.69740375,2.901511642,0.023102163,0.087910874,-3.995246185,1.055957404,,,,,,,,,,,,
ARMCX2,0.765149234,20.74427402,3.001501357,0.020054143,0.080873716,-3.847551311,1.092192601,,,,,,,,,,,,
BSCL2,0.764914582,25.04108461,3.44767961,0.010834662,0.058706447,-3.198863414,1.231314205,,,,,,,,,,,,
RPS7,0.764789452,26.08362954,2.036944145,0.081341722,0.191177805,-5.273692953,0.718562528,,,,,,,,,,,,
RBMS3,0.764648543,23.3146872,2.862754162,0.024412166,0.0906841,-4.052655014,1.042468854,,,,,,,,,,,,
PIGM,0.763906877,17.23364099,1.783918582,0.117897759,0.244607612,-5.632461276,0.611530032,,,,,,,,,,,,
ASCC2,0.76365387,24.04017896,3.032811581,0.019189772,0.079217186,-3.801442706,1.101180587,,,,,,,,,,,,
PPP3CB,0.762471926,27.81440733,3.815714225,0.006660121,0.046244474,-2.680866736,1.334940158,,,,,,,,,,,,
LMBRD2,0.762309263,23.13365725,3.660741019,0.008154753,0.050339007,-2.896847647,1.298095356,,,,,,,,,,,,
PEX12,0.762252111,19.77280745,2.907806152,0.022896514,0.087683945,-3.985930313,1.057079917,,,,,,,,,,,,
ACBD5,0.76181578,22.32767268,2.690502315,0.031254125,0.104846973,-4.308570024,0.979444103,,,,,,,,,,,,
WWP1,0.76115532,21.59429539,3.090487518,0.017699536,0.075774676,-3.716703772,1.120475913,,,,,,,,,,,,
NCBP1,0.760264811,23.4808937,3.220690364,0.014770402,0.069359191,-3.526455655,1.15889598,,,,,,,,,,,,
SNRNP70,0.760214011,22.24709677,2.4456611,0.044609725,0.129000156,-4.672971109,0.889409764,,,,,,,,,,,,
RPL27A,0.759737782,26.74325038,2.748211712,0.028761547,0.099877589,-4.22272122,1.000531949,,,,,,,,,,,,
PABPC4,0.757865643,28.57120317,3.925546422,0.005782459,0.042561702,-2.529790303,1.37098101,,,,,,,,,,,,
RPS4X,0.756293032,29.16095166,3.258771012,0.014015173,0.067870514,-3.471115815,1.168318861,,,,,,,,,,,,
EEF1E1,0.756104659,25.27470143,2.19656816,0.064303808,0.163924534,-5.041186561,0.785356041,,,,,,,,,,,,
ATP1A1,0.75571647,25.08272453,2.445307365,0.044632803,0.129000156,-4.673496772,0.889409764,,,,,,,,,,,,
RND2,0.755573769,17.92242359,2.836206741,0.025354531,0.092771611,-4.092021975,1.032584902,,,,,,,,,,,,
WDR5,0.753860895,22.12524896,3.462678987,0.010617784,0.058278611,-3.17741937,1.234490809,,,,,,,,,,,,
TOP1,0.753258691,20.79449622,1.236811291,0.256288886,0.412295037,-6.334251271,0.384791893,,,,,,,,,,,,
MED19,0.753035772,17.62391427,1.934832205,0.094520942,0.20989237,-5.420200228,0.678003348,,,,,,,,,,,,
ZNF592,0.751832943,22.26928425,3.252011895,0.014146142,0.06796229,-3.48092776,1.167731995,,,,,,,,,,,,
ST7,0.751763443,23.87906453,3.55366089,0.009398766,0.054680221,-3.047926736,1.262169741,,,,,,,,,,,,
CCDC22,0.751691507,20.6309865,2.229534516,0.061258422,0.15873369,-4.99275582,0.799330887,,,,,,,,,,,,
RPL7A,0.751540332,27.98653116,3.061815574,0.018424344,0.077320344,-3.758796328,1.111706224,,,,,,,,,,,,
SNX15,0.749346405,17.99043414,3.56999924,0.009196347,0.05409541,-3.024780699,1.266839581,,,,,,,,,,,,
KIAA0196,0.749092036,20.98871298,2.613652829,0.034928703,0.111681775,-4.422979749,0.952017693,,,,,,,,,,,,
CERS6,0.748221029,21.29193221,3.424046878,0.011186128,0.059479083,-3.232703833,1.225635733,,,,,,,,,,,,
SDF4,0.747482888,20.4790125,1.627578783,0.147919134,0.285162307,-5.845478833,0.54490788,,,,,,,,,,,,
HADHB,0.747095164,21.9488964,3.072054752,0.018161941,0.076750014,-3.743756806,1.114921539,,,,,,,,,,,,
TUBA1C,0.746868067,18.9705275,0.756679257,0.474090775,0.61906244,-6.806821461,0.208265545,,,,,,,,,,,,
GRSF1,0.746845732,21.66779683,3.213911295,0.01490936,0.069547943,-3.536322202,1.157715712,,,,,,,,,,,,
RPS6,0.744226063,27.7933145,3.474445057,0.010450936,0.058032821,-3.160616544,1.236326321,,,,,,,,,,,,
ATF6B,0.742779136,16.49047585,3.350963275,0.012353032,0.063285076,-3.337759291,1.198698694,,,,,,,,,,,,
LRRC59,0.741530401,20.67140913,2.470047002,0.043047998,0.12687854,-4.636721701,0.896611828,,,,,,,,,,,,
RNF41,0.739633543,22.28203627,2.877770949,0.023895528,0.089413488,-4.030402197,1.048596964,,,,,,,,,,,,
SMG6,0.738836772,23.4781684,2.425039407,0.045975824,0.131222665,-4.703607089,0.881991145,,,,,,,,,,,,
TIAL1,0.738450727,22.61653206,3.218519066,0.014814758,0.069369654,-3.529615368,1.158830471,,,,,,,,,,,,
KIAA1024,0.737998665,19.99418362,2.563608408,0.03756101,0.116394761,-4.49749591,0.934066568,,,,,,,,,,,,
ADCY2,0.737437906,15.29030629,1.644660324,0.144317986,0.280618518,-5.822601985,0.551883673,,,,,,,,,,,,
TSG101,0.737146415,24.92932281,2.983111933,0.020581002,0.08180525,-3.87466511,1.087218823,,,,,,,,,,,,
BZRAP1,0.736986876,21.87315579,2.660247794,0.032650147,0.10691224,-4.353603739,0.970972572,,,,,,,,,,,,
KIF4B,0.736179471,29.84077748,2.169518178,0.066916319,0.168460941,-5.08083289,0.773500776,,,,,,,,,,,,
TARBP2,0.735488884,25.40284706,3.249596506,0.014193262,0.06796592,-3.484435203,1.167708802,,,,,,,,,,,,
AK2,0.735135973,20.1788582,2.1399708,0.069892105,0.172978888,-5.124035433,0.7620069,,,,,,,,,,,,
BRD7,0.733882779,22.11600623,2.855848196,0.024653702,0.09128533,-4.062892539,1.039599012,,,,,,,,,,,,
RARS,0.732829602,27.62239837,3.285680362,0.013506513,0.066697924,-3.432098856,1.17588768,,,,,,,,,,,,
TRPM7,0.731231691,24.26538905,2.926895362,0.022284596,0.085948866,-3.95769237,1.065759847,,,,,,,,,,,,
NAP1L5,0.730386793,21.62989039,0.892569207,0.401915202,0.557639289,-6.690950875,0.253646635,,,,,,,,,,,,
RPS9,0.729896816,29.072224,3.926128537,0.005778158,0.042561702,-2.528994102,1.37098101,,,,,,,,,,,,
SNRPB,0.729852677,23.4289295,1.632886932,0.146791153,0.283889812,-5.838381024,0.546850193,,,,,,,,,,,,
C11orf58,0.729171668,19.75578072,1.134756633,0.29406967,0.452302453,-6.44847313,0.344571057,,,,,,,,,,,,
TM9SF3,0.728522488,20.86953165,2.522124265,0.039898739,0.120285975,-4.559249122,0.919785006,,,,,,,,,,,,
ZC3H12C,0.72838215,20.38994787,1.848415728,0.107291776,0.229555754,-5.542445586,0.639111818,,,,,,,,,,,,
PIGU,0.728344145,21.37808303,2.56675826,0.037389408,0.116328352,-4.492806172,0.934314423,,,,,,,,,,,,
KCTD10,0.728265729,20.0011896,1.417745077,0.199477124,0.348060537,-6.116997802,0.458345214,,,,,,,,,,,,
FAM8A1,0.727786305,22.2858336,1.878097901,0.102726571,0.222251526,-5.500656428,0.653155249,,,,,,,,,,,,
ZC3H15,0.72686625,22.29200343,3.15821178,0.016105472,0.072151836,-3.617555404,1.141752613,,,,,,,,,,,,
ATG9A,0.726855978,22.85733918,2.852632585,0.024767026,0.09159728,-4.067660219,1.038117422,,,,,,,,,,,,
BAG4,0.726654774,21.99984835,2.220755823,0.062054872,0.160016418,-5.00566407,0.795835456,,,,,,,,,,,,
SLC16A1,0.726029674,23.87681055,1.912223795,0.097711158,0.214792592,-5.45234946,0.667980702,,,,,,,,,,,,
PDK1,0.725145916,22.41040848,3.505998911,0.010017309,0.056890131,-3.1156373,1.244963065,,,,,,,,,,,,
SAMD10,0.725049732,22.18257104,3.090442008,0.017700662,0.075774676,-3.716770532,1.120475913,,,,,,,,,,,,
GULP1,0.722689547,20.83644807,1.353678665,0.218181633,0.370350678,-6.195913116,0.431386856,,,,,,,,,,,,
DDX51,0.722631731,16.93678697,1.441310597,0.192965575,0.340192942,-6.087464315,0.468274701,,,,,,,,,,,,
IFT74,0.722001327,20.89065375,2.339243525,0.052136192,0.142669076,-4.830835625,0.84567015,,,,,,,,,,,,
GAA,0.721784477,24.80175113,1.566904581,0.161399329,0.303119545,-5.925860961,0.518386059,,,,,,,,,,,,
ZNF346,0.721689757,20.20189444,3.505818235,0.010019736,0.056890131,-3.115894506,1.244963065,,,,,,,,,,,,
C10orf118,0.721348855,19.20280683,1.978824544,0.088603242,0.201552206,-5.357331119,0.695612443,,,,,,,,,,,,
AUTS2,0.720586076,16.4149635,1.893718544,0.100400457,0.219229172,-5.478578343,0.659101657,,,,,,,,,,,,
USO1,0.719996266,24.7703994,2.975880984,0.020792174,0.082143592,-3.885333003,1.085426308,,,,,,,,,,,,
TAF3,0.719851667,18.62545678,2.621358452,0.034540751,0.110964123,-4.411505819,0.954817415,,,,,,,,,,,,
RAB3A,0.719696131,29.87712653,2.231299631,0.061099533,0.158603413,-4.990159411,0.79968747,,,,,,,,,,,,
ANKRD52,0.718578785,20.25788532,2.978483295,0.020715913,0.082093478,-3.881493377,1.085691347,,,,,,,,,,,,
CCDC149,0.71813275,18.48646617,2.175130609,0.066365626,0.167877787,-5.072614166,0.775006764,,,,,,,,,,,,
HNRNPUL1,0.715401902,26.57902266,2.971864228,0.02091047,0.082457536,-3.891260497,1.083769646,,,,,,,,,,,,
FLVCR1,0.713412622,21.17267251,1.167398312,0.28151114,0.438583203,-6.412651238,0.357948005,,,,,,,,,,,,
KLHDC4,0.713198471,19.07213787,3.529602088,0.009705665,0.055778023,-3.082070658,1.253536885,,,,,,,,,,,,
SRSF10,0.712682865,24.34139474,2.605551299,0.035341478,0.112364926,-4.435043327,0.949369229,,,,,,,,,,,,
UVRAG,0.71221499,21.93640856,2.882686324,0.023728936,0.089104149,-4.023120837,1.050102075,,,,,,,,,,,,
FAM49A,0.711715998,19.43779154,2.79814257,0.026773098,0.095382833,-4.148522407,1.020529784,,,,,,,,,,,,
EPHA3,0.71103355,26.72917907,3.625230203,0.00854629,0.051777595,-2.946786784,1.285858126,,,,,,,,,,,,
TMUB1,0.70908822,19.89267252,2.540392171,0.038851269,0.118280529,-4.532058643,0.92708674,,,,,,,,,,,,
ZNF326,0.708505209,23.29182815,1.888899171,0.101112598,0.220115124,-5.485396171,0.657350117,,,,,,,,,,,,
VPS13B,0.708172663,18.62162105,2.259786989,0.058592104,0.154015637,-4.948212542,0.812435182,,,,,,,,,,,,
MSH6,0.70790656,24.8908203,2.835427436,0.025382767,0.092771611,-4.093178103,1.032584902,,,,,,,,,,,,
PEX14,0.706562138,25.04821297,2.302296049,0.055043029,0.147954269,-4.885479762,0.829872498,,,,,,,,,,,,
MGST3,0.706085208,23.32028638,1.987995362,0.087416311,0.199745416,-5.344175892,0.69952318,,,,,,,,,,,,
ELMOD2,0.705760646,17.95871025,0.958947557,0.369728057,0.531023016,-6.628834192,0.274886655,,,,,,,,,,,,
FNIP2,0.705688406,23.25055536,2.950485539,0.021552203,0.083960825,-3.922826834,1.075923301,,,,,,,,,,,,
MCF2L,0.705199986,22.85320711,3.089935197,0.017713208,0.075774676,-3.717513987,1.120475913,,,,,,,,,,,,
MCM5,0.703011741,16.38836147,1.500011169,0.177571169,0.322697798,-6.012783548,0.491203997,,,,,,,,,,,,
ZFYVE9,0.701277203,22.73046082,3.273031611,0.013743098,0.066990293,-3.450429518,1.173988123,,,,,,,,,,,,
U2SURP,0.700881675,26.06185651,3.111985525,0.01717603,0.074663867,-3.68518767,1.12688952,,,,,,,,,,,,
SNRPF,0.700579805,21.34762713,1.735418162,0.126528985,0.256500524,-5.699377625,0.590911743,,,,,,,,,,,,
RAB1B,0.699827781,25.2850189,3.338885666,0.012558179,0.063950343,-3.355177899,1.194157121,,,,,,,,,,,,
ZW10,0.699530129,22.52416012,2.262893743,0.058325029,0.153759403,-4.943633192,0.813158315,,,,,,,,,,,,
HELZ,0.697708065,24.64130209,2.687401037,0.031394314,0.105151144,-4.313185583,0.978185997,,,,,,,,,,,,
PPAP2A,0.695930443,17.87672005,1.7176121,0.129846494,0.260277618,-5.723765635,0.584563176,,,,,,,,,,,,
AP3B1,0.695696822,26.20166967,3.412204028,0.011366861,0.060118381,-3.249686365,1.220992726,,,,,,,,,,,,
NCAM2,0.695038936,20.52552607,2.128162658,0.071118121,0.174790892,-5.141268257,0.757481202,,,,,,,,,,,,
LMNB1,0.693853067,19.95333132,1.539990383,0.167735904,0.309649454,-5.961056689,0.509129682,,,,,,,,,,,,
AZI1,0.693751008,23.9999909,1.7996488,0.115221618,0.240377855,-5.610611664,0.619105544,,,,,,,,,,,,
MSI1,0.693647105,26.20746707,3.254952491,0.014089003,0.067915938,-3.476658444,1.168028298,,,,,,,,,,,,
MUL1,0.690506229,18.77484008,2.221173411,0.06201675,0.160016418,-5.005050229,0.795835456,,,,,,,,,,,,
FAM160A2,0.690236772,19.5614191,1.266475606,0.246109692,0.400406716,-6.299863889,0.397498647,,,,,,,,,,,,
UFL1,0.689971795,22.29938314,3.46082616,0.010644319,0.058278611,-3.180066846,1.234490809,,,,,,,,,,,,
DLGAP3,0.689751025,21.2278969,2.387085217,0.048603495,0.135774704,-4.759941171,0.867181134,,,,,,,,,,,,
TNRC6B,0.689445008,24.78493283,3.203554941,0.015124353,0.069767218,-3.551403875,1.156348596,,,,,,,,,,,,
ZFR,0.689189947,24.5417857,2.452421068,0.044171047,0.128577729,-4.662924644,0.890834249,,,,,,,,,,,,
RBFOX2,0.688993539,22.22918891,3.476311118,0.010424736,0.058032821,-3.157953186,1.236326321,,,,,,,,,,,,
C2CD2,0.688991374,21.33088057,2.211811798,0.062877078,0.161321599,-5.018806969,0.792307482,,,,,,,,,,,,
AMFR,0.688655682,20.1875831,1.635811981,0.146173025,0.283081093,-5.83446543,0.548089136,,,,,,,,,,,,
ATM,0.688483412,20.23179104,2.527636928,0.039579603,0.119725481,-4.551044529,0.92181341,,,,,,,,,,,,
DNTTIP1,0.687248424,18.20003702,2.193643968,0.064581207,0.164490535,-5.045476632,0.783859087,,,,,,,,,,,,
RBMS1,0.687159485,22.84166067,2.794180114,0.026925494,0.09561252,-4.154407483,1.019485234,,,,,,,,,,,,
SYNGR3,0.686731735,24.14856245,3.305689834,0.013141134,0.065736627,-3.403135072,1.182192587,,,,,,,,,,,,
CPEB4,0.686161434,25.78610037,3.230840007,0.014564941,0.06888341,-3.511691836,1.16188536,,,,,,,,,,,,
CD47,0.685954307,18.9245324,1.746072809,0.124582636,0.253280256,-5.684737571,0.596398664,,,,,,,,,,,,
TTC3,0.68594186,22.25889413,2.292699402,0.055824685,0.149299393,-4.899655572,0.825941959,,,,,,,,,,,,
MYEF2,0.685381285,24.04799328,2.070624659,0.077406759,0.184931421,-5.224950655,0.732989293,,,,,,,,,,,,
HNRNPC,0.684534801,24.9407193,1.391839258,0.206861563,0.358149636,-6.149155023,0.445935485,,,,,,,,,,,,
NUP210,0.683821703,18.62411153,2.15360149,0.068503172,0.170535154,-5.104119451,0.768186081,,,,,,,,,,,,
SLC27A4,0.682463848,23.31147838,3.095660416,0.017572034,0.07568806,-3.709116749,1.120972628,,,,,,,,,,,,
ABCD3,0.681978652,24.96051178,3.072814612,0.018142627,0.076744758,-3.742641044,1.114951277,,,,,,,,,,,,
NEUROG2,0.68197013,20.9895841,1.758855459,0.122285234,0.250770348,-5.667128162,0.600723817,,,,,,,,,,,,
ZIC2,0.681929385,21.47778408,1.970222716,0.08973095,0.203355039,-5.369655075,0.691745061,,,,,,,,,,,,
TMEM184B,0.680437736,18.74647216,3.101527489,0.017428605,0.075413818,-3.700514296,1.122549073,,,,,,,,,,,,
ARID2,0.677238782,22.4007257,2.011762819,0.084412715,0.195902077,-5.310007314,0.70796096,,,,,,,,,,,,
SNRPA,0.676253445,19.53697382,2.058858519,0.078759448,0.186658133,-5.242000026,0.728953082,,,,,,,,,,,,
NISCH,0.675760753,21.68386443,2.05892379,0.078751879,0.186658133,-5.241905509,0.728953082,,,,,,,,,,,,
NUBPL,0.67526225,19.07579683,3.172260803,0.015794404,0.071284629,-3.597038686,1.147004108,,,,,,,,,,,,
ARMCX3,0.674513896,22.7131912,2.713327884,0.030242249,0.102586925,-4.274605114,0.988907986,,,,,,,,,,,,
RAB39A,0.673822813,22.0365722,1.943663588,0.093302659,0.208446288,-5.407611723,0.681005834,,,,,,,,,,,,
DACH2,0.673300196,19.79451594,3.357488816,0.012243694,0.063007016,-3.328354668,1.200611085,,,,,,,,,,,,
NUMA1,0.673246432,26.66842415,1.566707645,0.161444882,0.303119545,-5.926119552,0.518386059,,,,,,,,,,,,
IGF2BP2,0.672651796,29.00519017,3.322256984,0.012846644,0.06495202,-3.379186132,1.187407341,,,,,,,,,,,,
TRUB2,0.672012082,17.81678955,1.031339754,0.336907939,0.5004715,-6.557244035,0.300620649,,,,,,,,,,,,
SMC1A,0.670226753,21.73613156,3.250582763,0.014174001,0.06796592,-3.483002966,1.167708802,,,,,,,,,,,,
VAPB,0.669030513,25.60435206,2.536122958,0.039093487,0.118847559,-4.538413563,0.925009734,,,,,,,,,,,,
NBAS,0.66833549,23.80323246,2.163865945,0.06747556,0.169359523,-5.089105942,0.771190378,,,,,,,,,,,,
CACNA1H,0.668299633,23.40728713,3.018446381,0.019581329,0.080088553,-3.822588491,1.096429556,,,,,,,,,,,,
SFXN4,0.667651668,20.71887419,3.127732544,0.016803055,0.073645586,-3.662127549,1.132853277,,,,,,,,,,,,
HNRNPA3,0.667494713,24.5573159,1.664024816,0.140335061,0.2744446,-5.796542506,0.561545309,,,,,,,,,,,,
SRSF5,0.666402981,24.58784734,1.252000382,0.251032738,0.405369779,-6.316707893,0.392148631,,,,,,,,,,,,
TOR1AIP1,0.666342443,21.22524458,1.648984287,0.143419526,0.279533146,-5.816794484,0.553566688,,,,,,,,,,,,
LSM12,0.665702046,24.5743622,2.812727418,0.026219929,0.094369525,-4.126866219,1.02516823,,,,,,,,,,,,
SAP18,0.665621735,20.36348382,1.46978033,0.185354483,0.331592455,-6.051438458,0.47939536,,,,,,,,,,,,
MIB1,0.66562035,24.19444771,1.906908461,0.098476336,0.215915849,-5.459891317,0.665715478,,,,,,,,,,,,
CASZ1,0.665065278,20.02613171,1.703697398,0.132496325,0.264432281,-5.742753952,0.577685529,,,,,,,,,,,,
ATP2B3,0.664096934,19.07496573,1.423202336,0.197951907,0.345825482,-6.110182034,0.461143009,,,,,,,,,,,,
DDX24,0.663952268,25.00486785,3.081998659,0.017910911,0.076220078,-3.729159077,1.117930613,,,,,,,,,,,,
SGPL1,0.663129147,21.78380272,2.170320227,0.066837342,0.168460941,-5.079658625,0.773500776,,,,,,,,,,,,
ACAD10,0.66308586,15.35239057,2.162301791,0.067631148,0.169556957,-5.091394652,0.770684386,,,,,,,,,,,,
PRKAR2B,0.662273011,23.88444924,3.103135942,0.017389503,0.075360426,-3.698156447,1.122856657,,,,,,,,,,,,
ATP6V1A,0.660325472,28.22395783,1.962922724,0.090699053,0.205111224,-5.380102224,0.688010574,,,,,,,,,,,,
EMC1,0.660314309,21.03245841,2.557876462,0.037875382,0.116785931,-4.506029823,0.932609474,,,,,,,,,,,,
NPEPL1,0.659125015,14.44216286,2.031119352,0.0820421,0.192185768,-5.282102998,0.716278777,,,,,,,,,,,,
PCDH7,0.659114792,22.33458053,2.444960878,0.044655421,0.129000156,-4.674011658,0.889409764,,,,,,,,,,,,
PEF1,0.658032963,19.83035215,2.430125,0.045634981,0.130689048,-4.696053505,0.883760805,,,,,,,,,,,,
RBM14,0.65690855,25.64389612,1.633042072,0.146758307,0.283889812,-5.838173425,0.546850193,,,,,,,,,,,,
KIAA1147,0.65659902,20.95466367,2.444545849,0.044682527,0.129000156,-4.674628394,0.889409764,,,,,,,,,,,,
CELF5,0.65651673,20.33699494,2.628457274,0.034187318,0.110329438,-4.40093563,0.957308595,,,,,,,,,,,,
TMA16,0.653291151,21.89933438,1.414708742,0.200330278,0.348975674,-6.120783781,0.457204846,,,,,,,,,,,,
RPS17,0.653206586,26.98417434,2.74449441,0.028915654,0.100248802,-4.228248505,0.998920807,,,,,,,,,,,,
HM13,0.65305081,21.09519945,2.78066253,0.027452277,0.097062812,-4.174488384,1.012947129,,,,,,,,,,,,
ATP6V1E1,0.652523678,24.65771367,3.118975208,0.017009397,0.074319867,-3.674949248,1.128895074,,,,,,,,,,,,
KIAA0226L,0.652192422,20.96667263,2.373607212,0.049573227,0.137966903,-4.779927766,0.860225084,,,,,,,,,,,,
RAP2A,0.651264377,21.86504507,1.680031068,0.137121183,0.270610439,-5.77490454,0.567655455,,,,,,,,,,,,
DRG1,0.650752671,24.3485847,2.386773609,0.048625695,0.135774704,-4.760403372,0.867181134,,,,,,,,,,,,
B4GALNT1,0.650420279,17.65059992,2.112076236,0.072823052,0.177671452,-5.164713497,0.750382349,,,,,,,,,,,,
MRPL40,0.650367547,20.05455113,1.09803192,0.308745787,0.467299842,-6.4879389,0.330404366,,,,,,,,,,,,
QARS,0.649063541,28.01602557,2.903451176,0.023038589,0.087909117,-3.992375435,1.055966084,,,,,,,,,,,,
VPS26B,0.648845989,23.83298821,3.092888625,0.017640231,0.075774676,-3.713181822,1.120475913,,,,,,,,,,,,
CDKAL1,0.648036402,22.27438287,2.797516818,0.026797104,0.095382833,-4.149451739,1.020529784,,,,,,,,,,,,
SNX4,0.647884059,25.68633884,1.220871756,0.26190517,0.418004982,-6.35251446,0.378818543,,,,,,,,,,,,
HNRNPH2,0.647506026,21.86244403,1.877656462,0.102793063,0.222282147,-5.501279509,0.653095417,,,,,,,,,,,,
SSRP1,0.647321463,22.58143448,2.272009568,0.057548482,0.152184561,-4.930191345,0.817629405,,,,,,,,,,,,
MKRN1,0.646623113,22.65376037,1.483863294,0.181690883,0.326555963,-6.03348156,0.486042381,,,,,,,,,,,,
PITPNM2,0.645905788,23.17427032,1.992480024,0.086841604,0.199360157,-5.337736851,0.700361633,,,,,,,,,,,,
SYT3,0.645285416,25.20945027,2.871293618,0.024116945,0.090004101,-4.039999288,1.045737699,,,,,,,,,,,,
FTH1,0.644734131,28.33707173,1.767540796,0.120747396,0.248385544,-5.655135477,0.604873683,,,,,,,,,,,,
BCLAF1,0.643835582,23.98040642,1.939772001,0.093837592,0.209091424,-5.413160957,0.679663779,,,,,,,,,,,,
CDC42EP3,0.642743265,18.98240716,1.405547039,0.202924348,0.352338391,-6.132180318,0.453040033,,,,,,,,,,,,
MVP,0.64264806,29.25230932,1.940036756,0.093801104,0.209091424,-5.41278353,0.679663779,,,,,,,,,,,,
HELZ2,0.642533622,20.40408346,1.716226569,0.130108074,0.260645751,-5.725659139,0.58394935,,,,,,,,,,,,
TRIM21,0.642510995,18.22298088,2.038919153,0.081105594,0.190834048,-5.270840024,0.719344136,,,,,,,,,,,,
CELF3,0.641368126,23.34833648,3.009213799,0.019837458,0.080467704,-3.83618703,1.094378392,,,,,,,,,,,,
NAT10,0.639636827,17.16095523,1.345851007,0.22057009,0.372803281,-6.205411758,0.428520275,,,,,,,,,,,,
C2orf44,0.639347465,22.94860451,2.634391875,0.033894739,0.109635153,-4.392099175,0.960050174,,,,,,,,,,,,
IDH3B,0.639234007,21.54396931,1.864326516,0.104820708,0.225062462,-5.520072095,0.647696935,,,,,,,,,,,,
UQCRFS1P1,0.638926111,20.95643386,2.260999246,0.058487744,0.153901765,-4.946425785,0.8127564,,,,,,,,,,,,
DHX8,0.638794906,18.7831267,2.092623138,0.074939449,0.181142765,-5.193015255,0.741979007,,,,,,,,,,,,
