,logFC,AveExpr,t,P.Value,adj.P.Val,B,adj p val log,,GranPos,LFC,adjPV,,mtorcPos,LFC,adjPV,,riboPos,LFC,adjPV
MRPL49,3.456755841,18.73582359,2.746363816,0.028838047,0.100061426,-4.22546882,0.999733312,,TCOF1,1.063937044,0.036476293,,,,,,RPL7,0.970654847,0.030240867
ATP11B,3.391674799,18.96900328,5.208629358,0.001266749,0.021899507,-0.896098338,1.659565653,,SNRPD1,1.063676674,0.049649267,,,,,,RPS15A,0.951357774,0.02434263
PSEN2,3.222080575,2.10E+01,13.36536077,3.25E-06,0.000550883,5.335525282,3.25894076,,ATXN2L,1.013055901,0.035128497,,,,,,RPL3,0.94788982,0.049024723
SNX3,3.222002399,1.95E+01,12.24241293,5.86E-06,0.000857496,4.757596164,3.066767678,,FAM120A,0.995753941,0.032187169,,,,,,RPS13,0.932293947,0.044217711
CPD,3.197046424,2.24E+01,16.54889964,7.66E-07,0.000308702,6.693546728,3.510460675,,DHX57,0.928009864,0.048461797,,,,,,RPS8,0.924387141,0.043634561
FUT8,3.190543729,17.47330455,2.738024264,0.029185952,0.100880919,-4.237869971,0.996190972,,TIA1,0.916621526,0.029613097,,,,,,RPS2,0.902098457,0.036155681
GPR155,3.076432056,2.20E+01,10.80434467,1.34E-05,0.001584671,3.921713808,2.80006091,,SECISBP2,0.912102657,0.035636254,,,,,,RPS3A,0.895348034,0.038905201
RPL37,3.072956314,14.30206491,2.62180341,0.034518487,0.110964123,-4.410843268,0.954817415,,AKAP1,0.887911249,0.039010517,,,,,,RPS25,0.890852508,0.03032112
KXD1,3.034593741,2.07E+01,11.29090382,1.00E-05,0.001275619,4.217733973,2.89427898,,AIMP1,0.887771688,0.026409091,,,,,,FAU,0.889716351,0.037504987
SEC61A2,3.010936266,20.10683236,3.719976411,0.007544283,0.048767992,-2.813912674,1.311865125,,SRSF9,0.878906965,0.026225428,,,,,,RPS27,0.879229873,0.026962125
CPNE4,2.993484149,22.63148159,9.14694602,4.00E-05,0.003142606,2.795589791,2.502710027,,YTHDC2,0.874559001,0.029212711,,,,,,RPS3,0.861080047,0.029212711
DNAJC5,2.949518436,22.91550392,6.845188322,0.000250267,0.009131137,0.850065647,2.03947512,,PHAX,0.849818377,0.049719403,,,,,,RPS9,0.729896816,0.042561702
ZNF385D,2.949213804,16.89867741,8.873902743,4.86E-05,0.003498929,2.590354096,2.456064851,,ELAVL2,0.817853589,0.034088373,,,,,,,,
ANXA11,2.926299153,21.7078371,6.910092089,0.000236132,0.008989793,0.912370204,2.046250309,,PABPC4,0.757865643,0.042561702,,,,,,,,
SEH1L,2.923753262,2.26E+01,13.87429141,2.53E-06,0.000547612,5.578599821,3.261527429,,,,,,,,,,,,
C16orf45,2.848219333,20.16092069,5.932805319,0.000594344,0.015518479,-0.079874742,1.809150855,,,,,,,,,,,,
CLCN3,2.835038183,2.32E+01,10.45045697,1.67E-05,0.001920583,3.697183214,2.716566865,,,,,,,,,,,,
PSEN1,2.830536789,21.81045253,5.51252922,0.000914591,0.018467975,-0.544648433,1.733580725,,,,,,,,,,,,
ARL8B,2.828964836,20.52235217,2.497225761,0.041373631,0.123916651,-4.596298045,0.906870334,,,,,,,,,,,,
ADCK4,2.802107025,18.67818922,4.781199519,0.002045818,0.026409091,-1.413122592,1.578246543,,,,,,,,,,,,
WDR59,2.777197072,2.37E+01,14.1845952,2.18E-06,0.000513913,5.721492716,3.289110692,,,,,,,,,,,,
SYT17,2.769207978,19.9201835,8.30040294,7.46E-05,0.00483469,2.138630882,2.315631358,,,,,,,,,,,,
APOE,2.74438421,23.29047266,5.486117694,0.000940401,0.018498554,-0.574671589,1.73286221,,,,,,,,,,,,
ARAP3,2.742463,19.36569048,5.85409951,0.000643241,0.016078043,-0.165084528,1.793766806,,,,,,,,,,,,
C12orf66,2.728230212,19.20813881,4.147147411,0.004372151,0.037392887,-2.230204274,1.427211005,,,,,,,,,,,,
MIOS,2.695816117,2.45E+01,14.52609297,1.85E-06,0.00049235,5.874312935,3.307726014,,,,,,,,,,,,
TM7SF2,2.663555296,20.62507715,5.070399766,0.001475064,0.023076036,-1.060361179,1.636838796,,,,,,,,,,,,
ARL8A,2.639953972,25.38253608,8.98568052,4.48E-05,0.003400095,2.67511198,2.468509009,,,,,,,,,,,,
TMEM63B,2.632885123,22.49943903,10.31075052,1.83E-05,0.002043188,3.606301051,2.689691577,,,,,,,,,,,,
SNAPIN,2.613220955,2.20E+01,11.9365829,6.93E-06,0.000949711,4.589418744,3.022408519,,,,,,,,,,,,
SRSF12,2.610428849,21.20535856,3.315147737,0.012972137,0.065406572,-3.389459443,1.184378611,,,,,,,,,,,,
SLC9A9,2.598072392,19.51942257,9.812909086,2.53E-05,0.002285128,3.271602213,2.641089404,,,,,,,,,,,,
SYT2,2.587754962,22.70456688,9.71641511,2.70E-05,0.002338052,3.204697043,2.63114578,,,,,,,,,,,,
ITFG2,2.581904089,20.41168595,6.454008409,0.00035858,0.011625111,0.464017501,1.934602884,,,,,,,,,,,,
RPS26,2.564284479,23.7125041,3.851775425,0.006356905,0.044772431,-2.631078259,1.34898932,,,,,,,,,,,,
DEF8,2.555324235,19.95055811,7.222262677,0.000179574,0.007782149,1.20536611,2.108900468,,,,,,,,,,,,
NPC1,2.543688873,23.80565907,10.09128704,2.11E-05,0.002181061,3.460880087,2.661332102,,,,,,,,,,,,
STXBP5,2.534796235,22.31834371,3.650867136,0.00826163,0.050630796,-2.910716907,1.295585244,,,,,,,,,,,,
SZT2,2.522775168,22.51759057,5.703194829,0.000750107,0.017220034,-0.330797614,1.763966004,,,,,,,,,,,,
RPL35A,2.522523603,16.90883669,1.430615423,0.195896806,0.34350691,-6.100900731,0.464064522,,,,,,,,,,,,
VAMP3,2.503822573,23.56879615,7.064660355,0.00020595,0.008490305,1.058809179,2.071076711,,,,,,,,,,,,
NAPG,2.475033114,25.51284582,8.918410647,4.71E-05,0.003446153,2.624227392,2.46266549,,,,,,,,,,,,
STX12,2.4682218,2.68E+01,11.07171192,1.14E-05,0.001386595,4.086143138,2.858050291,,,,,,,,,,,,
FLOT1,2.432081917,25.79630786,6.389580019,0.000381058,0.012260262,0.398653669,1.911500237,,,,,,,,,,,,
TMEM30A,2.430466181,26.06374434,7.877164382,0.000104119,0.006057462,1.786060379,2.217709335,,,,,,,,,,,,
DDX54,2.414991819,18.66037495,3.704093113,0.007702947,0.049348902,-2.836105117,1.306722504,,,,,,,,,,,,
KRT19,2.407666335,25.13034746,3.474878198,0.010444848,0.058032821,-3.159998301,1.236326321,,,,,,,,,,,,
CNGA3,2.405774902,21.08734936,9.817450643,2.52E-05,0.002285128,3.274734486,2.641089404,,,,,,,,,,,,
RFC2,2.39926961,19.39185358,1.456550228,0.188857035,0.335877651,-6.068226301,0.473818893,,,,,,,,,,,,
RPL34,2.35737709,24.57286001,1.570937316,0.160469142,0.302186503,-5.920562318,0.519724937,,,,,,,,,,,,
ATP8A1,2.354611561,27.45143493,10.02176944,2.20E-05,0.002227851,3.414125091,2.652113924,,,,,,,,,,,,
ITSN2,2.341524113,22.10336693,7.719653497,0.000118294,0.006300284,1.650419484,2.200639876,,,,,,,,,,,,
NPRL2,2.340336407,20.88022944,9.893920437,2.40E-05,0.002285128,3.327252035,2.641089404,,,,,,,,,,,,
KIAA0226,2.320349763,17.94592343,9.828075217,2.50E-05,0.002285128,3.282056342,2.641089404,,,,,,,,,,,,
THBS3,2.283492468,19.11321532,6.803463002,0.000259856,0.009352605,0.80975342,2.029067403,,,,,,,,,,,,
KRT18,2.267020666,25.08954813,2.689590432,0.031295277,0.104902164,-4.309927139,0.979215552,,,,,,,,,,,,
VTI1A,2.263887426,19.23493336,5.149484162,0.001351585,0.022395274,-0.966041571,1.649843618,,,,,,,,,,,,
ATP11C,2.255164845,22.78234872,7.15664854,0.000190063,0.008071959,1.14468419,2.093021028,,,,,,,,,,,,
KIF20B,2.251315023,24.8280987,3.347651722,0.01240892,0.0634948,-3.3425337,1.197261837,,,,,,,,,,,,
CELF2,2.215414642,19.2083823,5.182855656,0.001302967,0.022140633,-0.926515003,1.654809958,,,,,,,,,,,,
C16orf88,2.209876305,20.65182126,3.284589696,0.01352674,0.066697924,-3.433678804,1.17588768,,,,,,,,,,,,
LAMP2,2.206858853,17.76783581,7.235697001,0.000177508,0.007772377,1.217732397,2.109446159,,,,,,,,,,,,
DNAJC10,2.205891043,17.96370039,2.172301487,0.066642648,0.168370808,-5.076757558,0.773733205,,,,,,,,,,,,
RPS21,2.178846871,23.90159542,6.192801661,0.00046013,0.01346373,0.195795281,1.870834598,,,,,,,,,,,,
FLOT2,2.176662323,25.04031547,5.200122728,0.001278577,0.021899507,-0.906126725,1.659565653,,,,,,,,,,,,
KRT5,2.169962627,23.68191839,2.561437312,0.037679766,0.116631956,-4.50072835,0.933182442,,,,,,,,,,,,
MREG,2.165312071,23.3610693,1.956297365,0.091586571,0.206458688,-5.389574489,0.685166837,,,,,,,,,,,,
H1FX,2.16312647,21.16547056,3.553923112,0.00939548,0.054680221,-3.047554991,1.262169741,,,,,,,,,,,,
LARP4B,2.140153695,27.87707971,1.445701526,0.191773617,0.339218056,-6.081932411,0.469521039,,,,,,,,,,,,
PAM,2.133404632,21.30131946,7.94133805,9.89E-05,0.005833882,1.84062139,2.234042385,,,,,,,,,,,,
HGSNAT,2.121652451,21.30939357,7.778069019,0.000112797,0.006300284,1.701012463,2.200639876,,,,,,,,,,,,
DLL3,2.121382346,19.58782985,9.182877028,3.90E-05,0.003121565,2.822147231,2.50562766,,,,,,,,,,,,
TOM1,2.115785186,25.22625574,10.18171656,1.99E-05,0.002162528,3.521198817,2.665038359,,,,,,,,,,,,
SV2B,2.108503992,22.45078089,7.715694371,0.000118677,0.006300284,1.646978125,2.200639876,,,,,,,,,,,,
PCDHGB4,2.089059098,17.77430175,4.968726964,0.001652619,0.024326068,-1.182969152,1.613928086,,,,,,,,,,,,
RPS29,2.078492385,20.64751564,2.579455768,0.03670586,0.115473918,-4.473900357,0.937516098,,,,,,,,,,,,
PCDHGC3,2.074835323,19.64345106,7.073247608,0.000204405,0.008490305,1.066865673,2.071076711,,,,,,,,,,,,
NEFL,2.072552865,29.59267629,2.819489246,0.02596756,0.093779106,-4.116828947,1.027893911,,,,,,,,,,,,
RTL1,2.048785863,16.9398098,6.879388501,0.000242703,0.008989793,0.882956827,2.046250309,,,,,,,,,,,,
CSDA,2.047372087,23.97888485,5.787459496,0.000688178,0.016894169,-0.237882617,1.772263163,,,,,,,,,,,,
SCGN,2.028217731,20.58376049,9.770908912,2.60E-05,0.002301139,3.242564256,2.638057184,,,,,,,,,,,,
C14orf169,2.026128413,18.70531912,3.335535372,0.012615733,0.064013164,-3.360012592,1.193730709,,,,,,,,,,,,
KRT16,2.021328358,24.72702498,1.90843724,0.098255661,0.215706082,-5.45772281,0.66613761,,,,,,,,,,,,
SLC18A3,2.015427312,20.17464752,4.548118068,0.002686129,0.02955438,-1.706499416,1.529378146,,,,,,,,,,,,
KRT8,2.006709667,26.58450454,2.897662133,0.023228892,0.088004554,-4.000944561,1.055494853,,,,,,,,,,,,
SPG11,1.992950671,22.66420688,6.964282699,0.000225017,0.008931281,0.964019727,2.049086252,,,,,,,,,,,,
NPRL3,1.992734503,20.08572709,6.889808393,0.000240451,0.008989793,0.892951032,2.046250309,,,,,,,,,,,,
CDK1,1.983221615,20.77200102,6.159378315,0.000475312,0.013639529,0.160849664,1.865200633,,,,,,,,,,,,
LINGO1,1.961834971,20.78604941,1.531609331,0.169755375,0.311425951,-5.971956192,0.5066452,,,,,,,,,,,,
KIF15,1.957501942,14.49718432,3.773977864,0.00703087,0.046802672,-2.738714217,1.329729355,,,,,,,,,,,,
MUC19,1.946111269,23.40198286,3.800789894,0.006790191,0.046387885,-2.701524763,1.333595432,,,,,,,,,,,,
CHTOP,1.930318586,21.23976211,2.697471005,0.030941496,0.104127206,-4.298199344,0.982435786,,,,,,,,,,,,
PCSK1,1.912277282,21.564656,3.5926772,0.008923169,0.05330056,-2.99270923,1.273268224,,,,,,,,,,,,
ERLEC1,1.869574681,19.01416624,1.548995479,0.165590699,0.3079088,-5.949313387,0.511577898,,,,,,,,,,,,
VPS28,1.868961282,22.6587945,6.364444991,0.000390253,0.012461697,0.373013758,1.904422813,,,,,,,,,,,,
GOLGB1,1.856015794,24.91942696,2.393523023,0.048147176,0.135328298,-4.750390938,0.86861138,,,,,,,,,,,,
METRN,1.849472739,20.37211983,3.39829524,0.011583151,0.060883219,-3.269652005,1.215502391,,,,,,,,,,,,
CLU,1.843263959,19.01987374,4.714233367,0.002210522,0.027531043,-1.496579647,1.560177341,,,,,,,,,,,,
PSPC1,1.83943209,20.35494704,7.300634053,0.000167891,0.007505628,1.277230261,2.124612956,,,,,,,,,,,,
ATP6AP2,1.818838025,20.85836986,3.153151602,0.01621911,0.072203944,-3.624949531,1.141439081,,,,,,,,,,,,
RPL30,1.818413491,24.02215171,4.575920101,0.002599206,0.029212711,-1.671077899,1.534428142,,,,,,,,,,,,
RPS4Y1,1.808386349,24.17474846,8.941434196,4.63E-05,0.003446153,2.641685088,2.46266549,,,,,,,,,,,,
TAF6L,1.805595632,23.64856477,3.681270644,0.00793731,0.049719403,-2.868051783,1.303474097,,,,,,,,,,,,
