Protein
RPS26
RPS21
RPL30
RPS4Y1
RPL36
RPS10
RPS24
RPS27L
RPS28
RPLP2
RPL18A
RPL22
RPL10A
RPLP1
RPS19
RPSA
RPL5
RPL13A
RPL12
RPS23
RPLP0
RPL24
RPL37A
RPL18
RPL17
RPL15
RPL11
RPS16
RPL29
RPL8
RPS20
RPL7
RPS15A
RPL3
RPS13
RPS8
RPS2
RPS3A
RPS25
FAU
RPS27
RPS3
RPS9
