nes n40n2,nes n40n3,nes n40n4,nes n40n5,nes n41n1,nes n41n2,nes n41n3,nes n41n4,nes n41n5,lamp n40n2,lamp n40n3,lamp n40n4,lamp n40n5,lamp n41n1,lamp n41n2,lamp n41n3,lamp n41n4,lamp n41n5
-1.84060725,-1.76341777,-1.867715887,-1.682726847,-0.996548177,-0.818580863,-0.875386189,-0.828772942,-0.843233656,-3.667884041,-3.609485242,-3.721445816,-3.687143613,-2.928801901,-2.88193711,-2.852224264,-2.816115276,-2.971692095
-1.104562203,-1.734034013,-3.026623119,-1.777565875,1.106152799,1.465914505,1.430632476,1.297105233,1.094613076,-0.178553121,-0.161243287,-0.12670017,-0.149917572,0.381161897,0.303067785,0.323916406,0.362740515,0.335839976
-4.083934349,-4.189464619,-4.052357001,-3.740130142,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-23.25349666,-2.963043031,-2.944422869,-2.893969604,-2.917756967,-2.43075099,-2.467133141,-2.488499875,-2.429810439,-2.520983553
0.216325511,0.139296437,0.141882757,0.179346537,0.515843958,0.571755043,0.61127162,0.535374332,0.52670183,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
-2.637781832,-2.599671775,-2.544203765,-2.483269978,-1.842145886,-1.782307437,-1.954255381,-1.873131323,-2.107768908,-1.641580345,-1.477608484,-1.647294032,-1.712796302,-0.591385328,-0.563433659,-0.495758644,-0.47302064,-0.520905218
-4.809127097,-4.60955045,-4.585176763,-4.744947618,-3.549882042,-3.507083412,-3.720517427,-3.675390994,-4.160948729,-3.410026725,-3.360763524,-3.276829161,-3.334599879,-2.724889979,-2.686039148,-2.649413954,-2.642262099,-2.796354122
-1.456720991,-1.351678151,-1.451920829,-1.317734165,-0.887794902,-0.789521382,-0.89440238,-0.841675331,-0.832303214,-3.073601238,-3.189115821,-3.038295175,-3.078134148,-2.503911839,-2.466808581,-2.508560062,-2.467974735,-2.801459771
-8.379328886,-23.25349666,-23.25349666,-23.25349666,-2.374218817,-2.866651424,-2.76499452,-2.694122197,-2.566083585,-1.960882538,-1.990389873,-1.982987797,-2.052931046,-1.537611976,-1.591890691,-1.569271235,-1.570825941,-1.667009103
-5.812684015,-9.005914739,-23.25349666,-6.677914284,-3.323237935,-3.097563288,-3.422029472,-3.045768711,-4.396553757,-2.758046494,-2.806989489,-2.783193033,-2.907048799,-2.203338094,-2.198891386,-2.135517924,-2.156294203,-2.177735557
-1.546694287,-1.330258343,-1.863130677,-1.443722421,-0.541106543,-0.503461809,-0.500887137,-0.425583817,-0.597295203,-1.070553091,-1.032515236,-1.003139596,-0.99305018,-0.428328923,-0.364787685,-0.441920496,-0.478047867,-0.5465639
-1.755771432,-1.657657223,-1.617869637,-1.603501842,-0.99265368,-1.116870397,-0.960523006,-0.975128602,-1.045094078,-3.251075516,-3.289993796,-3.184527649,-3.337997865,-2.569539649,-2.583723864,-2.590460914,-2.491912174,-2.58363226
-3.934224223,-3.860451126,-3.762642439,-3.725433755,-2.963053865,-3.068228026,-3.137444917,-3.079226821,-2.910958171,-1.904034231,-1.944616216,-2.028986321,-1.92559432,-1.36494897,-1.444203112,-1.377844251,-1.370367271,-1.363717163
-3.338952782,-3.566247094,-3.564721749,-3.589435324,-2.425195417,-2.259225249,-2.509499129,-2.437965717,-1.960204774,-0.490321405,-0.581986864,-0.489339183,-0.411615073,0.148156441,0.184407925,0.193134154,0.252628362,0.207632565
-23.25349666,-5.226289664,-23.25349666,-23.25349666,-2.565258267,-2.698631271,-2.43401911,-2.890429263,-2.448256284,-3.524537533,-3.418038778,-3.610822235,-3.533108869,-2.554334641,-2.516641047,-2.48583157,-2.644948191,-2.468844471
-1.523915333,-1.318473636,-1.092567105,-1.464967974,-0.389812627,-0.20491559,-0.314640948,-0.299782849,-0.072147842,-2.565875793,-2.70071412,-2.700884523,-2.561247033,-1.998314734,-2.028563609,-2.011369562,-1.966930708,-2.118690453
-2.990663859,-2.573172118,-3.143553164,-2.925152084,-1.577243319,-1.528213186,-1.700539173,-1.717362951,-1.437354593,-0.546934095,-0.585054542,-0.619706074,-0.557364838,-0.224608867,-0.253990642,-0.203302849,-0.257955294,-0.23986106
