GPR139
ATG3
OTUD5
ZNF776
GALE
PDE4A
PBX1
PDSS2
KHSRP
RALBP1
MAP2
STAT5B
DYNC1LI1
LINC01315
PDS5A
CNOT4
WDR11
RBBP4
MRPL44
RFFL
PYROXD1
SART3
FBXO45
ZMYM6
HNRNPA0
KANSL3
CCNL1
MARK4
PAFAH1B1
DNAJC9
MTMR10
ATXN10
MUM1
KIF3C
SCYL2
UBE2G1
PPFIA1
PGRMC1
ZNF609
BTN2A1
WDR1
BBS7
FAM168B
CETN2
PXYLP1
NRD1
GOLGA5
PNMAL1
SCAPER
MYSM1
SCRN1
ZNF655
LANCL1
GDPD1
CAMK2G
LPPR1
RALY
EID2
CBLB
HCN3
RNF214
SSBP3
TNKS2
ATXN7L3B
PITRM1
ZNF322
KIAA1279
ASB13
PIGB
SLC37A1
ACOX1
MSL2
IGF2BP2
DESI1
NDUFA10
ZNF595
PHF21A
ALG9
ABI2
LINC00900
ASUN
RAB5A
NADK2
MED28
SCAF8
JOSD1
ARF6
KLF6
PROSER1
CNOT6L
REV1
BRD9
PITPNA
FLOT2
DNAJC13
SLAIN2
EPB41L1
API5
CASC3
RAP2A
ZZZ3
FYN
LOC101928307
GTF3C5
ZNF271P
EFNB3
IFT27
DCAF7
CELF1
G6PD
NAA30
CRK
UNC5C
FAM8A1
CCDC94
LINC00667
ADGRA3
IL10RB
ZNF155
MAP3K3
UBTD2
POFUT2
ZC3HC1
NUDCD3
AHCYL2
YY1
PPP6R1
MAPK9
PIGC
SOD2
STX6
UPF3A
UBTF
AAGAB
DCLK1
GFER
EXOSC10
AGTPBP1
WDR48
SH2B1
FAM179B
METTL2A
SLC25A25
ZWILCH
FAM193A
CLIP1
NPLOC4
CLCN4
RUSC1
ZNF608
TAF3
NUMBL
TRIM8
GUF1
DHX33
STAG1
DENND5B
KAT7
COX10
BAP1
KBTBD7
IST1
PPP2R5E
DICER1
ST3GAL6
PRDM11
ZC3H14
UBQLN1
RUFY2
ABCC5
CSGALNACT2
THUMPD3-AS1
NANOS1
FEZ1
DCTN4
45177
GPBP1
SLC22A15
DCTN5
SCAND2P
PAPPA
EAF1
SALL2
CEP85L
EIF4ENIF1
PAQR4
OSBPL9
SRRM4
UGGT2
TRIM33
CXorf23
ZNF549
THOC2
SERTAD4
PPP3CB
ZNF410
YWHAG
RBM33
SAP130
CNN3
TBC1D25
APOPT1
QSER1
NUP133
PIP4K2B
KCNA6
PHF2
STAU1
NFX1
KCTD2
ZNF629
YEATS2
FBXW2
ZXDC
WDR13
RAB11FIP2
NMNAT2
KLHL42
NEK4
SOS2
USP48
PPP1R15A
UBFD1
ARID3B
MAP2K7
PRKAB1
RBM23
TIGD5
ATG16L1
C16orf93
