,baseMean,log2FoldChange,pvalue,padj,gene_name,present in APEX-RNCseq lyso?,present in APEX-RNCseq cyto?,present in FULL APEX-RNCseq lyso,present in FULL APEX-RNC cyto list,present in p300,present in Psig,present in Fsig
ENSG00000206663.1,13.82517631,1.423030838,0.000526981,0.002898293,Y_RNA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000134242.16,28.80497475,1.422732068,1.55E-05,0.000109667,PTPN22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000185100.10,67.35629933,1.422331704,1.91E-12,2.20E-11,ADSSL1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000170899.11,786.1856219,1.422219906,5.24E-32,1.10E-30,GSTA4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000228594.4,47.70964988,1.421500238,3.41E-07,2.86E-06,FNDC10,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000174521.7,98.46891114,1.421140161,7.36E-11,7.78E-10,TTC9B,#N/A,#N/A,#N/A,#N/A,yes,yes,yes
ENSG00000254553.1,137.0385262,1.420933695,5.23E-20,7.92E-19,AL033529.1,#N/A,#N/A,#N/A,yes,#N/A,#N/A,#N/A
ENSG00000138594.14,775.0624196,1.420550786,2.37E-39,5.82E-38,TMOD3,yes,#N/A,yes,#N/A,#N/A,#N/A,yes
ENSG00000255872.3,444.3057819,1.42039554,5.73E-26,1.03E-24,AL138752.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000251600.8,161.5800615,1.420193268,9.86E-21,1.52E-19,AC107223.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000124523.16,167.3664769,1.420121257,2.60E-22,4.21E-21,SIRT5,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000087269.16,397.2428758,1.419436745,1.07E-32,2.28E-31,NOP14,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000165916.8,518.0339053,1.418921268,5.19E-28,9.88E-27,PSMC3,yes,#N/A,yes,#N/A,yes,#N/A,yes
ENSG00000284057.1,331.670819,1.418736718,2.23E-26,4.05E-25,AP001273.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000198399.14,803.5380801,1.418476702,5.30E-36,1.21E-34,ITSN2,#N/A,#N/A,yes,#N/A,#N/A,yes,yes
ENSG00000108587.15,432.8555899,1.417447428,1.72E-37,4.04E-36,GOSR1,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000271869.1,6.08476423,1.416639358,0.012700809,0.046073711,AC026979.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000138035.15,483.4770311,1.416629727,4.65E-30,9.31E-29,PNPT1,yes,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000108961.14,34.48258429,1.416427149,7.24E-06,5.34E-05,RANGRF,#N/A,#N/A,yes,#N/A,#N/A,#N/A,#N/A
ENSG00000105983.22,591.4399684,1.416294453,1.49E-31,3.10E-30,LMBR1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000100138.15,668.4092128,1.415892715,2.13E-30,4.29E-29,SNU13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,yes
ENSG00000088808.18,636.5785589,1.415876813,2.57E-34,5.65E-33,PPP1R13B,#N/A,#N/A,#N/A,yes,#N/A,yes,#N/A
ENSG00000132563.16,394.3382844,1.415873887,2.68E-25,4.75E-24,REEP2,#N/A,#N/A,#N/A,#N/A,#N/A,yes,yes
ENSG00000141219.15,430.0557806,1.415752276,2.78E-31,5.72E-30,C17orf80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000231171.4,33.0976036,1.415452511,2.49E-06,1.92E-05,LINC01098,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000180929.6,21.92812207,1.415024767,5.04E-06,3.77E-05,GPR62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000115827.14,512.8836939,1.415010958,4.24E-27,7.87E-26,DCAF17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENSG00000163002.13,142.5600069,1.414024069,7.76E-21,1.20E-19,NUP35,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
