UCSC_Gene_Symbol
BTG1
TMX3
ZNF630
SLC24A3
LOC727751
TMEM108
ZNF627
AP5B1
KANTR
DRD2
MPP3
ZNF836
ZFP37
SLC8A2
PNMA6A
HDAC7
HSPA4L
CBFA2T3
KIF27
SYNPR
CACNA1A
PNMAL2
LHX4-AS1
CHML
SGSM1
GATSL2
NFKBIE
PLXNC1
SHISA7
NINL
SPNS2
LRRC27
LRRTM1
CDH11
ZNF77
DTX4
MICAL3
KDSR
HMGB3
RRAGB
KIAA1683
SMG1P3
IRX1
ARMCX4
IMPG2
ARHGAP33
INADL
GMIP
BZRAP1
ZNF682
CEP78
PDE1C
ST8SIA2
C14orf37
COL26A1
C1orf21
PMS2CL
FAM117B
FAM110B
CNKSR2
ZFP41
AHNAK2
KCNAB1
TMEM121
LRRC6
LRRC37A4P
WTIP
TRPC5
LIMCH1
SH3BP5-AS1
PCDHB17P
ZNF583
C10orf35
ZNF730
SPOCK1
BZRAP1-AS1
SHQ1
ASXL3
ZNF286A
GPRIN1
PALM
C2CD3
RGS7
TMEM132E
ABCA5
RNU2-1
FAM110A
ZNF555
GFOD2
FAM109A
ZNF584
DMPK
SCN1A
H2AFY2
DYSF
PCDHA12
PITPNC1
TUNAR
ZNF699
PDZD2
PIK3R3
SEC31B
MVD
PPFIA2
CCDC157
ZFP28
ZNF107
RNF157
LOC202181
KCNJ9
CACNB3
RN7SK
FARP1
MALT1
ZNF250
FOXD4
CELF5
CADM3
SH3BP5
ZNF521
EFR3B
RPRM
DGCR9
FGF14
NUP93
DACH2
NUTM2D
ANKRD13B
RNU5A-1
ZNF285
BAHCC1
TCEAL2
RPL23AP53
DGCR5
RAB3C
GPR137C
PDE10A
WNK2
C2CD4C
GPSM1
HID1
CSMD1
FOS
ZNF93
BSN
CACNB4
PAIP2B
TUBB4A
KIAA1549
ERC2
DPYSL3
SYT3
LMO4
S1PR2
PNPO
ZNF441
TTC9
UAP1L1
DPYSL4
LINC01004
FGF9
KCNMA1
PPM1D
FXYD6
USP49
MYO16
GNG2
TUBBP5
CCDC40
ZNF467
FSTL5
PLGLB1
LOC100190986
CCDC184
PROCA1
C11orf95
ZCCHC2
RNU11
SBF1
RASA4B
SNORD22
ZNF713
C6orf165
KDM1B
TTC28
KIAA0930
MTMR7
CCDC30
CAMK1D
PRR36
SMOX
CALD1
GTF2IP1
SLC4A3
ACKR1
SHANK3
BEND7
CCDC144CP
LMAN1
DFNA5
HECA
GPR85
HOMER3
PDZD4
ARHGEF2
CAMK2A
TMEM163
TMEM38A
ELAC1
NCAN
TLE4
ZNF286B
NR4A1
SYN3
IRX2
FBN3
OLFM3
SLC1A2
CCDC3
IQSEC3
FAM65B
REM2
ADARB2
SDHAP3
PTPN3
SEC11C
NKAIN2
ZADH2
PRICKLE2
RFPL1S
PLEKHO1
FRAT2
PNPLA3
C20orf96
MTRNR2L1
ANKS1A
OPRL1
ZNF91
LRRC4C
LMO7
B3GALNT1
RNF180
FMNL3
ATF5
PCDHB4
ZSWIM4
FHDC1
ME1
ZNF711
ZCCHC18
FLRT1
FRMD5
KTI12
SBK1
LSM11
DRAXIN
SPTBN4
PASK
PSMG3-AS1
TCHH
PTPRE
NYNRIN
SCN7A
KCNQ1OT1
ULK2
APC2
ZNF610
DGKD
TXNL4A
PHLDB1
ZNF697
CCDC74A
ZNF74
RN7SL1
FRAT1
TMEM44
CRYBG3
GP1BB
45174
CDKN1C
ZNF443
BRINP2
VWC2
ELMOD1
