UCSC_Gene_Symbol
PCDHGA6
NTS
ASS1
PCDHGA7
CNTNAP3
CNTN2
LAMP1
SEMA5A
CHRNA3
COL27A1
WDR72
SCG2
CHRNB4
MCHR1
PDGFD
S100A10
PAPPA2
CNTNAP3B
HES5
SOX9
SYT2
CDH6
CNTNAP3P2
HIST1H1B
PKDCC
NELL1
ZIC5
IL1RAP
HMGA2
HIST1H3B
PCDHB5
GLI2
UTRN
ANOS1
MIR217HG
HIST1H2AG
FNDC3B
ZNF562
SLC18A3
LRRC55
PON2
NR3C1
HIST1H1C
EML6
ARHGAP22
CCDC8
OPRM1
CHRNA7
RAB13
TIMP3
NOTCH1
NRP2
CBLN1
TOP2A
GNG5
SERINC5
MKI67
ST6GALNAC5
CADPS2
ADAM12
ZIC3
ROR1
STXBP6
SUSD2
RREB1
PERP
LOXL1
IGFBP2
MYBL2
PDE1A
PHOX2B
FOXM1
JAG1
GNG12
COMT
RRM2
CCDC152
SULF1
RASSF3
ZIC2
TNFAIP8L1
PCDHA10
ST18
ZFHX3
CRABP1
TNFRSF10B
CENPF
METRN
MSN
PAM
CCND1
HIST1H3D
APLNR
YBX3
PCDHGA11
RELL1
HAS3
CPNE9
KLHL4
LINC01234
RHOC
MVP
MYBL1
SPARC
PARM1
HTR7
HEG1
FAM46A
PCDHGB2
KCNIP4
FEZF1-AS1
PCSK2
NR5A2
GLIPR2
SDK2
SCGN
LINC00461
EPHA3
TSTD1
HIST1H2BJ
PDE3A
RASGRF1
SDC2
TPBGL
NXPH1
THSD7B
LAMB1
B2M
GYPC
DIRAS2
NFU1
PLXDC2
FZD7
CDK6
EIF5A2
PGF
ISL1
RAB26
CHRNB3
ATP2B4
CECR1
ETV1
DMD
ZIC1
ALK
OLFM1
EPDR1
NDUFS5
EYA1
PDZRN3
LPCAT2
MEF2C
SIX3
HIST1H2AD
SEZ6L
GALNT12
PCDHB15
FKBP10
ROR2
MAN1C1
CYBA
RAB3B
PCDH12
C1QL1
PFKP
ANLN
TSPYL5
PPP1R17
TLL1
PRR11
EZR
B3GNT2
BTBD17
ZEB2
COL5A2
BIRC5
SATB2
KREMEN1
TTYH2
DOCK1
ARAP1
OSTF1
C8orf46
SERPING1
HIST1H2BK
LRRN2
CD99
RPS7
SGK1
ST5
EYA4
NOTCH3
LINC00648
ZFHX4
LAPTM4A
MRC2
HLA-C
UNC5A
HTR3A
MGC70870
SEMA3E
AGT
DCC
C11orf96
SCD5
SCPEP1
HLA-B
HIST1H2BO
GCA
POU6F2
HIST1H2AM
NTRK3
PRKD3
HIST1H3G
DFNB31
PCSK6
FAM105A
KIAA1217
LOC642366
