PG.ProteinGroups,0,50,150,300,300_24
O60347,-1.04336817106431,-23.2534966642115,-0.809675627846345,0.123586839415108,-1.05168579885655
O43913,-11.8750444752793,-3.97384149706411,-3.58266529336614,-5.20790735266542,-3.52752184142583
Q9H3K2,-15.5424715766083,-5.53366939119811,-4.42499194411398,-3.95158037415662,-4.12736743510198
Q5EBM0,-0.326245736116661,-2.23463697112629,-1.16408137651031,-0.750948176223889,-0.958700758833139
O14818,-10.9428864773499,-8.28031564560604,-6.8983297300252,-7.01928796085965,-8.72974597265788
Q9UBF8,-8.92260083517639,-2.42948338262534,-12.4461373282211,-10.4863889178817,-9.62022210182428
P07602,-15.7265327733275,-6.64401683065466,-4.74632255326762,-5.07613315089299,-5.86886285875765
Q14155,-9.80315873606991,-6.83197393830642,-6.81876745774655,-7.9097776230003,-7.91588087719603
Q16342,-4.914357251155,-11.4995701873878,-11.0478768617086,-5.20689849096293,-7.04650676417742
O75716,-5.33734250595352,-15.7039363932474,-15.7823424428846,-23.2534966642115,-20.416597248646
Q8N9I0,-3.35571473032599,-11.9735248002627,-6.99109225178956,-6.10872319686638,-3.08143826935325
Q5TC82,-15.9309945446691,-2.97714937156521,-3.3090369766178,-6.94516551658537,-5.5378227223332
P60484,-4.79416428066171,-14.7054499271189,-11.9748383932966,-5.54362400554955,-5.50216842854638
O95502,-23.2534966642115,-4.86007049684883,-4.6031064382426,-3.75252566389891,-4.73459382204354
Q5FWE3,-4.09867366421444,-15.5159941637172,-23.2534966642115,-5.52696715995993,-3.89061352623203
O95822,-6.33363307455833,-3.9912711961736,-6.96871177789196,-5.52528443500608,-3.59452228255587
Q9Y5V3,-9.82153559471468,-3.74186592361604,-2.61743250804599,-3.56609951127082,-3.64416687183677
P18669,-9.40285802388419,-7.4651819524832,-6.61538353182957,-6.1218604869064,-7.62746713039907
Q9HCD6,-10.9905721386116,-6.345617751009,-6.66880621368892,-6.38774028221112,-7.00420871143916
