PG.ProteinGroups,300_24
Q9HD45,-6.78275456986521
Q86VN1,-8.55155599155911
Q8N9B5,-6.79685838831804
P09012,-8.13400307488969
O75884,-12.0155895853797
Q92963,-4.96132309087246
Q6KCM7,2.23904970840403
Q9NZR1,-8.94274298283411
Q8NCC3,-5.67514516162486
Q53EQ6,-1.51493463052051
P98077,-2.70754612861724
Q5F1R6,-1.25239622524441
Q8N2F6,-12.7455591206248
Q99439,-13.3091674997194
O60568,-8.31779457558859
Q02543,-8.12571937323714
Q9BZG1,-11.5285668901486
Q9Y2D5,-12.7041208508829
Q16706,-4.07663750806528
Q5JTW2,-12.4154468496997
P21953,-4.24718886460803
P55211,-3.87316760630051
O60336,-4.70495512603436
O60216,-6.99006405911969
P84085,-6.73808384851057
P32297,-3.69811788752854
Q86SE5,-2.68949578055506
Q6NS38,-4.32241023005365
Q7LG56,-11.3613512865598
Q6IS24,-6.30636870014985
O43405,-11.7086812156191
Q9BQA1,-8.87045684365083
Q9UH73,-2.51210381112981
Q9UHD9,-10.5958734063555
Q96FS4,-14.2618013653549
O94875,-5.97215451678632
Q9P0L2,-7.76312437301039
Q9P2S5,-3.88654559377587
Q8IZ73,2.87510844762621
P61020,-7.93802055368418
O43752,-6.53490868543867
P07602,-5.86886285875765
P57772,-11.7582558232881
P41208,-5.30345809172067
Q9NWU1,-14.1901555036037
Q9NPA0,-3.28314625958749
Q96KQ7,-6.77364728845888
Q9P2U8,-4.68458432801111
Q9H477,0.321359495091993
P78559,-8.4850109036714
Q02040,-5.19059202334124
P26373,-11.2680916178496
Q96MY1,-6.06946884618775
Q6PI78,-6.63923562010086
P20336,-6.19106114284364
Q5EBM0,-0.958700758833139
O75354,-5.47510298237277
Q96PY6,-5.54844050349888
Q92540,-13.3374889878986
P54259,-12.1082742463018
Q9H000,-3.69404969081716
Q92769,-23.2534966642115
Q66PJ3,-5.99483702217867
Q9UJ83,-3.01022223636696
O75530,-7.15701344434567
Q8IWU2,-12.7867213619521
Q15560,-12.9575055361637
Q8IWA0,-13.5384184781093
O95881,-4.09743792268011
Q92520,-6.48792850458929
P49902,-8.19355312215093
P78504,-1.11440672985134
Q8N556,-7.25692519973895
P15622,-11.6057311887036
Q06546,-15.0958141920682
Q9UIQ6,-2.94982461448465
Q6UUV9,-5.45829893096227
Q6IC98,-6.35583880422942
Q04656,-4.23781218084823
Q9NWQ8,-23.2534966642115
Q969R8,0.502542370775485
Q99757,-11.9380065571075
Q96DT7,-8.67882787024444
Q14241,-4.47738981645574
O15083,-6.19944229068274
O43683,-12.2270759787569
Q969T9,-5.5578253423408
Q08945,-6.83067049322624
Q96PV0,-7.48877934706791
Q96MU7,-6.20864067517029
Q9UBU9,-23.2534966642115
Q92564,0.210973596654086
Q7L3T8,-4.4631949726717
P14735,-16.09914840061
Q7Z6G3,-5.66916833108376
Q6P4R8,-11.1997061190539
Q8N4T8,-14.5550424837071
P55769,-8.37365733699436
Q8WWH5,-5.13810703465227
Q9BZF2,-3.35939409900051
Q96NL0,-11.1742053869572
Q8TDX7,-1.44823525666884
P00390,-11.0578996813635
P49840,-6.85751120026226
Q8TCU6,-10.9469937360155
Q9BYW2,-3.6811256552928
O75170,-11.9400159639685
Q9C0I3,-0.314524736672053
Q9Y4F5,-5.1957159073818
Q9BRP4,-4.88863350443307
Q9BX66,-6.1417661730484
Q9P289,-13.2383637735962
P62993,-5.91521940085979
P17405,-8.70677709835086
O75907,-23.2534966642115
Q9Y5X1,-8.81326780929899
P37837,-7.40213371657631
Q02809,-7.04986629404202
Q86VP1,-12.6069198120243
O75909,-12.9172939886737
Q8ND04,-6.78073184429286
Q14687,-4.29143183506013
P83916,-4.7368032437721
Q9UKZ9,-6.77324081434953
Q7Z6J9,-14.0824619901958
Q9BXA9,-0.747379623958106
Q9NWS0,-2.04225508314728
P08727,-10.9153291978572
Q8ND82,0.237060098003423
Q9NSC5,-5.64159085544214
Q9NUQ2,-10.5427679694247
Q6ZVL6,-6.15864110679735
Q9NRW1,-4.82577515055492
Q8TDN6,-4.19796725097766
Q7L1I2,-23.2534966642115
Q13163,-2.61600035954975
O75317,-3.22403621903194
Q9NUS5,-23.2534966642115
Q8NCA5,-5.30230066852035
O94804,-2.13968814067477
O75953,-5.9015971822168
Q8WYK1,-23.2534966642115
Q9NZ01,-1.40271101329594
Q5JTZ9,-6.893151189119
Q9HC52,-11.5483414294819
P61266,-13.9151463878889
Q14147,-16.0817380690914
Q13427,-7.80120621533833
Q9BVL4,-11.868324099128
Q5MNZ6,-5.16591060439129
P10588,-12.2269043699381
Q8IY17,-6.01340048390701
Q9Y2K9,-4.6917833214846
Q9UKZ1,-4.40892735104639
P12004,-6.98914411581924
Q16877,-14.4621093066984
A4D1P6,-6.55647469998315
P52594,-7.37483265193159
P24666,-6.88382972332105
Q13003,-2.71808892738709
P35080,-7.62358660933743
Q70EL1,-3.78646840560323
Q13907,-7.17550651783357
Q9UL12,-12.9260939957049
Q5T011,-11.3264012002394
Q9Y2Q3,-3.09761950014545
Q9NNW5,-6.28828087436929
Q02218,-8.36710665122101
Q9UG56,-5.18888006470581
Q13769,-12.6790888374193
Q9H4G4,-9.68234160753401
Q8TDN4,-2.85150783289608
Q5T7V8,-1.13733302654983
P20337,-5.22139576318406
P20338,-6.61384552249929
Q5T5X7,-5.39207671288438
Q13825,-10.1065714751301
