PG.Genes,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
WDR46,-4.22230279,-4.271868005,-4.486471699
LRRC8A,-4.674303132,-4.385411839,-4.483746332
PNMA8B,-2.747610689,-2.50339641,-2.476461213
CDKN1C,-2.085220212,-2.300452087,-2.352414575
DNAJB6,-2.762239318,-2.767453541,-3.027994236
NUDT16,-3.707331425,-3.739264805,-3.986973116
SH3GLB2,-6.219515508,-6.154682724,-5.943808122
HIKESHI,-4.540929585,-4.689053522,-4.839505975
LETMD1,-5.719981069,-5.622542018,-5.924115041
RNF220,-3.562643486,-3.677056586,-3.473363374
DIRAS1,-4.007142174,-4.236390396,-3.94002969
TTC5,-4.332618667,-4.593979747,-4.578147272
ENO2,-5.375333041,-5.406051101,-5.666077902
AGO4,-3.668268109,-3.669502801,-3.872622599
UBR5,-3.317749052,-3.300119457,-3.555039767
CTIF,-2.118717814,-2.274445982,-2.429240807
ACHE,-2.19744285,-1.909610758,-2.027193268
APEX1,-8.663826215,-8.504696418,-8.79858501
SCAF8,-2.345562492,-2.070947135,-2.316668077
ALDH6A1,-5.136667896,-5.346642836,-5.085069997
DDX42,-3.563943871,-3.296774076,-3.547905644
UQCRC1,-5.655890099,-5.559718366,-5.377287396
LHX4,-1.409029565,-1.420409046,-1.702596424
NRXN2,-2.863316212,-3.047239771,-3.180148908
POLG2,-5.139901686,-5.05906943,-5.00414246
STX12,-2.706790362,-2.818034658,-3.037699684
MTSS1,-3.330417376,-3.195506929,-3.531609991
ERP29,-4.5521302,-4.601642936,-4.878743287
TCAF1,-1.818154724,-1.81238454,-2.121693463
FADS2,-3.132592835,-3.253585928,-3.123143306
SMARCB1,-2.946861553,-2.826593013,-2.658153869
APC2,-2.108025221,-2.285779301,-2.457002115
ATG4B,-7.331248253,-7.475745744,-7.682643439
COCH,-2.064389624,-2.033372537,-1.751621895
ADAR,-4.11952136,-4.407095024,-4.430114038
ERO1A,-7.299038784,-7.394834292,-7.644547241
SGCB,-3.491668427,-3.637944336,-3.636212819
FBXL2,-4.091072385,-4.251759282,-3.894062803
B3GAT2,-3.025583291,-3.387795474,-3.199495547
ASTN1,-4.732820654,-5.093199126,-4.838911994
TDG,-2.157712555,-2.495874605,-2.257808135
PRPS1,-7.104285333,-6.784227228,-6.770804481
ISYNA1,-3.63759587,-3.637478268,-3.969306943
NDRG4,-9.122089254,-8.935328165,-9.267485296
SELENON,-2.950441077,-2.807318406,-3.115277014
HCFC2,-2.135133925,-1.938325579,-1.990496485
BAG6,-3.226500572,-2.923988519,-2.900046221
PELI2,-2.242726225,-2.544520252,-2.576342901
PATZ1,-1.137455544,-1.12286299,-1.47432805
PUM1,-2.848242212,-2.649640654,-3.02957002
SLC35E2B,-0.098229488,-0.332990854,-0.292273333
RPAP3,-3.339606274,-3.12420226,-3.107197789
SHC3,-3.519017829,-3.403434293,-3.605943169
EMC1,-5.668630481,-5.346813968,-5.6692364
ANK2,-9.365789901,-9.146798236,-9.469721564
RPS8,-7.978588518,-8.282963085,-8.316887946
DNER,-1.69506513,-1.822972856,-2.080788471
NCAM2,-2.637664612,-2.605749283,-2.978119631
RPRD1B,-3.938561069,-3.561628507,-3.827481262
KCNQ2,-2.197110514,-2.069884926,-2.433583276
CBFB,-4.888343592,-4.676356254,-4.487362523
HINT2,-5.90955098,-5.629142936,-5.773868195
DDX3X,-2.820655416,-3.116252013,-3.196743514
CWC22,-4.1458511,-3.873362063,-4.2611352
APRT,-4.463699513,-4.567068671,-4.872225686
IMP3,-3.136479581,-2.732336321,-2.975261722
PPIL1,-6.95073257,-6.697009148,-6.536796276
NOL4L,-1.899646377,-1.514030254,-1.803358022
CSNK1E,-4.346232789,-4.737088237,-4.367142269
KCTD1,-2.244391083,-2.112350429,-2.019959092
BAG5,-7.104394226,-7.148647294,-7.504804849
BIRC2,-3.728630868,-3.773037084,-3.768882026
CDIPT,-5.195601247,-4.824129692,-5.129895996
TRIM41,-2.93001519,-3.058307897,-3.356390815
KIDINS220,-5.587631302,-5.447964199,-5.875794758
NUB1,-2.052202902,-1.62298251,-1.764614591
ACBD3,-5.113050998,-5.254448979,-4.842214325
FXR2,-2.981462862,-2.85973687,-3.283058155
PAG1,-2.956264985,-3.292567061,-3.071576451
CNN3,-9.865664062,-10.11170358,-10.14768177
NCKAP5L,-3.028827686,-3.111131943,-2.721601374
RTN4RL2,-2.786738471,-2.928657974,-3.220610335
TRIM27,-2.210385762,-2.08802779,-2.517027259
CDC37L1,-0.611189345,-0.417079049,-0.184331484
ZMIZ1,-1.69955562,-1.43467772,-1.306361369
EP300,-5.456543644,-5.151840605,-5.018631196
NDUFA5,-3.442682261,-3.579441743,-3.784561955
LRRFIP2,-4.503713061,-4.773726133,-4.343471242
PDZD4,-2.327657659,-1.92515639,-1.931576328
NAV2,-3.964550999,-3.521287127,-3.758902287
LLGL1,-5.283421106,-5.125741351,-5.58160972
CADM4,-2.368314504,-2.393194328,-2.791951112
PSME2,-5.488726845,-5.53793551,-5.894336088
TMEM63B,-2.794670511,-3.000207238,-3.232789844
ATP6V1A,-4.121798466,-3.898960302,-4.362795767
FBXO7,-2.915334798,-2.91029594,-3.332749216
GATD1,-2.827790017,-3.127080376,-2.77745232
EHMT2,-3.726406928,-3.403829251,-3.836170059
EBNA1BP2,-4.106228105,-3.991108528,-4.456848167
SGIP1,-3.741172954,-3.682549134,-4.133801116
C7orf50,-5.279454007,-5.282509904,-5.708370065
RET,-3.151456307,-2.73093346,-2.71722748
SOGA1,-2.921119714,-3.36119594,-2.939238517
MINDY1,-3.150508802,-3.519028518,-3.556687651
CLNS1A,-4.215067496,-4.370781137,-4.696048481
PLEKHA6,-2.138379502,-2.21604972,-2.605118493
NUDT14,-6.954683499,-7.019563616,-6.592920184
AGFG1,-7.028013123,-6.989230553,-6.621971228
RBM6,-6.365066673,-6.814170736,-6.689489881
MAP3K12,-2.793973318,-3.107335321,-3.254699854
PPP6C,-4.979238058,-4.58936712,-4.67212875
RAP1GAP2,-3.408871954,-3.596238863,-3.899045506
POLR1E,-1.231102891,-1.281000498,-1.008854082
UCKL1,-4.640148965,-4.152731935,-4.417803561
PPP4C,-3.58701365,-3.46636618,-3.953316967
MPZL1,-5.185104771,-5.127894175,-5.593877853
KDM6A,-2.260988767,-1.986825172,-1.760715355
GPC2,-3.883679504,-3.885231194,-4.343344116
PWWP2A,-2.895266804,-2.716941205,-3.21016971
MFN1,-4.143601705,-4.014840236,-4.513875994
TMEM132E,-2.45360553,-2.502490343,-2.927472336
NDFIP1,-2.718596126,-3.171190111,-2.69101327
RNH1,-4.576955493,-4.584551168,-5.047302785
RPN1,-4.728400559,-4.833757489,-5.230237935
BUB1,-4.247891553,-4.702723104,-4.22143811
RNF126,-4.476400714,-4.936312486,-4.45786582
NFASC,-3.560584823,-3.379493709,-3.897764676
CRBN,-3.219019089,-3.501601593,-3.697456405
KCTD12,-2.586986478,-2.531772828,-3.026650975
BUD13,-2.978456492,-3.069643404,-3.316614561
CWF19L2,-2.499161984,-2.544037757,-2.992232708
SPTLC2,-2.958896457,-3.276371119,-3.458003289
CEP170B,-2.506898114,-2.254825862,-2.511618779
RBM5,-3.81160953,-4.138391948,-4.308355978
HS1BP3,-6.13453784,-6.085716571,-6.584132947
IPO13,-3.563130615,-3.683535658,-3.896120018
SNX9,-5.853527456,-5.399997728,-5.402664484
AASDHPPT,-2.779353446,-2.882142638,-3.298246109
SOD1,-5.569172574,-5.526524456,-5.788659345
ZNF768,-3.674795673,-4.068811358,-4.140512227
NISCH,-3.348690898,-3.836894693,-3.363080587
ALG9,-4.423783568,-4.592001791,-4.952769906
G6PD,-4.580203346,-4.611272011,-5.073296707
IRS1,-2.711625811,-3.191520397,-3.087889864
JPH4,-2.10660984,-2.374540832,-2.465979359
SCD5,-2.358957211,-2.364980982,-2.604350057
SORCS3,-2.13808614,-1.735604392,-2.063378204
PTPRT,-2.406564961,-2.757923584,-2.912570666
APPL2,-5.198762778,-4.897724434,-5.425862334
NT5DC2,-3.892569036,-3.725559845,-4.265535913
SPNS1,-3.418649628,-3.311368056,-3.825503919
TTBK1,-3.577085632,-3.112112356,-3.508911258
MFSD10,-4.97566323,-4.478977917,-4.480600853
RPS27A,-2.360230617,-2.392025498,-2.207119845
CAPZB,-4.041795403,-4.070052354,-4.55390131
PRKACB,-3.743051416,-3.628127905,-4.159467541
WNK3,-4.012897823,-3.903779078,-4.447231672
WDR33,-2.731996232,-2.357078861,-2.403237492
RAB7A,-6.635058541,-6.90992391,-7.185518719
SEC24B,-5.668994932,-5.104680429,-5.336074014
GSK3A,-3.662281149,-4.139263899,-4.040310286
SFXN3,-4.027705275,-3.78335039,-4.350430913
AHDC1,-3.435040323,-3.218679751,-3.784599346
GRN,0.004701666,-0.001453534,-0.212353731
FAXC,-3.801284147,-3.245286648,-3.55231121
MYL6,-4.129280734,-4.013834948,-4.356440695
CELSR3,-3.807294842,-3.780263949,-4.312039181
ARVCF,-4.375976224,-3.861207649,-3.848204727
KMT2B,-3.383567708,-2.890651273,-3.334285499
FBXO38,-2.017029592,-1.8996149,-2.469241294
PCDH1,-2.514657207,-2.507147715,-3.020786623
TBC1D17,-4.231548635,-3.832541286,-4.349857789
RING1,-2.252788342,-2.601430672,-2.804704235
SRRM4,-2.209829048,-1.911656831,-1.639156451
SENP3,-3.350981233,-3.516092884,-3.905879716
TAX1BP1,-2.528321181,-3.070571698,-2.546079695
HMGCR,-3.560734136,-3.357426356,-3.887356329
OSBPL9,-3.531690756,-3.679049982,-4.112804223
ADGRL1,-2.338975283,-2.46401984,-2.917594909
APEH,-4.774581967,-4.502325235,-5.082420751
PTRH1,-3.648099218,-3.84441799,-3.342694471
PANX2,-3.605495455,-4.107287677,-4.055623607
CTNNB1,-3.529048588,-3.062998238,-2.948337383
FASTKD2,-3.836263877,-3.635426191,-3.276233193
NUDT16L1,-3.654862181,-3.687645975,-4.183495573
TPGS1,-3.455927604,-3.773488107,-3.583751578
ABRAXAS2,-5.022349013,-4.962967452,-4.66520085
GNAZ,-4.690339358,-4.44292225,-5.001482065
TFG,-3.285873194,-3.107090919,-3.621431409
FOXK1,-2.789503938,-2.470180715,-2.835942333
LPGAT1,-3.640340596,-4.01872653,-4.203850787
ANKHD1,-4.283496935,-4.193500259,-4.774144199
YRDC,-5.126092447,-4.529991391,-4.670724834
PDE12,-6.223521104,-6.105468045,-5.683879938
ELP3,-3.408437796,-3.206307757,-3.812894022
ZNF428,-2.060891031,-2.037788798,-2.601599568
WDR43,-4.861565023,-5.309504332,-5.381961386
SMAD4,-3.033360853,-3.497338834,-3.523045846
RGS12,-4.32332776,-4.189253078,-4.795584057
PGLS,-5.006684112,-4.885215668,-5.489081703
GFRA1,-2.382902423,-2.181124042,-2.793376845
RAP2B,-7.981396846,-7.972587328,-7.49969119
ZNF264,-1.655863569,-1.817130842,-2.174752783
FKBP8,-1.947179579,-1.891375617,-2.477013803
PMVK,-4.011704123,-4.405230333,-4.58418002
RNASEH2A,-0.579069688,-0.717423913,-0.36473623
PHLDB1,-3.452791896,-3.389731578,-3.987596577
IGFBPL1,-3.72880721,-3.969700902,-3.897614796
PEX5,-3.618351885,-3.526293656,-4.126003127
PDS5A,-3.218689126,-3.209118222,-3.262062453
PRNP,-3.332994492,-3.951786224,-3.505484724
ESS2,-2.470858767,-2.784743338,-2.164525225
CSTF1,-3.827848134,-3.568261104,-4.148156388
KDM4A,-2.366324122,-2.198997471,-2.829344679
ARPC1A,-7.114601813,-7.652189007,-7.04264649
UBE4B,-3.128201731,-2.996264645,-3.627871392
TTC4,-2.565280138,-3.027379057,-2.404189951
RPL18A,-4.963651835,-5.165043558,-5.493434625
NFKB1,-3.587111593,-3.832796145,-4.235250089
SAMM50,-5.264807132,-5.281053531,-5.86631226
WRNIP1,-2.609952575,-2.576261589,-3.183277274
SRPK1,-3.083017427,-3.107570379,-2.696142777
CNTNAP5,-2.241556771,-2.155920656,-2.787727147
FRAS1,-2.550695077,-2.355914519,-3.000340262
MYT1,-3.061040009,-3.142658791,-3.687782665
ELAC2,-5.418836064,-5.971234266,-5.902274707
CAMSAP1,-3.49163854,-3.365309565,-4.01282029
TFIP11,-3.544440754,-3.853574283,-4.056267151
STAMBPL1,-2.993952088,-3.12432598,-3.643504939
MFF,-3.482945987,-3.803680201,-4.129961544
EMG1,-4.736626058,-4.293078731,-4.887040506
ARMCX1,-3.037792435,-3.435900319,-2.781908724
BYSL,-2.552653735,-3.098614928,-3.066342429
LAMTOR2,-4.392367709,-4.344205253,-4.905282407
CDC5L,-6.974947679,-6.495896809,-7.023956003
HNRNPA1,-7.570035186,-7.133196479,-6.899806602
NRXN1,-3.230519195,-3.479021204,-3.766843262
ACTL6B,-5.330276368,-5.501283893,-4.913444665
DTX3,-2.918990543,-2.282774247,-2.540505863
KDM4B,-1.965789701,-2.192990497,-2.64091721
LRIG2,-2.386050706,-2.014087641,-2.66388639
TNKS,-3.791445421,-3.937528124,-3.330648422
C8orf82,-4.368083859,-4.470942547,-5.004096651
RELN,-2.612338237,-2.374744576,-2.961379634
ELAVL2,-3.073846266,-2.619285611,-3.235022409
MAGED1,-1.584455369,-1.339396749,-2.01984603
NME7,-2.872573822,-3.509349242,-3.294923492
CTNND1,-3.782652068,-3.811271901,-4.424274209
PPP2R1A,-6.499673365,-6.888461676,-7.156346122
TBC1D2B,-2.986475469,-3.424024813,-3.169733512
USP24,-9.613593898,-10.01443959,-9.74362657
TAB3,-3.077975757,-2.758518791,-3.405174121
POLR3F,-3.830408649,-4.392282659,-3.715396802
PYGO2,-2.635204809,-2.72158372,-2.200922633
PSMD9,-3.768285635,-3.741721708,-4.396260837
ATAT1,-5.813568631,-5.87110823,-6.47746206
CADPS,-6.725809539,-6.90443066,-7.419492483
MRPL13,-5.49512477,-5.081797369,-4.81178522
SDK1,-3.673654606,-2.973119828,-3.28859119
MTA3,-3.553333225,-3.619860368,-4.097563399
MBLAC2,-4.0876492,-4.063603586,-4.72682465
TSC1,-4.184146376,-4.5958274,-4.853964044
PARP2,-2.594229331,-2.420624096,-2.114441565
ATP5F1B,-5.360519746,-5.344666577,-6.006502535
PRR36,-4.394920033,-5.026351535,-4.435602644
GNAI1,-3.846299268,-3.706928318,-4.411203321
OSBP2,-5.924649272,-5.598612934,-6.301564029
TMEM121B,-3.212161807,-3.307827475,-3.906490195
DDX51,-3.261811251,-3.510676977,-3.976906948
ORC5,-2.981364183,-2.507323409,-2.81440982
ARID3A,-2.336216253,-2.228991085,-2.924644192
DACH1,-2.19592021,-2.322333491,-2.894795093
KIF3C,-1.97090608,-2.126994812,-1.487079212
WNK1,-4.314257125,-3.73292242,-4.115294756
NT5C2,-7.830355303,-7.479113036,-7.245396973
CLVS2,-4.462438586,-5.034098006,-4.73226217
SLAIN1,-2.892042252,-2.827236033,-3.203202564
KMT2D,-3.145012515,-3.090674828,-3.776770472
CTNND2,-3.143629145,-3.364957927,-3.86048808
ARHGEF17,-2.584003021,-3.02910319,-2.504191419
ABHD12,-4.466060759,-4.323587042,-5.03560264
PTPRK,-1.903078058,-2.482832112,-2.473164525
DHX16,-3.233890307,-3.447897427,-3.955980674
PTPRG,-2.581336048,-2.596049736,-3.257830682
CCAR2,-5.214687586,-4.990223151,-4.543288183
PCYOX1,-5.932082932,-5.22887115,-5.601193535
H6PD,-4.914816965,-4.339151457,-4.537246495
RANBP9,-2.319893852,-1.985444337,-2.661547594
TRMT112,-3.667508424,-3.614902136,-4.311173686
RIOK1,-2.100191759,-2.155533423,-2.338369748
POLDIP2,-4.311570036,-3.585796643,-3.800688212
CMTR2,-0.809606353,-1.074708298,-0.632705734
PTPN9,-2.604964238,-2.294963547,-2.60165333
CYB5R3,-4.334279786,-4.239635055,-4.902115142
NAV1,-3.196980337,-3.608801199,-3.895989702
SSH2,-2.996206853,-2.612173619,-3.041254139
SMAP2,-3.445441049,-2.84069775,-3.398262707
RANGAP1,-9.3195544,-8.845973114,-9.247886292
CTSB,-4.941103845,-4.946979135,-5.627204472
ST8SIA3,-3.038665456,-3.176711428,-3.707085311
NDUFS3,-5.681434333,-5.037969957,-5.569913662
RRAGA,-5.101135362,-4.404484966,-4.851009807
CNTNAP2,-3.512274339,-4.258524625,-3.75907277
FKBP4,-8.053963478,-7.56689888,-8.101083749
IRS2,-1.692550991,-1.462437975,-2.128243679
ACP1,-3.976964609,-3.811861454,-4.445020144
GOPC,-3.621543729,-3.497231123,-4.233225271
TMEM106B,-1.770125839,-2.063814127,-2.347554319
PSMC3,-7.320985891,-7.639445147,-7.075571592
FAM207A,-1.97646899,-2.093315094,-2.71050928
TSN,-4.208466101,-4.606737377,-4.910057627
LGI2,-3.704391306,-4.079526844,-3.50245181
SPOCK1,-2.381588875,-1.705634325,-2.118333711
ECSIT,-4.39316734,-5.142535037,-4.737736397
PPM1B,-4.574589977,-4.543424763,-5.256915597
RAD21,-4.013047973,-4.593433925,-3.837221168
TMEM65,-4.951332199,-4.738689399,-5.499989132
VPS45,-4.149327707,-4.116935073,-4.830657119
SLC4A1AP,-2.394108794,-2.953345226,-2.936895094
GPAA1,-3.340191329,-3.916529293,-3.927375327
PIN1,-3.983155245,-4.140246505,-4.743073403
MAU2,-5.404754102,-4.6382094,-4.830326213
MTA2,-2.550686807,-2.403543289,-3.164581489
USP27X,-3.843054151,-3.490977354,-3.959418193
SH2B1,-3.76911597,-3.942549636,-4.514500412
FBXL16,-3.04737044,-3.453062827,-3.795606404
UBE3C,-4.482543696,-4.162327757,-4.933460983
LONP2,-3.260388682,-2.78616561,-3.504325395
RUNDC3A,-3.454029043,-3.025211537,-3.767045194
PSMF1,-3.49161943,-3.139859099,-3.907280686
MPG,-3.156835709,-3.175672096,-3.868426195
EBF1,-1.861872644,-1.805149743,-1.89867273
SLC12A5,-2.637529767,-3.382354281,-2.815057095
RPS6KC1,-3.833145771,-4.391892061,-4.506264744
TNRC18,-1.900710785,-2.235896187,-1.691532768
DCX,-2.645422727,-3.14169063,-3.362852177
GNAO1,-5.712023229,-6.47215052,-6.07177013
CADM3,-6.135613815,-6.521302547,-6.900853624
EIF2B4,-4.222550914,-4.144308272,-4.912167088
SBK1,-2.530464404,-3.157164051,-2.367779789
PAAF1,-3.970786189,-3.599021641,-3.436292291
MTMR8,-2.824047332,-2.620869527,-3.416227775
PIGG,-4.299110272,-4.861843075,-4.06443963
ADGRL3,-2.858263265,-2.635221367,-3.432798827
NUDT19,-4.144233877,-3.837160654,-4.225706862
CSNK1D,-2.644372495,-2.542657177,-1.964694723
TERF2IP,-3.820101585,-4.455776983,-4.447959875
IRF2BPL,-2.679897777,-2.523240876,-3.319854466
NELFE,-3.024521826,-3.026608729,-3.752995337
B3GAT3,-3.510847755,-3.475169865,-4.134796405
ZBED9,-2.41383292,-2.103802275,-2.910882052
CCDC97,-3.556307487,-3.407360026,-4.211054336
GPN1,-3.719678105,-3.77557513,-4.497148192
TOMM34,-4.059539117,-3.412717034,-3.980149878
SLC1A6,-1.925812156,-2.610470851,-2.513391577
GALNT9,-2.166398905,-1.848364543,-2.628621367
PFDN2,-5.005762723,-4.946806392,-5.728717264
TBC1D13,-3.194342624,-3.16119122,-3.93353749
DCPS,-10.15012109,-9.475146153,-9.392417884
IGF2R,-5.163553808,-4.513382971,-5.145444137
DMWD,-2.497860894,-2.437416447,-3.222880005
TBC1D9,-2.322839922,-1.600053385,-2.149260906
ARPP19,-3.552938778,-3.051807373,-3.70898803
TBL1XR1,-2.909386949,-2.360855574,-2.586763324
XKR4,-3.893583689,-3.834497764,-4.62034575
PBXIP1,-5.2246034,-5.43400136,-6.039499375
PDCD4,-2.811281457,-2.464920951,-3.280515476
GNB2,-4.951614209,-5.584853465,-4.877382023
PTCD1,-3.10831111,-2.700841206,-3.508972747
CPSF4,-3.342003008,-3.586555372,-3.869790888
PCDHAC2,-3.985627548,-3.510247381,-4.290912741
ATP6V1B2,-5.005316502,-5.315824389,-5.841570069
WDR91,-5.023391866,-4.620703137,-4.944492579
ATL1,-9.739471462,-9.024161792,-8.980997909
RIC8B,-5.095249081,-4.515064691,-5.019142268
EPHA7,-2.491446348,-2.13721939,-2.583263771
PMM1,-5.251690429,-5.258360121,-4.59250882
SCRN1,-4.416269681,-4.546511635,-5.251206429
HIVEP2,-1.715446001,-2.011531471,-2.327350915
BZW2,-4.837980452,-4.751425719,-5.571568079
GNAQ,-4.980694777,-4.823531283,-5.667133244
AHCYL1,-4.728118082,-4.907000416,-5.460423654
ALS2,-4.295476517,-4.236133347,-5.054912271
PTP4A2,-5.217108878,-5.094064568,-5.691036617
GIT1,-4.49475046,-4.005530397,-4.802958201
RPF2,-7.812947991,-6.992951453,-7.219176093
FBXL20,-4.456373184,-4.356380458,-3.736397053
SNAP25,-4.25806027,-4.665627522,-5.097682025
KDM5B,-3.220323128,-2.364606088,-2.706514254
PAPSS1,-2.843212914,-2.898544352,-3.669468682
PDE6D,-3.030217944,-3.0220184,-3.822364108
DDX47,-4.484720265,-5.041027033,-5.258306776
WDR77,-5.457370276,-4.748204105,-5.375204867
RPL7L1,-5.140656858,-5.481412531,-6.002481472
ZNF24,-2.785784986,-3.586324269,-3.051409983
NAB2,-2.355501017,-1.898073345,-2.485778922
DEF8,-1.378173877,-1.479690783,-1.023131683
TBC1D15,-4.746274293,-4.401608767,-5.268805191
GAN,-3.878381301,-4.151618327,-4.755574068
COX20,-4.232691327,-4.23810584,-5.049956035
BACH2,-2.119122325,-2.793542698,-2.787841559
SNX1,-5.503611897,-4.782742572,-4.649466225
SNRNP35,-4.341513327,-5.023304088,-5.033455791
ELAVL1,-3.908618385,-3.992370619,-4.757536008
PTPRA,-2.43903519,-3.16901247,-3.083395486
FBXO21,-2.441283269,-1.975273071,-2.816673874
MCRS1,-3.10974071,-3.292934287,-3.990666774
RAF1,-5.262737614,-4.589436433,-5.294273813
CNOT8,-4.671594004,-3.797115592,-4.170111768
RERE,-2.722969549,-2.552471891,-1.95377838
PLEKHO1,-9.27414519,-9.818956324,-9.238116194
EDIL3,-8.184639085,-8.289252594,-7.551897427
TOR1AIP2,-3.65087207,-3.065310403,-2.763340866
ETFB,-6.678824003,-5.893999067,-5.820744282
COQ8A,-3.195535304,-3.945519688,-3.826173936
RAB30,-3.070906744,-2.459588557,-3.226370248
USP3,-4.269243188,-4.315783458,-5.124305633
PRUNE1,-4.443389686,-4.550474175,-5.320417535
TTC9B,-3.154580125,-3.943749293,-3.515946336
PEBP1,-8.16632957,-8.339265973,-8.989284054
ARSA,-7.177805192,-6.668597273,-7.503369548
RABL6,-5.571566681,-5.465270084,-6.160195261
LSAMP,-6.664447369,-6.000127174,-6.686345055
KHSRP,-3.874101394,-4.201789168,-4.768601904
FARP1,-5.365013752,-6.245048682,-5.547458568
NXF1,-3.728497525,-3.615752595,-4.492644056
CELF2,-3.228664887,-3.157556698,-4.029526552
NECTIN2,-5.313439837,-5.194916683,-4.789860861
CLEC16A,-2.319040217,-2.306268191,-2.83708135
MCM4,-3.012986108,-3.758349316,-2.995770878
FKBP1B,-3.566700229,-3.665428923,-4.431801045
WDR47,-7.877368744,-7.762776288,-8.648048773
KLF12,-2.755924213,-3.482765277,-2.750083081
ADPGK,-5.631984307,-5.379739498,-5.730740784
MMS19,-4.96506421,-4.314309427,-5.061465457
MAN2A2,-2.379234612,-2.122786778,-3.044419361
STRN4,-4.285024687,-3.731735193,-4.568470286
ZC3HC1,-6.181924661,-5.310666743,-5.429566502
SESTD1,-2.927551796,-3.425321168,-3.709085609
RCC2,-3.801667018,-3.984594188,-4.722224113
ANKFY1,-5.070631338,-5.442682,-5.978008566
TBC1D12,-0.070872171,0.604215873,0.493715754
GFRA2,-3.08568725,-2.676575071,-3.58472566
POLR2E,-6.287739522,-6.984859386,-7.028609677
AFTPH,-2.427663073,-2.558259283,-2.066347639
COPG2,-6.707864101,-5.917882022,-5.980836813
ANKMY2,-2.963241007,-2.633265059,-3.309956118
SORBS1,-4.079958517,-4.444373798,-5.003873681
RBM15,-5.555411132,-6.268736965,-6.280846345
PRPF38A,-6.217792384,-5.815752676,-5.33094633
MAD1L1,-2.752672394,-2.624950773,-3.528743636
ATP6AP1,-5.427653161,-5.987356638,-5.061452073
