PG.Genes,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
WDR12,0.580458429,0.592509004,0.587416773
ECH1,-6.597862508,-6.577291813,-6.583601474
UBR2,-3.847021535,-3.864489244,-3.809712368
TOLLIP,-3.165701737,-3.108051014,-3.141851088
UNCX,-1.375435109,-1.341994763,-1.410244971
USP11,-3.029123128,-3.024920608,-3.091264319
UBE2K,-3.809488479,-3.797264626,-3.751519698
TET3,-2.112540773,-2.031678179,-2.039940196
CRKL,-6.30581186,-6.246555235,-6.338305109
KIAA1549,-3.540315421,-3.438111916,-3.4592409
SAP30BP,-3.816460253,-3.877390735,-3.766225953
PRPF38B,-4.138750322,-4.030210343,-4.107342429
MED15,-3.728717905,-3.782738911,-3.845703482
ECE1,-2.363832923,-2.353620008,-2.254481029
FAM91A1,-4.734334006,-4.794091652,-4.8600086
FBXO41,-4.195805832,-4.279885199,-4.153758459
OLFM3,-1.812626148,-1.768537861,-1.859111297
HDGFL2,-8.173910726,-8.149951111,-8.203367587
SYT6,-2.513619366,-2.646112202,-2.586107957
BAZ2A,-4.943234765,-4.893749405,-5.041337655
CLSTN1,-1.360688487,-1.310874038,-1.220467692
PCDHA12,-3.190559457,-3.180914382,-3.327414551
EPM2AIP1,-3.843557855,-3.860235502,-3.98909078
DDX50,-5.63228768,-5.648151377,-5.495965083
SUPT6H,-4.389856169,-4.495132257,-4.314951297
SOX11,-1.024849937,-1.010821971,-1.157971364
FBXO44,-2.953445313,-2.96989968,-2.813204494
PLD3,-2.874564157,-2.968716418,-3.064666146
LCMT1,-6.414127016,-6.387016624,-6.535674782
RPL4,-7.381852478,-7.462302786,-7.563524478
TTC33,-2.770167277,-2.749526634,-2.942721691
CDK14,-4.192250453,-3.983999838,-4.072047034
DPF2,-2.956723749,-2.750362959,-2.86998456
POLR2B,-4.158041946,-4.070963324,-3.945904276
SYNCRIP,-8.559925945,-8.620278017,-8.744147277
PTPRF,-2.714987107,-2.521902766,-2.519589458
RAB18,-3.446952153,-3.514542754,-3.64325363
PRRC2B,-2.59443129,-2.764257916,-2.802238652
SEC16A,-3.634565117,-3.555737677,-3.784101912
RUNX1T1,-0.831740516,-0.770944821,-0.996483214
ILVBL,-4.217794344,-4.425738365,-4.232842801
DGKA,-3.264703891,-3.076939023,-3.291607131
KAZN,-3.694453825,-3.789286096,-3.550994349
DNAJA3,-4.21700605,-4.21412742,-4.331894523
SMARCD2,-1.567109425,-1.672399098,-1.810796144
FHOD3,-2.57236762,-2.505840254,-2.754717485
GFPT1,-2.728596118,-2.515930244,-2.541314652
ACTR6,-2.948051982,-3.014986599,-3.053106823
GNA13,-4.697489883,-4.68825239,-4.920098231
SLIT1,-2.865448156,-2.99941485,-2.741550704
CD276,-6.695289342,-6.906089309,-6.663112011
KPNA2,-2.341875153,-2.400199937,-2.594031124
MRPL24,-4.674285518,-4.701839411,-4.477816112
RACK1,-5.558383242,-5.810099753,-5.59724311
TMEM132A,-2.144180287,-2.156697094,-2.377250545
CLPTM1,-6.529549929,-6.763074229,-6.533374877
BAIAP3,-1.74802891,-1.874343899,-2.020820973
ZDHHC17,-2.556323371,-2.549712233,-2.776733886
IGDCC3,-3.140748418,-2.859643686,-2.973910523
NCOA4,-1.958258734,-2.053008654,-2.239977006
SNCG,-8.931939021,-9.161010471,-9.106907343
CADM1,-3.96451261,-4.111879492,-4.250250089
SMPD1,-4.683307241,-4.422768396,-4.605007343
