PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
LDB1,-4.227355056,-4.170042587,-4.142481211,-4.11947096,-4.429490659,-3.474354735
ABHD12,-4.884588175,-5.013388958,-4.717829784,-4.133786445,-4.921243721,-4.329078944
BACH2,-3.462958345,-3.671825723,-3.681415815,-2.646515624,-3.081464572,-3.153309464
RAB8A,-5.50650542,-5.712314422,-5.403938885,-3.896212562,-4.50239269,-4.139720031
GNA13,-5.651684347,-5.724077152,-5.954547784,-5.050078658,-5.214131209,-5.591784972
OLFM3,-2.703412064,-2.722553553,-2.840212353,-2.388336486,-2.141329804,-2.17755663
PEX5,-4.69735656,-4.93802904,-4.950531367,-4.464043835,-3.78147102,-4.382968594
FBXO44,-3.901627435,-4.197139285,-4.065888039,-3.381935528,-3.310622713,-3.412164177
STK25,-4.977368533,-5.174090693,-4.847561073,-4.648121638,-4.385565909,-4.79880847
EMC3,-5.40723648,-5.116570436,-5.111520149,-4.153139788,-4.301947387,-5.033482005
PDE12,-8.03114495,-7.745347965,-7.727358198,-5.523749982,-5.87122129,-6.580803226
PAPSS1,-4.233913488,-4.478361012,-4.537068455,-3.416594022,-3.486913804,-3.646777752
ARPP19,-3.926563273,-3.865469906,-3.89086556,-3.948899758,-4.050256522,-3.348505232
GHITM,-6.866735405,-7.1153998,-7.18160501,-5.897598577,-6.507349306,-5.825508046
CLSTN1,-2.934415341,-3.217965577,-3.016804204,-1.873134139,-2.644078961,-2.269087835
FBXO7,-4.527709218,-4.742045757,-4.401319445,-3.269994566,-3.32721449,-3.300889805
CTSB,-5.836689925,-5.510612359,-5.777773672,-5.846014791,-6.256481126,-5.364043407
ATP6V1A,-5.473450096,-5.417434848,-5.763768168,-4.152269442,-4.894168773,-4.134174526
GNB5,-5.44955885,-5.211031382,-5.493491852,-4.423814216,-4.390855363,-4.677516303
CADPS,-7.979993386,-7.837473752,-7.632510367,-7.42667291,-7.424729923,-6.791391438
CLPTM1,-6.553331652,-6.442999523,-6.208779967,-6.048558089,-6.120100479,-6.570412449
KHSRP,-5.616823575,-5.418186134,-5.247989994,-5.149838528,-5.222019605,-4.933058127
ZDHHC17,-4.050795872,-3.879248433,-4.088575695,-3.487176911,-3.197840451,-3.037304133
LRIG2,-4.00622838,-4.340187798,-4.293313758,-3.010970175,-3.920393283,-3.805473836
SOX11,-2.593508508,-2.341235116,-2.353848451,-1.658111657,-1.777035375,-1.67263951
PPIL1,-7.338037429,-7.652721445,-7.287243437,-6.326573391,-6.359504818,-6.471144615
BYSL,-3.963793229,-3.709582183,-3.577185337,-3.038603147,-3.217249842,-3.83064605
ELAVL4,-3.940559696,-4.266206434,-3.896927114,-3.277152839,-3.313155113,-3.644274559
PTRH1,-3.837972055,-4.076120772,-3.840610688,-3.356567514,-3.868228775,-3.430070708
WRNIP1,-4.342268519,-4.25578508,-4.629676954,-4.308021806,-4.227911706,-3.559330185
CELF1,-5.243674929,-4.961350259,-5.323587082,-3.687982883,-3.881567847,-3.771479191
PLEKHA6,-3.237953901,-3.301295042,-3.622315186,-2.639448555,-2.756734741,-2.634974808
SLC1A6,-4.115560374,-3.779714827,-3.734978682,-2.633069942,-2.254961299,-2.709535699
ILVBL,-5.276738562,-5.045440147,-5.434294099,-4.343360506,-4.466873384,-4.813612505
TMEM65,-5.981501636,-5.582285496,-5.669140511,-5.469005518,-5.506431118,-5.033863428
