PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2,ConditionNorm_P_300_1_log2,ConditionNorm_P_300_2_log2,ConditionNorm_P_300_3_log2
ARPP19,-3.926563273,-3.865469906,-3.89086556,-3.948899758,-4.050256522,-3.348505232,-3.552938778,-3.051807373,-3.70898803
GHITM,-6.866735405,-7.1153998,-7.18160501,-5.897598577,-6.507349306,-5.825508046,-5.846451466,-5.806778582,-6.715865603
CLSTN1,-2.934415341,-3.217965577,-3.016804204,-1.873134139,-2.644078961,-2.269087835,-1.360688487,-1.310874038,-1.220467692
FBXO7,-4.527709218,-4.742045757,-4.401319445,-3.269994566,-3.32721449,-3.300889805,-2.915334798,-2.91029594,-3.332749216
CTSB,-5.836689925,-5.510612359,-5.777773672,-5.846014791,-6.256481126,-5.364043407,-4.941103845,-4.946979135,-5.627204472
ATP6V1A,-5.473450096,-5.417434848,-5.763768168,-4.152269442,-4.894168773,-4.134174526,-4.121798466,-3.898960302,-4.362795767
CADPS,-7.979993386,-7.837473752,-7.632510367,-7.42667291,-7.424729923,-6.791391438,-6.725809539,-6.90443066,-7.419492483
CLPTM1,-6.553331652,-6.442999523,-6.208779967,-6.048558089,-6.120100479,-6.570412449,-6.529549929,-6.763074229,-6.533374877
KHSRP,-5.616823575,-5.418186134,-5.247989994,-5.149838528,-5.222019605,-4.933058127,-3.874101394,-4.201789168,-4.768601904
ZDHHC17,-4.050795872,-3.879248433,-4.088575695,-3.487176911,-3.197840451,-3.037304133,-2.556323371,-2.549712233,-2.776733886
LRIG2,-4.00622838,-4.340187798,-4.293313758,-3.010970175,-3.920393283,-3.805473836,-2.386050706,-2.014087641,-2.66388639
SOX11,-2.593508508,-2.341235116,-2.353848451,-1.658111657,-1.777035375,-1.67263951,-1.024849937,-1.010821971,-1.157971364
PPIL1,-7.338037429,-7.652721445,-7.287243437,-6.326573391,-6.359504818,-6.471144615,-6.95073257,-6.697009148,-6.536796276
BYSL,-3.963793229,-3.709582183,-3.577185337,-3.038603147,-3.217249842,-3.83064605,-2.552653735,-3.098614928,-3.066342429
PTRH1,-3.837972055,-4.076120772,-3.840610688,-3.356567514,-3.868228775,-3.430070708,-3.648099218,-3.84441799,-3.342694471
WRNIP1,-4.342268519,-4.25578508,-4.629676954,-4.308021806,-4.227911706,-3.559330185,-2.609952575,-2.576261589,-3.183277274
PLEKHA6,-3.237953901,-3.301295042,-3.622315186,-2.639448555,-2.756734741,-2.634974808,-2.138379502,-2.21604972,-2.605118493
SLC1A6,-4.115560374,-3.779714827,-3.734978682,-2.633069942,-2.254961299,-2.709535699,-1.925812156,-2.610470851,-2.513391577
ILVBL,-5.276738562,-5.045440147,-5.434294099,-4.343360506,-4.466873384,-4.813612505,-4.217794344,-4.425738365,-4.232842801
TMEM65,-5.981501636,-5.582285496,-5.669140511,-5.469005518,-5.506431118,-5.033863428,-4.951332199,-4.738689399,-5.499989132
ADGRL1,-3.547741059,-3.568376817,-3.93161714,-3.042113179,-3.039731094,-3.210990524,-2.338975283,-2.46401984,-2.917594909
GNAQ,-5.761425001,-6.00457956,-5.585999774,-5.16438299,-5.06500601,-4.924089459,-4.980694777,-4.823531283,-5.667133244
PFDN2,-6.579393593,-6.949147411,-6.907398578,-5.322889777,-5.99290397,-5.478038178,-5.005762723,-4.946806392,-5.728717264
MAD1L1,-5.03361971,-5.258333259,-5.003927631,-2.960783146,-2.967630181,-2.996089427,-2.752672394,-2.624950773,-3.528743636
PIN1,-5.551688288,-5.730272001,-5.298363748,-4.535985505,-4.508074066,-4.669305948,-3.983155245,-4.140246505,-4.743073403
LHX4,-3.543785887,-3.979074026,-3.797595705,-2.42689164,-2.309904154,-2.517553094,-1.409029565,-1.420409046,-1.702596424
PCDH1,-3.629719986,-3.821137537,-4.032617083,-3.687362672,-3.323035116,-3.836176562,-2.514657207,-2.507147715,-3.020786623
NUDT16,-4.987532572,-4.638079523,-4.541835863,-3.753893377,-4.190290097,-4.325354025,-3.707331425,-3.739264805,-3.986973116
TMEM63B,-4.305982485,-4.12480134,-4.507543075,-3.222588952,-3.135340332,-3.455116508,-2.794670511,-3.000207238,-3.232789844
GPN1,-5.926853591,-6.27486968,-6.333637945,-5.766679053,-5.13644761,-5.87845278,-3.719678105,-3.77557513,-4.497148192
EIF2B4,-5.994975419,-5.665269793,-6.085973073,-4.962460509,-4.629860949,-4.777713652,-4.222550914,-4.144308272,-4.912167088
GPC2,-4.88330915,-5.046498855,-5.348621769,-4.742862302,-4.85110967,-4.22469703,-3.883679504,-3.885231194,-4.343344116
MFSD10,-6.439600681,-6.419946571,-6.040228445,-5.55352323,-5.459732213,-5.196545657,-4.97566323,-4.478977917,-4.480600853
TTC33,-4.815857087,-4.608708056,-5.09603081,-3.312933399,-3.123910635,-3.493078911,-2.770167277,-2.749526634,-2.942721691
ANKFY1,-6.427997929,-5.951331512,-6.070018055,-6.065701896,-6.143447717,-5.441863978,-5.070631338,-5.442682,-5.978008566
APRT,-6.15908083,-5.740225093,-5.695496305,-5.544749827,-5.983950458,-5.200413506,-4.463699513,-4.567068671,-4.872225686
GFRA1,-4.220697911,-4.708856267,-4.416199265,-2.939586592,-3.192477027,-3.480142449,-2.382902423,-2.181124042,-2.793376845
EPM2AIP1,-4.934826328,-4.85045539,-5.32461862,-4.469414742,-3.623622627,-4.064957369,-3.843557855,-3.860235502,-3.98909078
FKBP1B,-5.255956706,-5.057561859,-5.45422064,-3.711524155,-3.798259387,-3.93011299,-3.566700229,-3.665428923,-4.431801045
HIKESHI,-6.393547512,-6.906850801,-6.512265957,-5.555578798,-5.432596397,-5.459535216,-4.540929585,-4.689053522,-4.839505975
ELAVL2,-4.485840366,-4.961501398,-4.48367821,-3.584016698,-3.489760298,-3.611672727,-3.073846266,-2.619285611,-3.235022409
SAP30BP,-4.823107277,-4.898336789,-5.332590344,-4.469872558,-4.336904541,-4.435040243,-3.816460253,-3.877390735,-3.766225953
PSMD9,-6.162416677,-5.73728432,-5.629925152,-4.57373867,-4.514737003,-4.089472454,-3.768285635,-3.741721708,-4.396260837
DCX,-4.522864613,-4.559121123,-4.095319163,-3.723987275,-3.879359609,-3.857499195,-2.645422727,-3.14169063,-3.362852177
SORBS1,-5.083040405,-4.558115092,-4.890400262,-3.978380029,-3.671506936,-3.875143542,-4.079958517,-4.444373798,-5.003873681
PRPF38B,-4.987009164,-5.473330178,-4.947775012,-4.08706279,-4.043176006,-4.103449466,-4.138750322,-4.030210343,-4.107342429
PGLS,-5.871203361,-6.413154317,-6.203444489,-5.444973727,-5.361820785,-5.574058215,-5.006684112,-4.885215668,-5.489081703
GFRA2,-4.769892149,-5.326211072,-5.059767981,-3.309134938,-2.841325806,-3.362279405,-3.08568725,-2.676575071,-3.58472566
UNCX,-2.910113619,-3.400980143,-2.886978424,-2.534470907,-2.067622537,-2.053106809,-1.375435109,-1.341994763,-1.410244971
RING1,-4.628592127,-4.062594234,-4.356024161,-4.562191389,-3.659184873,-3.872522858,-2.252788342,-2.601430672,-2.804704235
PATZ1,-2.755288644,-2.165940258,-2.326451703,-1.706086687,-1.721620743,-1.841648459,-1.137455544,-1.12286299,-1.47432805
RBM27,-4.164901123,-4.031521371,-3.622121924,-3.612117897,-3.408674333,-3.649845391,-3.616197254,-3.45728992,-4.523994411
CELSR3,-6.170145828,-5.579912263,-5.788187063,-4.338270358,-4.957317732,-4.270505763,-3.807294842,-3.780263949,-4.312039181
BAG6,-4.633742113,-4.162872037,-4.414386778,-3.824955568,-3.644956374,-4.572412433,-3.226500572,-2.923988519,-2.900046221
TOR1AIP2,-4.46998411,-4.037197476,-4.572148059,-3.50553467,-3.903563808,-3.682408655,-3.65087207,-3.065310403,-2.763340866
MEX3A,-3.599964131,-3.529252181,-4.115302304,-3.021613933,-3.807303015,-3.110306866,-4.197403776,-3.769350317,-3.245999388
CAB39,-4.805378357,-4.614817133,-4.247060121,-4.204287682,-4.407678328,-4.889882268,-3.338131152,-4.049172995,-4.225920612
ACP1,-5.014367937,-5.220110262,-4.900294073,-4.757604342,-4.727755983,-4.364393303,-3.976964609,-3.811861454,-4.445020144
PMVK,-5.802760788,-5.181722899,-5.397917298,-4.610467844,-4.978365945,-4.12849695,-4.011704123,-4.405230333,-4.58418002
NDUFA5,-3.870723045,-4.099883035,-4.292173757,-3.706405241,-3.673783179,-3.676506961,-3.442682261,-3.579441743,-3.784561955
SESTD1,-3.885328122,-4.249144957,-3.743317548,-3.794928831,-3.553045523,-3.761574807,-2.927551796,-3.425321168,-3.709085609
KDM4B,-3.5584415,-4.166521553,-3.903859977,-2.464913426,-2.56273024,-2.236340171,-1.965789701,-2.192990497,-2.64091721
TDG,-3.537677118,-2.990417609,-3.055449395,-2.900526224,-2.888344684,-2.719200849,-2.157712555,-2.495874605,-2.257808135
RPL18A,-6.068660921,-6.284186236,-6.269186153,-5.234506731,-5.613712642,-5.300738161,-4.963651835,-5.165043558,-5.493434625
VPS45,-4.637634076,-4.518057541,-5.137419743,-4.345738063,-4.198858476,-4.522107902,-4.149327707,-4.116935073,-4.830657119
SLC35E1,-4.549550545,-4.756097359,-5.146049863,-3.784157731,-4.145398448,-4.018751211,-4.320534934,-4.13298037,-3.479943841
CNTNAP5,-3.895002942,-4.166427858,-4.536168697,-3.553190735,-3.437596959,-3.318320456,-2.241556771,-2.155920656,-2.787727147
STMN1,-6.346486996,-6.528209577,-5.98025127,-6.708058854,-6.014052997,-6.078179616,-5.204031202,-5.17004592,-6.076740791
TCEA2,-1.609017201,-1.512714159,-1.924007277,-2.222210867,-2.212731989,-1.723265457,-1.60620067,-1.389499771,-2.233937388
WDR46,-5.493271077,-5.705826678,-6.06195549,-4.649082267,-4.37582757,-4.617442962,-4.22230279,-4.271868005,-4.486471699
UQCRC1,-6.492744046,-6.238694043,-6.75705895,-5.691621382,-5.537375226,-6.382670153,-5.655890099,-5.559718366,-5.377287396
GRN,-0.471139818,-0.545171895,-0.392414725,-0.338389697,-0.522037798,-0.39606178,0.004701666,-0.001453534,-0.212353731
RPRD1B,-4.93502344,-5.020317161,-4.443218073,-3.796304385,-3.914590078,-3.919968977,-3.938561069,-3.561628507,-3.827481262
DEF8,-1.716122803,-1.661514444,-1.719764895,-1.884120947,-1.729661057,-1.686693596,-1.378173877,-1.479690783,-1.023131683
SCRN1,-5.439332869,-5.966124563,-6.009648485,-4.77510587,-4.56919014,-5.011615583,-4.416269681,-4.546511635,-5.251206429
SLIT1,-4.090556663,-3.601928056,-4.20557499,-2.399430496,-2.606759675,-3.229208798,-2.865448156,-2.99941485,-2.741550704
CTNNB1,-3.929358904,-3.966223964,-3.396578933,-3.689980831,-3.541199471,-3.552698135,-3.529048588,-3.062998238,-2.948337383
MRPL24,-5.813523603,-5.944977729,-5.353055512,-5.314814748,-5.03502187,-5.085245631,-4.674285518,-4.701839411,-4.477816112
SBK1,-4.826260046,-4.140554453,-4.214693315,-3.502564291,-3.878767909,-3.722955741,-2.530464404,-3.157164051,-2.367779789
PPP4C,-4.380253786,-4.848274767,-5.014504947,-4.147988657,-3.892840356,-3.834007364,-3.58701365,-3.46636618,-3.953316967
UBE2K,-4.243728814,-4.580089047,-4.901660548,-4.413727614,-4.242458154,-3.680799833,-3.809488479,-3.797264626,-3.751519698
ECE1,-4.604240195,-4.903324212,-4.199792215,-2.749942983,-2.814186346,-2.684259609,-2.363832923,-2.353620008,-2.254481029
FAXC,-4.768968795,-4.451535519,-4.044802364,-3.902977168,-3.774612031,-3.850737511,-3.801284147,-3.245286648,-3.55231121
CTIF,-3.853009489,-3.110457307,-3.373680631,-2.758721659,-2.88375414,-3.204197497,-2.118717814,-2.274445982,-2.429240807
KCTD1,-2.647736018,-2.907152617,-2.64792812,-2.215889752,-2.332417026,-2.599961479,-2.244391083,-2.112350429,-2.019959092
ELP3,-5.394639493,-6.007567985,-5.984610971,-4.861675092,-4.219041623,-4.986027252,-3.408437796,-3.206307757,-3.812894022
MAP3K12,-4.577957426,-4.963576569,-5.315983874,-3.855678965,-3.674663211,-3.71585676,-2.793973318,-3.107335321,-3.254699854
SMARCB1,-3.773942189,-3.614569309,-4.177370028,-2.847212388,-2.756944786,-2.965242848,-2.946861553,-2.826593013,-2.658153869
PTPRF,-4.290075887,-3.94069815,-4.69604708,-4.334139023,-3.280548775,-3.697347105,-2.714987107,-2.521902766,-2.519589458
ARID3A,-4.334780669,-3.742557103,-4.356415581,-2.72734684,-2.894853638,-2.662310505,-2.336216253,-2.228991085,-2.924644192
ELAVL1,-5.929347225,-5.190392921,-5.267160976,-4.385650906,-4.348201112,-4.651490704,-3.908618385,-3.992370619,-4.757536008
C8orf82,-5.627532416,-6.317772967,-5.843493697,-5.061509291,-5.336995767,-5.108413459,-4.368083859,-4.470942547,-5.004096651
PRRC2B,-3.946571113,-3.91986408,-3.317505446,-2.890739502,-3.034554405,-3.182699132,-2.59443129,-2.764257916,-2.802238652
SENP3,-4.017248249,-4.748509273,-4.132178119,-3.868242793,-3.240157002,-3.522450828,-3.350981233,-3.516092884,-3.905879716
POLR2B,-5.265402465,-5.812186712,-4.997043967,-4.471325794,-3.916776896,-4.01972165,-4.158041946,-4.070963324,-3.945904276
PPP6C,-6.23326308,-5.8058477,-5.974236244,-4.164094972,-3.609719296,-3.622435959,-4.979238058,-4.58936712,-4.67212875
KIAA1549,-4.260106379,-4.427479207,-3.703633332,-2.900714309,-2.989041809,-2.676789123,-3.540315421,-3.438111916,-3.4592409
PELI2,-4.306800283,-3.687882125,-4.363888423,-3.129145481,-3.53236111,-3.148361936,-2.242726225,-2.544520252,-2.576342901
B3GAT3,-4.274627537,-4.153248239,-3.67943124,-3.476558776,-3.648364632,-3.226456511,-3.510847755,-3.475169865,-4.134796405
RUNDC3A,-4.958477646,-4.706891949,-5.557157434,-3.847247361,-3.45839205,-3.728152543,-3.454029043,-3.025211537,-3.767045194
ERP29,-5.894749409,-5.208484699,-5.049514156,-4.940148953,-5.508855167,-4.925079713,-4.5521302,-4.601642936,-4.878743287
SLC35E2B,-0.770764079,-1.022859776,-1.142528634,-0.3874181,-0.727729381,-0.648670544,-0.098229488,-0.332990854,-0.292273333
TSEN34,-4.31838933,-4.249343354,-3.67749257,-2.143895393,-2.705232594,-2.137645396,-1.746974863,-1.659110447,-2.586131125
LONP2,-5.71111371,-5.45755188,-4.926479917,-4.784613537,-4.992407087,-4.583597251,-3.260388682,-2.78616561,-3.504325395
TSN,-5.221066405,-5.997612446,-5.62995979,-4.371536588,-5.382478177,-4.73060553,-4.208466101,-4.606737377,-4.910057627
HECA,-4.873096315,-4.007134206,-4.362966718,-4.694926954,-4.544283566,-4.089344994,-3.087493409,-3.452983848,-4.067428905
SPOCK1,-2.826435393,-2.964832462,-2.274780979,-2.116303563,-2.14769961,-1.997516172,-2.381588875,-1.705634325,-2.118333711
NAV1,-4.249596857,-5.061242588,-4.234923708,-4.913086161,-5.00876232,-4.271142653,-3.196980337,-3.608801199,-3.895989702
OSBPL9,-4.543395143,-5.014958098,-4.138503476,-3.909693469,-3.671700625,-3.969784015,-3.531690756,-3.679049982,-4.112804223
COPG2,-6.089271723,-6.829946316,-6.473255336,-6.199798387,-5.805715652,-6.8134813,-6.707864101,-5.917882022,-5.980836813
TMEM106B,-2.719222608,-2.999599497,-2.427648374,-2.637901481,-2.545614372,-2.127880455,-1.770125839,-2.063814127,-2.347554319
PACSIN2,-5.585252781,-5.934936587,-6.489218274,-6.5052061,-5.4274573,-5.572925306,-5.819477744,-5.102885135,-5.994755547
IGDCC3,-4.947621456,-5.318549024,-4.445225313,-3.388483453,-3.222958167,-3.215563377,-3.140748418,-2.859643686,-2.973910523
SORCS3,-3.724012179,-3.361206627,-3.530759978,-2.658869417,-2.739841059,-2.865489234,-2.13808614,-1.735604392,-2.063378204
PTPRT,-4.041019826,-4.973615835,-4.443671609,-2.833459649,-3.342112644,-3.617764463,-2.406564961,-2.757923584,-2.912570666
IRF2BPL,-4.441960123,-4.81910244,-5.3878087,-3.863652805,-4.05483359,-3.716712569,-2.679897777,-2.523240876,-3.319854466
TERF2IP,-5.985518948,-5.042620356,-5.143180761,-5.306506951,-5.152588271,-4.707092732,-3.820101585,-4.455776983,-4.447959875
SEC16A,-5.245329795,-4.994960656,-5.964309475,-4.484651358,-4.102404384,-5.16418034,-3.634565117,-3.555737677,-3.784101912
