PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
PCDHA12,-3.499637997,-3.403762379,-2.832950816
PDE4DIP,-5.242367919,-5.755235208,-5.946578522
MAST1,-9.996983409,-10.03469311,-10.50329519
ABHD12,-4.133786445,-4.921243721,-4.329078944
OTUB1,-6.951990305,-6.207025755,-6.628936768
RELN,-4.201307167,-4.132340487,-3.819100394
RAB39A,-3.350454585,-3.392174095,-3.841570475
APRT,-5.544749827,-5.983950458,-5.200413506
APC2,-3.74254891,-2.958727405,-3.302094942
TNPO3,-7.479313543,-7.446437066,-6.872184916
BYSL,-3.038603147,-3.217249842,-3.83064605
ARHGEF17,-2.911703486,-3.371723608,-3.188065555
MAP2K7,-2.160415361,-2.727563445,-1.933533321
TPGS1,-3.736385201,-4.068285388,-3.658153257
TBC1D9,-3.088178496,-2.449300343,-2.29109669
PSMD7,-11.91510896,-11.50863536,-11.25396893
DNMT3A,-6.888887309,-6.664115376,-6.168555137
STMN1,-6.708058854,-6.014052997,-6.078179616
MYBBP1A,-9.476867353,-8.858890326,-8.677658424
USP30,-11.00445128,-11.15318742,-10.77567155
SCAMP1,-5.434175827,-4.714884286,-4.728115582
RSBN1L,-3.768643303,-4.189231629,-4.294709585
GNS,-5.58688236,-4.968984159,-4.77923785
MEX3A,-3.021613933,-3.807303015,-3.110306866
UBA1,-7.740692704,-7.958367966,-8.544020825
ST8SIA3,-3.258805504,-3.976656725,-3.542704883
ATP6V1A,-4.152269442,-4.894168773,-4.134174526
KLHL42,-4.474528018,-5.208351237,-4.438078363
DOCK4,-11.74566135,-11.86442916,-12.25177838
ACTR2,-6.282673323,-6.375433946,-7.074386117
TMEM106B,-2.637901481,-2.545614372,-2.127880455
LPGAT1,-5.052906889,-4.951639081,-4.363090372
SNIP1,-4.054130078,-3.262021945,-3.666861019
CADPS,-7.42667291,-7.424729923,-6.791391438
DEF8,-1.884120947,-1.729661057,-1.686693596
LRCH4,-4.196348271,-4.634625458,-3.824855029
ATP6V0A1,-5.478559299,-5.167975636,-4.700581358
SLIT1,-2.399430496,-2.606759675,-3.229208798
PEPD,-4.315567133,-4.52782191,-4.571732451
PCYT2,-3.676060676,-3.460273423,-3.797428254
MAP7D1,-10.71859691,-10.09284822,-9.936920891
GIT1,-4.939909577,-5.320516721,-4.519606491
PEX5,-4.464043835,-3.78147102,-4.382968594
ARIH2,-4.930564429,-4.226297878,-4.119516205
DGKE,-5.527929958,-4.921145392,-5.272945869
PGAP1,-5.950683124,-6.007451837,-5.323531143
ATP5F1B,-6.170350176,-5.863840099,-6.705070372
ARMC1,-5.463291191,-5.386441154,-4.766700264
KRI1,-5.415486203,-5.4676078,-5.888718296
CTNND1,-4.267912908,-5.05508208,-4.271687048
SDF4,-9.599770381,-9.117504625,-9.008001394
ACOX1,-5.008646401,-4.518497559,-5.231737551
TTC28,-11.1409029,-11.41433754,-11.80652399
GFPT1,-3.227731009,-3.948687194,-3.203524767
PTPRT,-2.833459649,-3.342112644,-3.617764463
CLSTN1,-1.873134139,-2.644078961,-2.269087835
C2orf69,-4.666217831,-5.376345224,-5.28516632
UBE2V2,-5.030455558,-5.115235277,-4.479797894
ANKFY1,-6.065701896,-6.143447717,-5.441863978
PGM3,-4.199459051,-4.013528766,-4.727293573
RABL6,-6.254805437,-5.721806292,-6.103272335
ACAT2,-7.256154447,-6.918536364,-7.771805892
C1QTNF4,-2.699673562,-3.161262981,-3.252215283
YKT6,-5.718370618,-4.878089906,-5.27821218
OSBPL11,-4.21763519,-3.536714605,-4.136258794
PIP4K2A,-4.604412036,-5.149557101,-4.3973158
WDR89,-5.218224518,-6.066649455,-5.573272713
ZNF106,0.289688845,0.305114442,0.284561841
SARM1,-6.274389882,-6.124175319,-6.979324054
MYCBP2,-5.080983495,-5.392019945,-5.947579191
NT5C2,-7.520640682,-7.762232824,-7.070021393
CLTC,-10.06480117,-9.980904332,-10.80518224
GDPD1,-11.8168533,-11.17703159,-11.70523287
KSR2,-3.498912908,-3.307244076,-4.177463816
FBRSL1,-3.86036707,-4.104351672,-3.314432318
CAPN1,-11.55557719,-10.7537119,-10.91640196
RAB2A,-8.062615528,-8.081661317,-8.889085827
CTNND2,-3.961247022,-3.784002391,-4.651274217
AJM1,-2.731264713,-2.689468908,-2.313567424
MAP2,-9.575822916,-9.736491619,-10.42101681
UBE2K,-4.413727614,-4.242458154,-3.680799833
GPN1,-5.766679053,-5.13644761,-5.87845278
PPP1R8,-4.176438297,-3.81951426,-4.247233043
MAP4K5,-4.959004873,-4.07207373,-4.285952676
RAB3B,-7.020626167,-6.841862392,-6.931000043
EMC3,-4.153139788,-4.301947387,-5.033482005
APP,-11.53575146,-11.67307226,-12.05430188
EPM2AIP1,-4.469414742,-3.623622627,-4.064957369
PSPC1,-6.438741499,-5.668153014,-5.578051088
SYT1,-5.29644794,-4.931632876,-4.453747372
PAXIP1,-2.69796398,-3.589513846,-2.910791145
DHX16,-4.30446537,-5.170862631,-4.413156653
ADCY9,-4.913621591,-4.981761927,-4.632720292
NAV1,-4.913086161,-5.00876232,-4.271142653
DIXDC1,-1.545716198,-1.380832507,-1.151372708
PMVK,-4.610467844,-4.978365945,-4.12849695
RING1,-4.562191389,-3.659184873,-3.872522858
SORCS2,-11.6557687,-11.02961348,-11.65335486
STRN4,-4.884489623,-4.241058929,-3.977736597
TFB1M,-1.965771645,-2.696423642,-2.569735995
RPL23,-2.290745099,-3.105359239,-2.402489932
CLPTM1L,-5.692459055,-4.793637361,-4.933512186
RFC4,-1.303246673,-1.166656718,-2.066474778
ELP3,-4.861675092,-4.219041623,-4.986027252
YIPF6,-1.818683589,-1.36632965,-1.178947594
PPIL4,-3.438901474,-2.901160677,-3.723149414
XIAP,-3.848455055,-3.38223655,-2.959573213
STK38,-3.871892548,-4.55581558,-3.655080843
PAFAH1B3,-6.395028903,-5.649622581,-6.302770001
FHOD3,-2.356671646,-2.591356228,-1.775278004
TCEA1,-3.439066149,-3.316845011,-3.039819437
FRS2,-11.10002907,-11.00576326,-10.40799644
WDR33,-3.569458506,-3.57704576,-3.237657577
IRS2,-2.685659107,-3.050608993,-2.348787912
DCLK2,-5.267052104,-4.865512215,-4.387455493
RETSAT,-3.714041173,-4.368111006,-3.445706645
IGFBPL1,-4.041917952,-3.575526977,-3.923664889
WRNIP1,-4.308021806,-4.227911706,-3.559330185
FAM91A1,-4.974212126,-4.457164687,-5.323706913
NDUFA7,-7.542959701,-7.865503841,-7.823794669
PRDX5,-12.46519932,-12.15176827,-11.85611362
KCNB2,-3.26617295,-3.673557229,-3.846894353
UBE4B,-4.509311717,-3.751675094,-4.43436699
NUP58,-6.925849429,-7.120587933,-6.645645117
TMEM121B,-3.11073936,-3.998317334,-3.597582548
CTSB,-5.846014791,-6.256481126,-5.364043407
TCEA2,-2.222210867,-2.212731989,-1.723265457
DIP2B,-6.099365796,-5.502621883,-6.334917951
GNAZ,-5.80351748,-5.549275419,-5.027053885
HCFC2,-2.545464353,-2.707362166,-2.380885946
TRAP1,-7.767909564,-8.668290495,-8.253429716
NRXN2,-2.912614168,-3.857718908,-3.112563627
PRPF8,-11.48818824,-10.77448881,-10.98332744
SOD1,-6.571027418,-6.50747968,-6.421484645
RPAP3,-3.781110361,-3.084496822,-3.023977645
CLUH,-5.463053044,-6.248515983,-5.307395839
ARPP19,-3.948899758,-4.050256522,-3.348505232
SCD5,-2.590297353,-3.007596004,-2.953801338
TATDN3,-4.838557691,-5.169199242,-4.289545163
B3GAT2,-4.632646419,-3.676795487,-4.004251744
PDP1,-4.651636369,-3.997212645,-3.780176012
MTA3,-3.833415507,-3.403306594,-3.005842373
SRPK1,-2.447996781,-2.025375358,-1.577242808
HSPA12A,-9.559954476,-9.525550511,-10.27451937
HNRNPM,-7.940416475,-8.541020977,-7.610557622
RAB5C,-3.914522986,-4.812716332,-3.89815763
CSNK2A2,-5.49199892,-6.006528981,-5.152240351
CYB5R1,-9.18836157,-9.141365555,-10.06734203
MYL6,-4.65505053,-4.212410311,-4.013025264
SCAF8,-3.58066423,-2.636343463,-2.880285501
SMAP2,-3.202572599,-3.711979914,-4.110911802
IGSF3,-7.228003496,-8.176691233,-7.313254966
OTUD4,-0.907184758,-0.977443148,-0.821697971
COMMD10,-4.613962397,-5.053784236,-5.428820247
NR2C2,-3.201366751,-2.751583326,-2.276261732
SNCG,-9.780439639,-10.4790837,-9.509012922
ARHGEF4,-4.465169793,-4.011821434,-3.574213122
TAB2,-4.69846908,-3.73739449,-3.842707357
UQCRC1,-5.691621382,-5.537375226,-6.382670153
LRFN5,-3.39102051,-4.352368992,-3.830559545
TERF2,-11.91784685,-11.69049853,-12.43008781
WDR74,-3.756805959,-3.950686811,-4.748249252
SEMA4C,-5.757693391,-6.590664023,-6.440952105
MAPK8IP3,-8.831627532,-7.915221057,-7.903795678
PRPF39,-4.85680963,-4.649885221,-3.994623122
GAPVD1,-9.19391289,-10.07561522,-9.102602333
SEC24A,-4.532669855,-4.322157514,-5.332305961
RPL6,-6.84360279,-5.859588463,-5.952089599
MRPS18A,-6.366275087,-5.652773937,-6.462505905
PAG1,-3.927995422,-3.120137152,-3.059838605
OXA1L,-0.903889812,0.042141565,0.04710887
WDR13,-4.036717157,-4.990020453,-4.078763963
BAG6,-3.824955568,-3.644956374,-4.572412433
ELP2,-3.534523213,-4.267857297,-4.3482454
TRIM24,-2.24111754,-2.677835052,-2.023381078
DYNC2H1,-9.658378139,-8.823848152,-9.00628419
MAN2A2,-4.00282811,-3.193406222,-2.983981745
COX20,-4.573623987,-5.320677477,-5.38504725
EPB41,-12.48334406,-12.61927938,-12.7939368
HIVEP2,-2.732368059,-2.425824447,-2.878097419
WWOX,-1.263177151,-0.758917033,-0.599838697
GOLM1,-3.239563547,-3.628896137,-3.459723077
PCDHGB6,-4.980656548,-4.675830694,-4.064964899
CYB5R3,-5.723831788,-4.954110428,-5.525628902
LZTS1,-4.350994182,-3.343994525,-3.766037134
DPYSL4,-8.656626437,-7.828643002,-7.636723118
AARS2,-5.066060183,-4.615265531,-4.262420879
ACSL3,-7.479504116,-7.571466765,-8.409689539
CADM1,-3.232277571,-4.204077715,-3.239053693
TBC1D24,-5.285974944,-5.392986434,-6.292729918
LNPK,-6.890686173,-5.910970896,-5.940208427
WASHC4,-7.982450231,-7.07126149,-7.057174896
COPS2,-11.70183216,-12.48054821,-11.71971262
DUSP3,-4.394388163,-4.245234045,-5.266646401
IPO13,-4.03116201,-3.329927078,-3.499085662
GRK2,-5.238785551,-5.191217672,-6.187270065
TUBGCP4,-4.475428196,-3.436097018,-3.649969479
CDYL2,-4.199702722,-3.979932609,-4.194915672
CXADR,-7.934804134,-8.876157608,-8.121056481
GSTO1,-6.404716455,-6.972261405,-7.303949766
SMARCA5,-9.277809912,-8.434487869,-8.517169276
NDUFA13,-5.531545774,-5.38256774,-4.916050635
ATXN2L,-10.99165725,-10.25427518,-10.01582411
COCH,-2.780844017,-2.154687635,-1.744468989
ARHGEF18,-4.776816073,-5.756748202,-4.770390929
STAMBPL1,-3.559396623,-3.536305773,-4.540049178
KIF21B,-6.007632787,-7.023578969,-6.058289359
ANAPC2,-5.029585002,-6.019943342,-5.028150535
PDE12,-5.523749982,-5.87122129,-6.580803226
UGDH,-5.132357345,-4.381900296,-4.837060967
TSN,-4.371536588,-5.382478177,-4.73060553
AP1M1,-6.164320938,-6.745597287,-5.710716943
SMARCD1,-5.714791815,-4.717045768,-4.719946971
FBXO41,-4.547359086,-5.551914326,-4.551286796
QSOX2,-2.844567366,-2.200242877,-3.13902474
GRB2,-5.800896846,-5.569554213,-4.883189391
ALK,-4.100246434,-4.111248543,-5.109427952
SEC16A,-4.484651358,-4.102404384,-5.16418034
BPNT1,-5.365513423,-6.374173432,-5.366731528
SMARCD2,-2.986860138,-1.978939179,-1.986739736
SECISBP2L,-3.90286117,-3.874046654,-4.888793535
PKN1,-2.887633494,-2.726419229,-3.295450631
UFD1,-6.363722854,-5.380830409,-5.331423973
PSMD5,-6.369702878,-6.373859818,-7.384175397
PTPRF,-4.334139023,-3.280548775,-3.697347105
GTF2E1,-5.068973597,-5.057395438,-6.076243818
MGRN1,-4.888070473,-4.854063243,-5.883332445
PPP1R21,-7.081778288,-6.087534903,-6.059639641
GDAP1L1,-5.908849553,-4.945348133,-4.858726587
ZC3H12C,-3.499672258,-3.473919266,-4.498883382
BRINP1,-3.382262055,-3.354463537,-4.382833821
BUB1,-4.889428232,-5.924368425,-4.924223292
N4BP2,-3.763363075,-4.798573353,-3.817492311
SLC25A23,-0.835693591,-1.259486381,-1.006694286
POLR1D,-4.175913398,-4.25706693,-4.289115201
EYA3,-0.034289006,-1.072603667,-0.072384158
ASPH,-3.103651547,-3.30510418,-3.294872912
KDM3B,-3.921326505,-4.682922688,-4.797410792
RAB9B,-1.453324583,-1.653385039,-2.27293303
MAPK8IP1,-3.50525474,-2.473406936,-2.996162693
CHRNA4,-5.463310454,-4.474412946,-5.084513275
CILP2,-3.940071907,-3.98297533,-4.984395006
PACSIN2,-6.5052061,-5.4274573,-5.572925306
PCDH7,-3.995685566,-2.951820209,-3.45173546
SBNO1,-5.928637138,-4.939163924,-4.873290595
SUPT16H,-6.676013084,-7.445756798,-6.366459469
FIBP,-6.456384775,-5.462856282,-5.406784855
ZNF48,-3.485991897,-4.488865537,-3.445889962
YME1L1,-7.866289092,-8.727478626,-7.674599665
PHF14,-5.967327562,-7.018828493,-6.014968322
TMCC1,-2.671230271,-1.966366857,-2.495430074
YWHAH,-8.389024307,-9.345146171,-8.268865809
PJA2,-4.233390459,-3.232785166,-3.177976937
STAT1,-5.285869837,-4.322989956,-4.207733019
DDX46,-7.358868499,-6.311856272,-6.451162242
TRAPPC1,1.754225208,1.549074376,1.695787758
SLC4A8,-5.663563893,-5.789358283,-6.747596049
ERLEC1,-6.07848867,-4.993971703,-5.122553912
PRR36,-5.353664779,-6.002120636,-5.019348262
MTAP,-6.49729778,-5.401532584,-5.730702956
ANKRD16,-5.392085999,-6.457127166,-5.44874933
INPP5K,-5.223534466,-6.228553624,-5.162902643
ZBED9,-3.442358043,-3.144495232,-2.475811688
CBLB,-5.291206626,-4.222396855,-4.293923058
CLVS2,-4.765539984,-4.991880457,-4.136549728
SAMHD1,-12.34575829,-12.68480774,-12.74690481
SLC27A4,-6.360655944,-5.282627659,-5.367248089
TMED5,-5.23554381,-4.234806786,-4.164104209
NPTXR,-5.173408408,-5.615948755,-5.160776156
NEURL4,-3.575513968,-3.49596185,-4.573665432
BCR,-6.188956089,-5.194712095,-5.109746324
BAP1,-2.641584185,-3.263871438,-3.637078525
GRID1,-1.628048407,-1.75070864,-2.179000268
ACSL4,-12.425288,-12.5932109,-12.91854718
DCAF5,-4.163296915,-5.144373381,-4.05934667
MIB2,-2.727199038,-3.804177351,-2.804241659
TAX1BP1,-4.215421915,-3.215808912,-3.131214527
AP5S1,-4.313826121,-5.266425607,-4.16253128
WDR25,-5.042478566,-4.960181877,-6.044660983
TTBK1,-3.770622467,-3.747959156,-4.768370668
ECSIT,-5.03948427,-4.955355593,-6.042030437
PRPF4B,-5.732497364,-4.644012613,-4.746935807
FMN2,-5.051763755,-4.585847903,-4.080814349
NCBP1,-11.09511988,-12.00394849,-11.48502042
NUS1,-2.6686425,-2.574805037,-3.668641246
FAM169A,-6.997552847,-7.96243691,-6.992005319
MED15,-3.666781737,-3.572854616,-4.668729529
PCDHA2,-3.42904321,-3.871566812,-4.527217226
UTP11,-7.331469521,-8.39475607,-7.357768192
DNM3,-7.435776401,-7.407928455,-8.427176907
SEMA6A,-4.253532355,-3.154700735,-3.252620547
VTI1A,-5.384300097,-4.941790669,-4.572164668
EBF1,-2.251586276,-1.820463803,-1.890924636
PSMG3,-6.332363222,-6.250636611,-7.347001399
CHMP4A,-7.054932586,-5.952611896,-6.212502075
ATP1B1,-10.54315079,-9.845588342,-9.465751287
GPM6A,-8.076622493,-8.894653666,-7.858198229
AGAP3,-5.413878036,-6.417331462,-5.31204997
DPP10,-5.593342774,-5.486618475,-6.593468763
CERS1,0.585935424,0.964020648,0.952205874
SMARCC2,-4.86422891,-4.732391618,-5.843712467
MLH1,-4.914182812,-4.81058843,-5.912164723
TTLL12,-8.347624013,-8.505069602,-7.613110557
SYNCRIP,-7.665617485,-6.945804457,-6.545237471
PRPF4,-6.823170994,-7.937623989,-6.949732623
SDK1,-4.549851288,-4.750546859,-3.804714023
TRMT6,-6.19313297,-5.077363107,-5.203859782
IDH1,-11.18834859,-11.17047343,-12.07555105
EHMT2,-5.4306934,-4.440908524,-5.126016758
LRIG2,-3.010970175,-3.920393283,-3.805473836
NRXN1,-4.137684837,-3.577226126,-4.381697445
MED1,-7.462841887,-6.486573458,-6.358876892
BRAT1,-4.993013631,-3.868530263,-3.995376209
PNMA8B,-3.27844759,-4.278638446,-3.156408607
KCTD10,-2.218274349,-2.987031936,-2.366738222
ZC3H15,-5.435948811,-4.309858164,-4.449293993
FTO,-8.476226838,-8.554352062,-9.585015062
RPAP1,-5.216410109,-4.088485254,-4.221200007
FRMD4A,-4.329140764,-5.332225878,-4.206658515
TM7SF2,-1.308144292,-1.09510423,-1.211768893
AAGAB,-6.793016741,-7.295299349,-7.099031176
ZNF445,-10.36434382,-9.880661773,-9.898859291
WDTC1,-3.320296342,-2.190227684,-2.322754478
VKORC1L1,-9.969193331,-10.98539893,-9.886388789
XXYLT1,-3.647736758,-3.520438731,-4.65025381
RBM14,-5.939834748,-7.070383487,-6.073254897
SCYL1,-5.617087579,-6.61013133,-5.494153702
COPG2,-6.199798387,-5.805715652,-6.8134813
CDKN1C,-3.178983632,-4.179951965,-3.073434133
LANCL2,-7.202709317,-7.11249702,-8.209435368
NUMA1,-6.019267386,-4.876437444,-5.056526055
NDUFV2,-7.792804426,-6.77044673,-6.666047788
CCDC47,-3.266187293,-3.872682379,-2.774347226
YWHAZ,-11.76332618,-11.95460095,-11.35701559
DMAP1,-3.470375854,-3.421759265,-2.595241199
DST,-11.01485082,-11.08527555,-10.88571997
SMAD4,-5.051885633,-4.047584203,-4.057753434
KNDC1,-3.631796526,-3.772791425,-4.7728701
PRPS1,-7.111048408,-8.147190674,-7.016768434
MAGED2,-5.434393345,-4.43941433,-4.285354704
RBM33,-6.370322944,-5.379178229,-5.220219668
SUB1,-8.507209385,-9.550076214,-8.612704304
LDB1,-4.11947096,-4.429490659,-3.474354735
RNF126,-2.898376694,-3.048095452,-4.049059498
SNRPA1,-5.635581013,-5.065954964,-5.014009305
ANXA4,-11.43246971,-11.77387719,-12.4301819
ZNF516,-3.885009404,-4.879338759,-3.725432198
SF1,-7.123026209,-5.971492459,-6.19565058
KDM2A,-3.541916352,-4.205179273,-3.106585353
ENDOG,-4.417644298,-3.259758741,-3.417455364
HNRNPA2B1,-7.122944369,-6.03309377,-6.590063186
ANKRD13A,-5.837051527,-4.8662197,-4.780196987
G3BP1,-7.821975551,-6.812207768,-6.674480185
HNRNPA1,-7.657246364,-6.500112671,-6.639237664
RABEP1,-8.575561274,-8.3869822,-9.396142765
VWA5A,-12.07389789,-12.11084636,-12.86625119
C1orf198,-4.661547115,-5.636990453,-4.468568221
ATP8A1,-6.346440999,-5.960239675,-5.306574444
PAK5,-4.630044913,-4.458585889,-5.626409287
BMPR1A,-4.280604551,-5.449290207,-4.448240699
CCDC82,-3.687519251,-3.188139192,-3.370650026
MBTD1,-6.811987162,-5.640833882,-5.807167169
