PG.Genes,ConditionNorm_P_150_1_log2,ConditionNorm_P_150_2_log2,ConditionNorm_P_150_3_log2
ZGPAT,-3.826613843,-3.675736841,-3.928498135
SDCBP,-6.048501035,-5.888245725,-6.141253471
EBNA1BP2,-4.654046147,-4.608764116,-4.414657709
DTX3,-3.280198537,-3.094229737,-3.226268895
RBM27,-3.612117897,-3.408674333,-3.649845391
SMARCB1,-2.847212388,-2.756944786,-2.965242848
SLC23A2,-3.384133506,-3.399607697,-3.630602674
AP2B1,-7.996546315,-7.81804735,-8.077946724
NDUFS3,-5.575229866,-5.850440279,-5.707852519
BRIX1,-3.245146964,-3.124137565,-3.2593526
MARF1,-4.322450744,-4.224386707,-4.04989459
MAGED1,-2.322140667,-2.128752658,-2.032007374
PRRC2B,-2.890739502,-3.034554405,-3.182699132
SCP2,-5.158040805,-5.448050312,-5.222701584
TOLLIP,-3.617641163,-3.699901594,-3.911803365
DPF2,-3.475880141,-3.555231097,-3.770385764
CSNK1A1,-3.188872824,-3.156825377,-3.439251677
TBC1D5,-2.989764208,-2.897656523,-3.09812654
MRPL24,-5.314814748,-5.03502187,-5.085245631
KHSRP,-5.149838528,-5.222019605,-4.933058127
SPTLC2,-3.773849112,-3.620641824,-3.459743669
MBLAC2,-4.699624249,-4.896441014,-4.580809907
PPP3CB,-4.962894238,-4.958976817,-4.695475022
SORBS1,-3.978380029,-3.671506936,-3.875143542
C9orf78,-3.29426338,-3.481124001,-3.606830383
PPP1R11,-4.014656392,-3.754190395,-3.82715957
ELAVL1,-4.385650906,-4.348201112,-4.651490704
OSBPL9,-3.909693469,-3.671700625,-3.969784015
G6PD,-4.976337275,-4.667661328,-4.883349573
VPS45,-4.345738063,-4.198858476,-4.522107902
WDR46,-4.649082267,-4.37582757,-4.617442962
SEZ6L2,-1.863448376,-1.682057123,-1.665562143
GNB5,-4.423814216,-4.390855363,-4.677516303
RCC2,-4.854300162,-4.664883211,-4.52613761
C8orf82,-5.061509291,-5.336995767,-5.108413459
KIAA1549,-2.900714309,-2.989041809,-2.676789123
PPP4C,-4.147988657,-3.892840356,-3.834007364
EIF2B4,-4.962460509,-4.629860949,-4.777713652
IRF2BPL,-3.863652805,-4.05483359,-3.716712569
RAPGEF2,-3.426809095,-3.438112381,-3.734418408
PIP4K2B,-4.817987509,-4.657990943,-4.498456787
KDM4B,-2.464913426,-2.56273024,-2.236340171
SNAP25,-4.634963005,-4.396545077,-4.28800456
TMEM63B,-3.222588952,-3.135340332,-3.455116508
GLUD1,-6.118322724,-6.329974138,-6.059353353
ZNF768,-3.683461981,-3.668010817,-3.381679463
FASTKD2,-4.495005916,-4.422182472,-4.764866591
SCMH1,-0.818558166,-0.952848368,-0.606034928
DNER,-2.506902958,-2.805431767,-2.502980686
KMT2B,-3.62064244,-3.972147434,-3.828455446
RBM10,-3.865434078,-4.228928892,-4.010696557
SMPD1,-5.181521293,-4.996007447,-4.842306613
SRGAP2,-4.127263535,-4.234656737,-4.029047381
SESTD1,-3.794928831,-3.553045523,-3.761574807
PRKACA,-8.398688385,-8.077622886,-8.064360071
SYT6,-4.044127283,-4.278840346,-3.943288253
NISCH,-3.675748942,-3.321936069,-3.371395677
