PG.Genes,ConditionNorm_P_50_1_log2,ConditionNorm_P_50_2_log2,ConditionNorm_P_50_3_log2
KCTD12,-3.673533875,-3.708574129,-3.69855524
TCAF1,-3.340999207,-3.301578838,-3.315246489
MDH1,-5.690880526,-5.657401211,-5.714070855
FKBP8,-3.254231487,-3.309495223,-3.250209216
SNRPB2,-6.009899427,-5.978444322,-6.048274257
NUDT16L1,-4.817395105,-4.762368442,-4.821722449
UBE4B,-5.349771908,-5.39170617,-5.440350754
ALS2,-4.40482921,-4.502282111,-4.447515939
SAMM50,-6.149117838,-6.236146943,-6.151895674
TBC1D17,-4.42740766,-4.438477011,-4.511527357
AASDHPPT,-4.289348759,-4.186398067,-4.207455177
RUNX1T1,-2.511735365,-2.40388337,-2.42498049
SFXN3,-4.98953944,-5.073154317,-5.098503522
NFASC,-4.80059596,-4.689798342,-4.714604729
LPGAT1,-4.952785443,-5.045688308,-5.05767804
CLNS1A,-5.277158994,-5.289882242,-5.184662619
GNAZ,-5.561365732,-5.573848651,-5.509759457
YKT6,-6.373091952,-6.252923797,-6.279902373
TMEM132A,-3.446098129,-3.486275179,-3.44318607
MPZL1,-6.114532562,-6.143728519,-6.08116145
ISYNA1,-4.513427372,-4.411639646,-4.532217353
UBR7,-3.217818047,-3.346786229,-3.316972266
PUM1,-3.668928463,-3.755957341,-3.620018601
PDE6D,-4.335232546,-4.228526632,-4.321872412
CAPZB,-4.945341206,-5.082278853,-5.025497983
DDX6,-5.338069343,-5.467801698,-5.451204252
ENO2,-8.976762273,-8.880159618,-9.01249255
G6PD,-5.243466365,-5.382767232,-5.341275962
MTA2,-3.672745819,-3.598704922,-3.522795463
ALG9,-6.324487999,-6.468406261,-6.344227171
ARMCX1,-4.188455963,-4.311237987,-4.311748618
MBLAC2,-5.373409402,-5.216505493,-5.26881053
SEMA7A,-3.46660392,-3.545517704,-3.386321445
AGTPBP1,-5.381575059,-5.22957352,-5.35031894
DHX16,-5.033499846,-4.963259905,-5.122820478
ARIH1,-3.672385802,-3.835141921,-3.687033859
GDAP1L1,-5.809327598,-5.665599661,-5.829024107
STX12,-4.203688402,-4.022391527,-4.127260708
CAMKV,-5.645547377,-5.531946883,-5.686874038
PSMA2,-7.17741911,-7.218422162,-7.351637179
PLD3,-3.909627883,-3.998722531,-4.095653293
RAB7A,-8.304911349,-8.13776887,-8.151249219
RNH1,-5.501352492,-5.447329663,-5.636249449
MOB4,-6.901340153,-6.735800698,-6.723400597
ZNF428,-3.144684178,-3.091687354,-3.28332805
NCAM2,-3.638149378,-3.440296761,-3.562195961
RAB30,-4.426583552,-4.28052404,-4.473863528
GNAI1,-5.337744904,-5.382045915,-5.187653954
KPNA2,-3.211936722,-3.175106529,-3.373095226
STIM1,-5.032465151,-5.189411464,-4.978769736
CRBN,-4.3318044,-4.292036282,-4.27418084
RPS6KA3,-4.359733728,-4.418076431,-4.573534416
GPAA1,-4.602928369,-4.68475557,-4.573174941
NOL4L,-2.713551488,-2.749623822,-2.557186638
HDAC5,-0.791834226,-0.83691975,-0.926965282
CBFB,-4.661206217,-4.868162598,-4.676091431
SPNS1,-4.451092173,-4.430793031,-4.508656826
TRMT112,-4.553712442,-4.746370465,-4.751561164
RANBP9,-3.32384399,-3.396822672,-3.450898716
FXR2,-4.076330733,-3.853452746,-3.974163048
SNIP1,-3.876594499,-3.906298201,-4.100528721
TOR2A,-4.809607987,-4.988017637,-5.029376603
NDUFV2,-7.590777876,-7.829696975,-7.686141892
RAB18,-3.953686343,-3.943179954,-4.12596691
TOLLIP,-4.564619011,-4.747218469,-4.509626376
CBARP,-4.786677375,-4.815427336,-4.794738636
DNER,-2.903799466,-2.692827646,-2.861262191
SDCBP,-7.54093561,-7.656927703,-7.405311894
