PG.ProteinGroups,Ratio_log2
P61247,17.0928036502336
O43312,19.0004778355529
P62380,19.5739285163208
O15020,17.7602817236907
P14735,19.5086277751197
P47756,8.98847051414147
Q96B54,9.31950507471053
Q96S90,19.8342884691334
Q9UJ41,6.43358252398923
Q86Y82,20.1305107323947
Q8IWT6,19.1482888189607
P48634,7.77152476884751
Q5VTL8,19.1664338744652
Q9Y3I1,12.5508904922072
Q9P0J7,8.29575377154221
Q14318,8.72180986421771
P51513,13.5630457809844
Q9BWM7,18.8027290615464
Q9ULJ7,10.1259932611682
Q86UU1,9.10375175726758
O43924,15.9564005019195
Q9Y6D9,20.2858664831579
Q96CX2,20.3261430828515
Q06455,21.9521783513944
Q75VX8,9.070511235553
Q9HCG8,9.06805814323362
Q24JP5,4.20395418568792
Q8NFZ8,20.4522192046031
Q9GZZ1,7.55642803376807
O00571,20.1368636902674
Q16718,2.16070795528561
Q9H4M3,4.76368883911065
Q96ST3,8.12350820004665
O94813,18.6596572408797
Q7Z5G4,19.4465975307711
Q53FT3,9.39038551816018
Q12926,19.6694799664484
Q9H8M5,8.2735743302824
Q5TGI0,10.4833762220854
O15173,7.87947055120853
P42892,20.5035536811007
Q92993,19.0239436628133
Q07866,6.8554871270503
Q9Y2H5,20.6140481088538
Q8IXH7,10.8928008445338
O95297,7.17059170986985
Q9UHR5,18.818456420906
O15394,10.1952172720035
Q9NQG5,19.3389065866519
Q9HBE1,10.8900089662943
Q9Y285,18.0722553873577
Q9Y3C6,9.0710503896997
O14730,3.07892225948037
P13798,9.12597049852443
Q9BRJ7,4.35474046194636
O43292,5.26882810087621
Q8IWA4,11.5307611355916
Q2TAL8,4.05563250061427
Q76G19,10.9667061630869
Q8NI27,18.7785199127652
P35222,13.1857734754781
Q9Y4C2,8.74426291417925
P52292,9.48482436851705
Q6P1R4,9.15776995881126
P51116,6.91867564554164
P78559,6.91697452790915
Q13526,18.7175111590185
O43602,9.38457304767018
Q8IV08,19.9979387155724
Q7Z6M1,8.96145662913976
Q9NP72,4.58771585781381
P35716,3.64192387114788
P63096,19.1787216584614
Q8NCB2,6.94340129003677
O60828,2.75195612707037
Q12852,19.5376399038419
Q16827,5.60845759981174
Q5JU69,19.6510463688783
O00273,18.4404616764367
Q8IVU1,10.7196041168925
O94910,20.2113834856266
O94776,8.40217631550791
Q92879,19.4820174736376
O75190,19.9414683254149
P22694,6.65157063212095
Q96SW2,19.699983534336
Q8IV32,5.01108689957878
A7MD48,9.28513464574094
O60216,8.48417167010018
Q13586,18.5920725009882
Q8NFG4,10.9197729574384
Q969G2,20.8266050246522
O95336,17.8085229372521
P54105,18.9173047485667
