PG.ProteinGroups,Ratio_log2
Q96CX2,19.554941423727
Q9Y4C2,7.76822742324922
P40925,17.5626161379671
Q14318,7.99017694733205
P08579,6.31808325746289
Q9BRJ7,3.52742922821876
O95155,17.8617904945724
Q96Q42,9.35268533404046
Q9Y512,8.70672968185738
Q9HA65,7.2107014433852
Q9NRN7,19.0460414870215
Q06455,20.8285161746081
Q9BWM7,18.1803423471456
O94856,18.5388919354812
Q92604,18.2078083561477
P54105,17.9763376704911
P19086,3.26034966050718
O15498,16.9735942913825
Q24JP5,3.48412745070813
O95297,6.55187232816156
Q9NPH2,18.7400692922489
Q8N806,11.9308156302362
Q14671,6.44187719905663
O43924,14.6988918905809
P47756,8.37426368306503
P26196,8.29318888126743
P09104,14.2767343915876
P11413,6.87738221080406
O94776,7.62504718198813
Q9H6U8,16.9092694931248
Q9P291,10.7127596501768
Q68D91,17.984686134334
O75326,6.15838458942356
Q9UPW5,7.02720635113341
O60231,9.47471865483546
Q9Y4X5,11.577150482222
Q96MZ0,17.4441690659843
Q86Y82,19.1262359565064
Q8NCB2,5.47897843007123
P25787,8.40871076869711
Q8IV08,19.2547741331695
P51149,7.25863130592962
P13489,7.35211632196674
Q9Y3A3,16.517695966581
Q96B54,8.75704143268415
O15394,9.54790392497819
Q15771,18.8269131122924
P63096,17.9157517599023
P52292,9.27458503358789
Q13586,18.2210315127132
Q96SW2,18.9614603821356
P51812,18.8354202336739
O43292,4.63646940650817
Q96MY1,20.5399451763101
Q9UQL6,4.60773354031738
Q13951,18.5774052332427
Q9H2V7,18.8024044915907
Q9UI30,18.507126199427
Q96S59,3.36542040243861
P51116,6.12502516762216
Q8TAD8,19.3471984634408
Q5JU69,18.2654790276889
P19404,15.5673547719467
Q9NP72,4.62958587267064
Q9H0E2,18.6888776536833
Q8N350,2.3478181780133
Q8NFT8,4.52869339823341
O00560,15.7125610539035
P51784,5.74505104163231
Q6IEE7,3.82238224417898
Q8NFZ8,19.2734362996864
Q9BTT0,15.7412550479299
O75164,18.8015779154488
Q8TC26,6.11935925832395
Q92993,17.7048001354972
Q8IV32,4.70899649960213
Q9P2S2,7.56304815733983
P42224,11.3795536721636
Q9HCD6,6.65534144006882
Q8IVW6,8.17655017038943
Q96IG2,8.84251493716097
