PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
P36578,RPL4,0.095368453,0.094274193,0.092959089,0.093665337,0.149228155,0.153039097,0.151754385,0.153211091,0.136533922,0.093969765,0.151754385,-0.057741414,0.122937475,-48.63069963,1.73E-09,3.88E-06,12.90222201,"47,697",5.410679677,28,1
P08670,VIM,0.315741081,0.319895168,0.323959124,0.31465293,0.438331929,0.43749095,0.431646414,0.432657232,0.439080505,0.317818124,0.43749095,-0.116469555,0.376796853,-43.28105326,3.64E-09,4.42E-06,12.17652144,"53,652",5.354135713,51,1
Q96JB5,CDK5RAP3,0.231265255,0.229864013,0.22029005,0.229586208,0.353581439,0.348412263,0.347594969,0.351085057,0.336653418,0.22972511,0.348412263,-0.122417051,0.288959907,-43.25606878,3.65E-09,4.42E-06,12.17286238,"56,921",5.354135713,20,1
P48681,NES,0.25199857,0.24459329,0.246650927,0.243589981,0.361738236,0.371578673,0.37112082,0.370926921,0.346330107,0.245622108,0.370926921,-0.122132971,0.307774677,-40.90457048,5.23E-09,4.93E-06,11.81594959,"177,439",5.307489044,93,1
O15230,LAMA5,0.859453019,0.864950196,0.831350633,0.876069627,1.276131762,1.256986306,1.270897651,1.265098145,1.301678872,0.862201607,1.270897651,-0.409322597,1.062617167,-40.78149568,5.33E-09,4.93E-06,11.79656046,"399,737",5.307489044,85,1
Q15629,TRAM1,0.018401667,0.033493276,0.02427333,0.002645448,0.267774211,0.2630815,0.272935441,0.264698518,0.202087588,0.021337498,0.264698518,-0.247418987,0.143412924,-37.30797607,9.42E-09,7.83E-06,11.21746171,"43,072",5.106244036,6,1
Q13347,EIF3I,0.068217603,0.076496885,0.078680909,0.07982316,0.23279429,0.226130166,0.228840937,0.242090604,0.235015629,0.077588897,0.23279429,-0.15665936,0.154134319,-36.75820269,1.04E-08,7.83E-06,11.11977008,"36,502",5.106244036,24,1
P11388,TOP2A,0.582189634,0.569495941,0.589538332,0.593243807,1.101689212,1.121458852,1.058320976,1.077900811,1.063645435,0.585863983,1.077900811,-0.506225534,0.836729696,-35.51346909,1.29E-08,7.83E-06,10.89194162,"174,385",5.106244036,55,1
P60228,EIF3E,0.172818767,0.174870956,0.166179324,0.177210032,0.31804321,0.306165458,0.30296571,0.312765042,0.314658564,0.173844861,0.312765042,-0.137215085,0.241377312,-34.02381251,1.70E-08,7.83E-06,10.60644899,"52,221",5.106244036,21,1
P04844,RPN2,0.047396246,0.048851936,0.047075986,0.044168884,0.120356829,0.11781104,0.125841301,0.117638976,0.108615013,0.047236116,0.11781104,-0.073538774,0.08364265,-33.93658874,1.73E-08,7.83E-06,10.58927698,"69,284",5.106244036,21,1
P11142,HSPA8,0.089974653,0.075341963,0.094757769,0.085190487,0.28686657,0.292953469,0.278407507,0.300702242,0.28016916,0.08758257,0.28686657,-0.203416229,0.188024332,-33.33410284,1.94E-08,8.13E-06,10.46923179,"70,898",5.089769836,37,1
P04792,HSPB1,0.061592679,0.058771238,0.072835359,0.077187423,0.378522608,0.414191331,0.411635955,0.424219318,0.416345129,0.067214019,0.414191331,-0.339545628,0.237369489,-32.30884023,2.36E-08,8.29E-06,10.25900984,"22,783",5.081685912,8,1
Q14764,MVP,0.083197666,0.071710101,0.080316963,0.082664679,0.268252625,0.261896404,0.274290112,0.288202787,0.24969381,0.081490821,0.268252625,-0.19368813,0.176316417,-32.07617236,2.47E-08,8.29E-06,10.2102244,"99,327",5.081685912,54,1
Q8IV08,PLD3,0.587020037,0.58748311,0.584284373,0.628035191,0.951711148,0.974269085,0.970571203,0.951918851,0.981068285,0.587251573,0.970571203,-0.365411894,0.779411625,-31.29875859,2.89E-08,8.80E-06,10.04420735,"54,705",5.055378268,14,1
P98160,HSPG2,0.326465177,0.33153526,0.348801267,0.306125188,0.585376236,0.601819867,0.595099173,0.589281498,0.605905929,0.329000218,0.595099173,-0.264662471,0.460562958,-28.80080358,4.92E-08,1.26E-05,9.477095927,"468,830",4.898288715,87,1
P52732,KIF11,0.576219634,0.599914417,0.587249964,0.586635561,0.922755864,0.893041179,0.901927288,0.946298039,0.960334399,0.586942763,0.922755864,-0.328500698,0.751755243,-26.48809529,8.39E-08,1.80E-05,8.900494818,"119,159",4.743674652,39,1
P60842,EIF4A1,0.168698921,0.167103155,0.17381719,0.180182548,0.306909388,0.303335358,0.28994977,0.307702247,0.304344072,0.171258056,0.304344072,-0.129523737,0.237212322,-26.24949584,8.89E-08,1.87E-05,8.837858557,"46,154",4.728621713,21,1
P05387,RPLP2,0.089119638,0.079273185,0.082148935,0.095518797,0.185522852,0.179536062,0.186688771,0.184819312,0.186209413,0.085634286,0.185522852,-0.097626611,0.135328444,-25.10453395,1.18E-07,2.37E-05,8.528359237,"11,665",4.624889635,8,1
P23284,PPIB,0.038615287,0.04394737,0.041114476,0.037658366,0.094193555,0.09878942,0.097862206,0.091507425,0.096520927,0.039864882,0.096520927,-0.055254277,0.067961013,-25.02266287,1.21E-07,2.37E-05,8.505641847,"23,743",4.624889635,17,1
P29692,EEF1D,0.105305109,0.119281905,0.110108195,0.109846689,0.186763345,0.187008941,0.18275266,0.189472227,0.162299003,0.109977442,0.186763345,-0.075363819,0.148817384,-23.58906681,1.75E-07,3.12E-05,8.094295809,"31,122",4.505783001,22,1
P50991,CCT4,0.102323869,0.101299073,0.102449002,0.101413298,0.194620086,0.190548558,0.178557598,0.194950921,0.191247769,0.101868584,0.191247769,-0.08779798,0.145770301,-23.28935726,1.90E-07,3.25E-05,8.004903537,"57,924",4.487870572,37,1
O15371,EIF3D,0.121231383,0.1045719,0.113905614,0.120743914,0.23276291,0.239302358,0.225945303,0.242085722,0.242311407,0.117324764,0.239302358,-0.11991087,0.175068638,-23.23065866,1.93E-07,3.25E-05,7.987251869,"63,973",4.487870572,28,1
Q92791,P3H4,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.124400803,0.136545655,0.154632007,0.14001151,0.170756556,1.00E-07,0.14001151,-0.138897394,0.069448797,-22.97906607,2.07E-07,3.33E-05,7.911050433,"50,381",4.477875715,12,1
Q13501,SQSTM1,0.857765624,0.854184971,0.94098061,0.747245762,2.436879138,2.468309994,2.247436154,2.274032812,2.254863231,0.855975298,2.274032812,-1.506620283,1.603354383,-22.70226786,2.24E-07,3.36E-05,7.826180772,"47,687",4.474264196,10,1
Q9NPH2,ISYNA1,0.078678647,0.081928815,0.075811167,0.077635289,0.131323599,0.135659585,0.138482515,0.141992312,0.127476914,0.078156968,0.135659585,-0.058351023,0.107688991,-22.5948481,2.31E-07,3.38E-05,7.792947713,"61,068",4.470888687,21,1
Q96T88,UHRF1,0.883588703,0.894254088,0.91592402,0.901301957,1.302390334,1.233765137,1.251723928,1.285866185,1.262112031,0.897778023,1.262112031,-0.369669204,1.083601794,-22.41338134,2.43E-07,3.38E-05,7.736423377,"89,814",4.470888687,21,1
P46781,RPS9,0.128243443,0.129909346,0.13453285,0.13233284,0.185468876,0.18085017,0.178191463,0.18558983,0.174224141,0.131121093,0.18085017,-0.051270465,0.156889852,-22.40435539,2.43E-07,3.38E-05,7.73359926,"22,591",4.470888687,13,1
P47897,QARS,,,,,,,,,,,,-0.104922843,0.193532526,-21.99296178,2.74E-07,3.66E-05,7.603583506,"87,799",4.436639504,,1
Q9NV06,DCAF13,0.320505197,0.359083562,0.31923837,0.305068198,0.663705287,0.676689703,0.709188652,0.720454567,0.696934405,0.319871783,0.696934405,-0.366535721,0.509241692,-21.4457054,3.21E-07,3.86E-05,7.426592524,"51,402",4.413489847,13,1
P42704,LRPPRC,0.094076179,0.097344041,0.103175393,0.099125505,0.151260796,0.155389492,0.15938481,0.160176888,0.143950617,0.098234773,0.155389492,-0.058122717,0.127491638,-20.99076377,3.68E-07,4.17E-05,7.275804242,"157,905",4.379677601,101,1
P26373,RPL13,0.118782875,0.109642891,0.121725626,0.118410248,0.176298018,0.18089086,0.175730917,0.180744702,0.143442081,0.118596561,0.176298018,-0.061275714,0.147778267,-20.97502546,3.70E-07,4.17E-05,7.27052673,"24,261",4.379677601,13,1
Q9UH62,ARMCX3,0.256871273,0.251670867,0.25296544,0.24099397,0.344455143,0.331736419,0.336978573,0.336615627,0.314905508,0.252318153,0.336615627,-0.086821053,0.294035914,-20.70741661,4.01E-07,4.42E-05,7.180150301,"42,501",4.354784934,14,1
Q7L2H7,EIF3M,0.147824111,0.142893333,0.145269825,0.133318713,0.217134655,0.217804945,0.227585741,0.224331761,0.221022392,0.144081579,0.221022392,-0.07938778,0.182020385,-19.98176087,5.03E-07,5.17E-05,6.928818274,"42,503",4.286583418,17,1
P46013,MKI67,0.476136426,0.488857118,0.498913082,0.502414435,0.743122047,0.776583153,0.736153998,0.717948434,0.684648832,0.4938851,0.736153998,-0.251871643,0.617516087,-19.14496196,6.60E-07,6.42E-05,6.626971304,"358,694",4.19246803,111,1
P23526,AHCY,0.105033721,0.102238197,0.109992141,0.098892309,0.168457942,0.166809821,0.166032674,0.177770498,0.166820413,0.103635959,0.166820413,-0.065728642,0.136903413,-18.65559723,7.77E-07,7.41E-05,6.444086801,"47,716",4.13041251,29,1
P18615,NELFE,0.267195158,0.259783874,0.245027177,0.263231798,0.38824817,0.367495092,0.384793344,0.386792769,0.388579807,0.261507836,0.386792769,-0.123022842,0.320320923,-18.53835757,8.09E-07,7.55E-05,6.399541959,"43,240",4.121973161,20,1
P02649,APOE,0.71186649,0.668043122,0.712351311,0.751781296,1.108152506,1.136350525,1.143244639,1.191375637,1.154791637,0.712108901,1.143244639,-0.433770272,0.927895691,-18.44819703,8.34E-07,7.58E-05,6.365089311,"36,154",4.120101955,20,1
P06744,GPI,0.08689774,0.093555172,0.081852924,0.086382994,0.170242761,0.174749345,0.178521338,0.159878939,0.180635772,0.086640367,0.174749345,-0.083675888,0.129010152,-18.2731645,8.86E-07,7.89E-05,6.297711071,"63,147",4.103095732,32,1
Q15366,PCBP2,0.1688863,0.153816895,0.153798728,0.169429027,0.250292205,0.245098981,0.248037548,0.255796653,0.230255823,0.161351597,0.248037548,-0.08832361,0.205644542,-18.21570454,9.03E-07,7.89E-05,6.27544837,"38,580",4.103095732,20,1
Q08431,MFGE8,0.684473174,0.666624136,0.650803505,0.679542252,0.85582702,0.838573624,0.868559839,0.836272314,0.846826863,0.673083194,0.846826863,-0.179447432,0.760084483,-17.30059029,1.25E-06,0.000101432,5.910936555,"43,123",3.993826065,8,1
Q02809,PLOD1,0.076811257,0.091480065,0.100474665,0.090885364,0.193085425,0.187027753,0.179011835,0.182382976,0.187548927,0.091182714,0.187027753,-0.09546416,0.137644917,-17.04247213,1.37E-06,0.000107932,5.804588108,"83,550",3.966851513,30,1
P00966,ASS1,0.486482774,0.496415908,0.517207125,0.533144382,0.747091017,0.794146688,0.790695487,0.807664874,0.776877024,0.506811516,0.790695487,-0.276586969,0.646606032,-17.03743653,1.38E-06,0.000107932,5.802497256,"46,530",3.966851513,30,1
P11047,LAMC1,0.372507045,0.396747421,0.365661191,0.399312148,0.557851531,0.541269985,0.572197814,0.55446127,0.555953093,0.384627233,0.555953093,-0.172888199,0.470001051,-16.84138443,1.48E-06,0.000114563,5.720606503,"177,603",3.940955392,53,1
Q15084,PDIA6,0.079854524,0.077960452,0.077333745,0.076026766,0.100619617,0.097631449,0.097222145,0.099467584,0.091790816,0.077647099,0.097631449,-0.020941327,0.088264535,-16.76415128,1.53E-06,0.000116541,5.688082836,"48,121",3.933523062,18,1
P04406,GAPDH,0.07613326,0.073823805,0.068449174,0.077875378,0.114670611,0.122195544,0.118880408,0.122902828,0.120706584,0.074978532,0.120706584,-0.045591944,0.096866376,-16.53358541,1.66E-06,0.000123087,5.590087054,"36,053",3.909787976,33,1
Q9BXS9,SLC26A6,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.235895476,0.259695935,0.235922223,0.190558184,0.146793781,1.00E-07,0.235895476,-0.230517854,0.115259027,-16.48753352,1.69E-06,0.000124214,5.570349906,"82,967",3.905829245,11,1
P26641,EEF1G,0.108293551,0.092348966,0.107610688,0.102810123,0.184826406,0.18191245,0.199539719,0.193098868,0.183199937,0.105210405,0.184826406,-0.087078529,0.146305096,-16.44754151,1.72E-06,0.000124214,5.553165104,"50,119",3.905829245,30,1
O60488,ACSL4,0.336705286,0.33433289,0.346972022,0.310551773,0.486445932,0.517054142,0.499334011,0.488251307,0.505749536,0.335519088,0.499334011,-0.165630855,0.41495592,-16.40360243,1.75E-06,0.00012525,5.534235953,"79,188",3.902223599,30,1
P61011,SRP54,0.176658367,0.169680291,0.158201963,0.187116208,0.274369351,0.269450133,0.276899463,0.270266338,0.269776302,0.173169329,0.270266338,-0.099832114,0.222830264,-16.25802893,1.85E-06,0.000128994,5.471158048,"55,705",3.889429472,26,1
A6NKF1,SAC3D1,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.75179478,0.973858558,0.99941565,0.989667184,0.440984098,1.00E-07,0.973858558,-0.928683943,0.464342072,-16.23045544,1.87E-06,0.000128994,5.459146749,"43,553",3.889429472,5,1
P62280,RPS11,1.00E-07,0.005262354,0.0359525,1.00E-07,0.156797912,0.164365074,0.14830577,0.164741387,0.153462664,0.002631227,0.156797912,-0.148248772,0.08442815,-16.16368254,1.92E-06,0.000129164,5.429975192,"18,431",3.888859807,17,1
Q15637,SF1,0.078110821,0.088335254,0.088959545,0.070920458,0.155591756,0.152928944,0.161819182,0.154798841,0.103786342,0.083223037,0.154798841,-0.074703161,0.1189331,-16.14057705,1.94E-06,0.000129164,5.419852926,"68,330",3.888859807,22,1
P60660,MYL6,0.123268107,0.094736857,0.102190543,0.118374822,0.254135343,0.2331122,0.26119026,0.250896104,0.241104738,0.110282683,0.250896104,-0.140190895,0.179738029,-16.11088244,1.96E-06,0.000129164,5.406822796,"16,930",3.888859807,10,1
Q9HCB6,SPON1,0.372440177,0.237489726,0.194041473,0.076830423,2.820079791,3.226774754,2.918612237,3.624291407,3.179079999,0.215765599,3.179079999,-2.927239097,1.683819998,-15.85405051,2.17E-06,0.000134443,5.293115201,"90,973",3.871463389,7,1
Q7LG56,RRM2B,0.185966753,0.13357847,0.172354864,0.162935475,0.344912367,0.344174818,0.331440035,0.340373838,0.331530659,0.16764517,0.340373838,-0.176516374,0.251967078,-15.82524523,2.19E-06,0.000135081,5.280248075,"40,737",3.869407233,14,1
O75954,TSPAN9,0.970696176,0.895495813,0.898438691,0.976563171,1.481689019,1.502468654,1.387610065,1.43121273,1.252692659,0.934567434,1.43121273,-0.515446654,1.19302179,-15.66746431,2.33E-06,0.000141033,5.20935314,"26,779",3.850678658,2,1
P57076,C21orf59,,,,,,,,,,,,-0.311944296,0.707936021,-15.5834134,2.41E-06,0.000143995,5.171297254,"33,224",3.841653208,,1
P27361,MAPK3,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.076208666,0.060452598,0.065400381,0.056504938,0.030632741,1.00E-07,0.060452598,-0.064641546,0.032320873,-15.51580336,2.48E-06,0.000144413,5.140537435,"43,136",3.84039384,18,1
Q92542,NCSTN,0.379672659,0.437171991,0.420626968,0.44304817,0.661174472,0.702692021,0.672410905,0.666486718,0.66738309,0.428899479,0.66738309,-0.255561082,0.547910488,-15.49851404,2.50E-06,0.000144413,5.132650191,"78,411",3.84039384,12,1
Q8WWK9,CKAP2,1.191671815,1.295018005,1.367473914,1.267848098,2.276821109,2.155138443,2.37760162,2.160201695,2.367395527,1.281433051,2.276821109,-0.961937759,1.761471837,-15.47037123,2.53E-06,0.00014511,5.119793029,"76,987",3.838303571,13,1
Q9Y2Z0,SUGT1,0.085147905,0.095915582,0.103811344,0.088394694,0.2161142,0.237475297,0.239131833,0.259338035,0.223263918,0.092155138,0.237475297,-0.14469746,0.165666111,-15.30278396,2.71E-06,0.000150426,5.042747776,"41,024",3.822676019,23,1
Q9Y5M8,SRPRB,0.131681045,0.111711777,0.111458779,0.133885778,0.225356746,0.227655554,0.214790819,0.221701268,0.21532215,0.121696411,0.221701268,-0.100191752,0.172280221,-15.29243142,2.72E-06,0.000150426,5.037961081,"29,702",3.822676019,14,1
Q6P1L8,MRPL14,0.031656237,0.030704228,0.024079079,0.063138527,0.172012921,0.168249627,0.168646652,0.164098891,0.28320742,0.031180232,0.168646652,-0.130857505,0.10282327,-15.18369803,2.84E-06,0.000154534,4.987491987,"15,948",3.810976216,3,1
Q96D70,R3HDM4,0.590047283,0.600897214,0.627663698,0.605473931,0.935901809,1.054727861,0.980368403,0.976302281,1.082043217,0.603185573,0.980368403,-0.380804557,0.79642281,-15.15441298,2.88E-06,0.000155501,4.973838262,"30,350",3.808267081,2,1
P54105,CLNS1A,0.27949466,0.284418462,0.273753323,0.278627262,0.46191616,0.459886846,0.422305398,0.423935119,0.458422094,0.279060961,0.458422094,-0.162937454,0.360542154,-15.11432985,2.92E-06,0.000156464,4.955107871,"26,215",3.805586122,5,1
P61160,ACTR2,0.169904263,0.176196306,0.168742526,0.165855049,0.25543762,0.23602935,0.255949144,0.257740538,0.241827501,0.169323395,0.25543762,-0.081114627,0.21073185,-15.0071309,3.06E-06,0.000159712,4.904773615,"44,761",3.796661345,22,1
O75794,CDC123,1.1212579,1.181010121,1.161955257,1.143873936,1.564754866,1.645762816,1.718978641,1.647611051,1.733543327,1.152914597,1.647611051,-0.49225254,1.398150573,-14.97853809,3.09E-06,0.000160724,4.891288346,"39,135",3.793918615,11,1
P01137,TGFB1,1.286711128,1.344828672,1.330059331,1.36400952,2.460874348,2.451543066,2.164443493,2.413484714,2.15405639,1.337444001,2.413484714,-1.041184243,1.851994284,-14.95418875,3.13E-06,0.000161464,4.879784456,"44,341",3.791924915,9,1
Q9UGT4,SUSD2,0.34425311,0.31083706,0.293904938,0.305609917,0.480724942,0.493760063,0.471883891,0.48461752,0.481681868,0.308223489,0.481681868,-0.169095348,0.39819893,-14.91699521,3.18E-06,0.00016235,4.862176701,"90,208",3.789546929,22,1
P22102,GART,1.00E-07,0.002246699,1.00E-07,0.001129842,0.037763168,0.037737847,0.032982945,0.044939356,0.03249895,0.000564971,0.037737847,-0.037511644,0.019600007,-14.91464598,3.18E-06,0.00016235,4.861063106,"107,767",3.789546929,46,1
Q02543,RPL18A,1.00E-07,1.00E-07,0.038257581,1.00E-07,0.173843908,0.159729971,0.181063984,0.190599496,0.125276837,1.00E-07,0.173843908,-0.16674487,0.092936905,-14.89284009,3.21E-06,0.000162945,4.850718326,"20,762",3.78795958,12,1
P19387,POLR2C,0.114002556,0.138262995,0.113929275,0.111202283,0.267725871,0.248502069,0.265618008,0.288503235,0.250379376,0.113965915,0.265618008,-0.148238018,0.193468287,-14.77825355,3.37E-06,0.000167342,4.79611248,"31,441",3.776394559,11,1
P53611,RABGGTB,0.002989846,1.00E-07,0.012070278,0.001413861,0.150089579,0.110317899,0.144118254,0.141300313,0.186944973,0.002201853,0.144118254,-0.13233799,0.070287516,-14.67356952,3.52E-06,0.000174022,4.745861332,"36,924",3.759396359,8,1
O00299,CLIC1,0.041545632,0.033606303,0.042409149,0.040621845,0.076820942,0.080781557,0.072997451,0.077253654,0.069576389,0.041083738,0.076820942,-0.037417669,0.058254567,-14.64241418,3.57E-06,0.000175414,4.730838078,"26,923",3.755935398,17,1
O14763,TNFRSF10B,1.671742948,1.705535763,1.681191523,1.778270731,2.415753506,2.388087585,2.249050005,2.312633931,2.483485528,1.693363643,2.388087585,-0.632196015,2.025283249,-14.61374241,3.61E-06,0.000175805,4.716984727,"47,878",3.754968389,10,1
Q6ULP2,AFTPH,0.141446969,0.062458247,0.094547292,0.114047451,0.54426136,0.514069006,0.636638459,0.618253236,0.539739402,0.104297371,0.54426136,-0.475180525,0.340715253,-14.60189895,3.63E-06,0.000175805,4.71125455,"102,113",3.754968389,9,1
Q7Z417,NUFIP2,0.253182264,0.256851148,0.228689179,0.256415028,0.386642984,0.364130011,0.394818867,0.378445146,0.447753833,0.254798646,0.386642984,-0.132224848,0.314896828,-14.52028983,3.76E-06,0.000179893,4.671645841,"76,121",3.744985967,17,1
P51149,RAB7A,0.141807809,0.150186152,0.147446004,0.147607059,0.178008579,0.178703578,0.182921166,0.184438651,0.161595625,0.147526532,0.178703578,-0.034256237,0.163889875,-14.46672719,3.85E-06,0.000182384,4.645530896,"23,490",3.739014244,19,1
P14618,PKM,0.159709675,0.160991579,0.153447414,0.155535449,0.190182455,0.194770396,0.188255586,0.194554023,0.194898044,0.157622562,0.194554023,-0.034519586,0.174680822,-14.41348889,3.94E-06,0.000184638,4.619480308,"57,937",3.733678515,61,1
Q9UHY1,NRBP1,0.80201956,0.754680601,0.783894454,0.825600105,1.156838582,1.141374394,1.125390181,1.071132868,1.164115719,0.792957007,1.141374394,-0.332135327,0.957616343,-14.36370709,4.02E-06,0.000185951,4.595035916,"59,845",3.730601416,16,1
Q14746,COG2,1.00E-07,1.00E-07,1.00E-07,0.017236998,0.215233359,0.210343544,0.211551881,0.158752033,0.19635795,1.00E-07,0.210343544,-0.194660879,0.101639764,-14.24948975,4.23E-06,0.000193676,4.538637934,"83,208",3.712924962,25,1
O60493,SNX3,0.094708312,0.159460506,0.086893219,0.12606394,0.405339483,0.412262852,0.394833543,0.361034433,0.354492124,0.110386126,0.394833543,-0.276586083,0.255074536,-14.24778109,4.23E-06,0.000193676,4.537790894,"18,762",3.712924962,6,1
Q9NR30,DDX21,0.054942181,0.064943024,0.058521509,0.059703192,0.121464666,0.116351074,0.110319822,0.128640682,0.113758154,0.05911235,0.116351074,-0.059666585,0.089360769,-13.87756251,4.99E-06,0.000211649,4.351891192,"87,344",3.674383711,42,1
O95817,BAG3,0.135222223,0.224331855,0.196323263,0.296852985,0.725685708,0.769262266,0.747244165,0.67972513,0.723018736,0.210327559,0.725685708,-0.517296736,0.47183095,-13.86714318,5.01E-06,0.000211649,4.346589904,"61,595",3.674383711,12,1
P05141,SLC25A5,0.053478542,0.044315588,0.046818889,0.053372822,0.092448324,0.091402033,0.085424481,0.094403842,0.094131644,0.050095855,0.092448324,-0.04142321,0.070208065,-13.86614086,5.01E-06,0.000211649,4.346079728,"32,852",3.674383711,9,1
Q8TF46,DIS3L,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.186869418,0.184824476,0.243129658,0.239166557,0.239874106,1.00E-07,0.239166557,-0.213497427,0.106748814,-13.80366805,5.16E-06,0.000215327,4.314210577,"120,787",3.666902191,22,1
P32004,L1CAM,0.834080507,0.853163746,0.916616832,0.89918947,1.221001821,1.205889572,1.294050436,1.223798877,1.285029044,0.876176608,1.223798877,-0.360422538,1.055973908,-13.52614828,5.85E-06,0.000231747,4.170932461,"140,003",3.634985102,42,1
Q99832,CCT7,0.011694821,0.008591914,0.015305695,1.00E-07,0.069636878,0.071924745,0.085930566,0.08406155,0.05233742,0.010143368,0.071924745,-0.068990302,0.043393284,-13.42143581,6.14E-06,0.000238636,4.116133129,"59,367",3.622264599,44,1
P62854,RPS26,0.095018378,0.090440419,0.096505866,0.097438735,0.141206317,0.137707731,0.132917273,0.147370818,0.132290254,0.095762122,0.137707731,-0.044949685,0.117325692,-13.38819224,6.24E-06,0.00024033,4.098649585,"13,015",3.619191647,2,1
P20810,CAST,0.038600299,0.028354459,0.003591379,1.00E-07,0.149722647,0.139268316,0.151452573,0.140899963,0.148341325,0.015972919,0.148341325,-0.127699315,0.081486217,-13.3201882,6.44E-06,0.000246022,4.062754248,"76,573",3.609026391,18,1
O95373,IPO7,0.092697841,0.094836859,0.078463328,0.094543093,0.181845269,0.184351439,0.174283591,0.160727695,0.16067729,0.093620467,0.174283591,-0.085166718,0.132718639,-13.29265464,6.52E-06,0.000246314,4.048170765,"119,517",3.60851168,48,1
P31930,UQCRC1,1.00E-07,1.00E-07,0.001019614,1.00E-07,0.057255021,0.067571492,0.060257219,0.080457582,0.042194532,1.00E-07,0.060257219,-0.06613035,0.033320153,-13.12784595,7.05E-06,0.00025932,3.960266733,"52,646",3.586164626,22,1
Q9UHX1,PUF60,0.169397371,0.156131115,0.164521921,0.159114914,0.224074504,0.222155416,0.210573123,0.226369568,0.217664841,0.161818418,0.222155416,-0.058501822,0.191542241,-13.09159677,7.17E-06,0.000260091,3.940790566,"59,875",3.584874216,22,1
O95336,PGLS,0.077327477,0.071042782,0.071743519,0.071706178,0.106097314,0.098614773,0.10035812,0.101076541,0.093787972,0.071724849,0.10035812,-0.028581698,0.087245838,-13.05404166,7.30E-06,0.000260612,3.92055819,"27,547",3.584005546,14,1
Q9GZT3,SLIRP,0.103432169,0.087613658,0.082226465,0.08557774,0.163700701,0.162793747,0.153370362,0.154386933,0.15257389,0.086595699,0.154386933,-0.068850428,0.124137722,-13.01830744,7.43E-06,0.000260612,3.901254996,"12,349",3.584005546,10,1
Q9C0D5,TANC1,0.346818899,0.315263321,0.307338759,0.322574389,0.624109996,0.605929678,0.684277822,0.713075826,0.593247521,0.318918855,0.624109996,-0.333849489,0.489923586,-13.01229743,7.45E-06,0.000260612,3.898003481,"202,219",3.584005546,23,1
Q96KN3,PKNOX2,1.00E-07,0.007632846,1.00E-07,1.00E-07,0.235045941,0.311272735,0.22173085,0.244949348,0.069633926,1.00E-07,0.235045941,-0.251341432,0.127579002,-12.99043763,7.53E-06,0.000260612,3.886164846,"52,028",3.584005546,2,1
Q8N135,LGI4,2.289998981,2.164355053,2.61875041,2.314969935,1.00E-07,1.00E-07,0.59112405,1.00E-07,0.54010185,2.302484458,1.00E-07,2.199237507,1.247399841,12.89663929,7.87E-06,0.000266562,3.83514924,"59,141",3.574201484,7,1
P62701,RPS4X,0.069853568,0.079342393,0.066069853,0.071778876,0.124288839,0.113032251,0.117629967,0.122571558,0.12417472,0.070816222,0.122571558,-0.047619481,0.095570913,-12.86555482,7.99E-06,0.000267641,3.818164625,"29,598",3.572447948,11,1
Q9H4L5,OSBPL3,0.076580586,1.00E-07,1.00E-07,1.00E-07,0.284715625,0.340141056,0.353580258,0.31401804,0.223990801,1.00E-07,0.31401804,-0.303968523,0.171129483,-12.85859515,8.02E-06,0.000267641,3.814356478,"101,224",3.572447948,23,1
P07355,ANXA2,0.072959607,0.073184912,0.080560344,0.073408672,0.134803117,0.119278427,0.125282457,0.135189032,0.13607464,0.073296792,0.134803117,-0.053609874,0.101833321,-12.79452198,8.27E-06,0.000271179,3.779204702,"38,604",3.566744709,10,1
P07237,P4HB,0.001076649,1.00E-07,1.00E-07,1.00E-07,0.047621195,0.064909499,0.062392866,0.070697769,0.051554312,1.00E-07,0.062392866,-0.061136095,0.030837285,-12.75077833,8.45E-06,0.000276027,3.75510956,"57,116",3.559047883,41,1
Q8NCH0,CHST14,0.639162102,0.698902913,0.604626571,0.674961013,1.029957492,1.021509199,1.093693399,0.984102887,1.213589528,0.657061558,1.029957492,-0.377902595,0.843364447,-12.72375068,8.56E-06,0.000278702,3.74018264,"42,997",3.554859545,10,1
Q8N5I9,C12orf45,0.846615905,0.814153274,0.839799659,0.881269359,1.125189901,1.059125358,1.123051574,1.094386969,1.155884867,0.843207782,1.123051574,-0.254978901,0.972949,-12.71234446,8.61E-06,0.000279275,3.733874115,"20,123",3.553968604,3,1
Q8IVM0,CCDC50,0.437541747,0.44338075,0.402000743,0.42194853,0.735730166,0.685258657,0.666964077,0.647361424,0.708714338,0.429745139,0.685258657,-0.257610638,0.555023262,-12.63217997,8.95E-06,0.000288369,3.689384361,"35,822",3.540052039,15,1
