PG.ProteinGroups,PG.Genes,ConditionNorm_N40_N_2,ConditionNorm_N40_N_3,ConditionNorm_N40_N_4,ConditionNorm_N40_N_5,ConditionNorm_N41_N_1,ConditionNorm_N41_N_2,ConditionNorm_N41_N_3,ConditionNorm_N41_N_4,ConditionNorm_N41_N_5,MedianConditionNormN40N,MedianConditionNormN41N,logFC,AveExpr,t,P.Value,adj.P.Val,B,mass,neglog(adj.P.Val),TotalPeptidesOverallInGene,LAMP Assoc
Q96E11,MRRF,1.00E-07,0.006355964,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.003782418,1.00E-07,1.00E-07,1.00E-07,0.000643386,0.001267373,0.340483,0.744354956,0.921572833,-8.261938599,"29,277",0.035470336,5,1
P04632,CAPNS1,0.028332753,0.089301686,1.00E-07,0.028045764,0.0198922,0.02010901,0.000534052,0.073200722,1.00E-07,0.028189258,0.0198922,0.00798608,0.032427036,0.337608487,0.746420688,0.923388505,-8.263044478,"28,316",0.034615536,6,1
Q9H2E6,SEMA6A,3.037552671,3.153380581,2.840201127,2.861342033,3.18877049,2.737881065,3.172332683,2.960221482,2.833471332,2.949447352,2.960221482,-0.041682327,2.993960267,-0.332763906,0.749907331,0.926586019,-8.264887794,"114,395",0.033114257,12,1
P36954,POLR2I,0.697677459,0.658353549,0.701793185,0.495142556,0.806504244,0.474410985,0.680468191,0.700536015,0.516644426,0.678015504,0.680468191,-0.027238172,0.651860773,-0.332306397,0.750236931,0.92686941,-8.265060542,"14,523",0.032981451,5,1
P08133,ANXA6,0.057370904,0.050813489,0.060222088,0.057312326,0.053929074,0.055668991,0.054806073,0.065755194,0.049786681,0.057341615,0.054806073,-0.001110131,0.056984767,-0.331647012,0.750712067,0.927208626,-8.265309111,"75,873",0.032822537,52,1
Q3T906,GNPTAB,1.00E-07,1.00E-07,0.430037612,1.00E-07,1.00E-07,1.00E-07,0.687624299,1.00E-07,1.00E-07,1.00E-07,1.00E-07,-0.064396672,0.139707814,-0.328609862,0.752902086,0.929155917,-8.266447867,"143,622",0.031911403,1,1
Q9Y3B4,SF3B6,0.097670151,0.136277942,0.133876675,0.132607339,0.011617536,0.232348827,0.00914459,0.174147587,1.00E-07,0.133242007,0.011617536,0.018293392,0.115961331,0.328198412,0.753198965,0.929287114,-8.266601358,"14,585",0.031850085,7,1
P51572,BCAP31,0.147303756,0.015043446,0.080185064,0.088384923,0.003778013,0.094345709,0.095910072,0.092418863,0.09941469,0.084284994,0.094345709,0.011116133,0.077171231,0.326000406,0.754785691,0.930952585,-8.267418171,"27,992",0.031072438,16,1
Q9UKI2,CDC42EP3,0.509218906,0.132204459,1.607593862,0.129319602,1.00E-07,1.014366151,1.00E-07,0.810629201,1.00E-07,0.320711683,1.00E-07,0.138335319,0.525416548,0.325716044,0.754991064,0.930952585,-8.267523456,"27,678",0.031072438,2,1
Q6PI78,TMEM65,1.00E-07,0.018474683,1.00E-07,0.007819077,1.00E-07,1.00E-07,0.014480306,0.004818916,0.000668114,0.003909588,0.000668114,0.001748634,0.005699173,0.323974089,0.756249621,0.932055985,-8.268166477,"25,498",0.030558001,5,1
P29122,PCSK6,0.39515937,0.75682265,0.179509677,0.425913899,0.207885469,0.502708833,0.855286184,0.41585163,0.647905641,0.410536634,0.502708833,-0.05608163,0.467392214,-0.32227361,0.757478991,0.933376568,-8.268790969,"106,420",0.029943106,2,1
P0DPB6,POLR1D,0.019507577,0.064413457,0.001731258,1.00E-07,0.001050489,0.00031911,0.037557051,0.024807743,0.081664671,0.010619418,0.024807743,0.0054795,0.018673348,0.32221274,0.757523012,0.933376568,-8.268813264,"15,237",0.029943106,5,1
Q16831,UPP1,0.106244149,1.00E-07,0.001851449,1.00E-07,1.00E-07,0.068985266,1.00E-07,1.00E-07,1.00E-07,0.000925775,1.00E-07,0.009777558,0.022135171,0.32065396,0.758650637,0.934516892,-8.269382817,"33,934",0.029412844,10,1
Q6P3W2,DNAJC24,1.00E-07,1.00E-07,1.00E-07,0.141895935,1.00E-07,1.00E-07,0.221380462,1.00E-07,0.326422767,1.00E-07,1.00E-07,-0.019871132,0.045409625,-0.312736696,0.764387855,0.939456348,-8.272234334,"17,008",0.027123395,1,1
Q6NZ67,MZT2B,1.00E-07,0.073251566,1.00E-07,1.00E-07,1.00E-07,1.00E-07,1.00E-07,0.114161106,1.00E-07,1.00E-07,1.00E-07,-0.010227385,0.023426659,-0.311996605,0.764924993,0.939990548,-8.272497356,"16,226",0.026876513,3,1
P24390,KDELR1,0.064234088,1.00E-07,0.018971855,1.00E-07,1.00E-07,0.057936333,1.00E-07,1.00E-07,1.00E-07,0.009485978,1.00E-07,0.006317378,0.017642847,0.311680044,0.765154787,0.940024071,-8.272609674,"24,542",0.026861025,3,1
Q7Z422,SZRD1,0.242029257,0.247972494,0.22803585,0.260125919,0.275450499,0.215140284,0.256037211,0.2109487,0.278507313,0.245000876,0.256037211,0.005146707,0.241967527,0.311238622,0.765475262,0.940292848,-8.272766109,"16,997",0.026736867,4,1
Q96QE2,SLC2A13,0.136702051,0.040985911,0.141481869,0.18182133,0.137027259,0.134137719,0.125155156,0.063995278,0.070982895,0.13909196,0.125155156,0.010168937,0.120163322,0.305250437,0.769827648,0.944134027,-8.274866993,"70,371",0.02496635,3,1
P56277,CMC4,0.219783773,0.133611582,0.235239535,0.126615344,0.265125892,1.00E-07,0.341120601,1.00E-07,1.00E-07,0.176697678,1.00E-07,0.027250886,0.165187116,0.302273785,0.771994549,0.946414956,-8.275896565,"7,747",0.023918405,1,1
Q8WVV9,HNRNPLL,0.102719004,0.117467799,0.115400458,0.098626348,0.119934629,0.075263463,0.100940472,0.124269285,0.095467622,0.109059731,0.100940472,0.00345144,0.106827682,0.294966331,0.777323516,0.950678998,-8.278382477,"60,083",0.0219661,21,1
