PG.ProteinGroups,Ratio_log2
Q86X02,7.90885425709292
O43913,7.90120297821523
Q9H3K2,10.0088021854102
Q9BZJ0,9.10173606785556
Q5T5C0,10.9940760136729
Q02880,4.01533218891955
O14818,2.66257083174382
Q9UBF8,6.49311745255105
P07602,9.08251594267288
Q14155,2.97118479776349
Q9H2V7,10.0858201186194
P63000,11.2603265152325
Q15048,3.97075343273253
Q5TC82,12.9538451731039
O95502,18.3934261673627
P07737,10.9082825107536
Q9BSJ8,6.7890760403703
O95568,2.29506081877991
O95822,2.34236187838473
Q9Y5V3,6.07966967109864
P18669,1.93767607140099
Q9HCD6,4.64495438760261
Q14103,5.9642454820515
P52272,11.7193992568041
Q15800,16.4380760947694
O60488,10.542966717892
P20336,16.813694479533
Q24JP5,10.7422219046898
Q96CX6,21.2572651938078
P45983,16.2342932169178
Q9BY67,12.1873108400426
