PG.ProteinGroups,PG.Genes,Log2
Q9GZL7,WDR12,0.58741677305443
Q13011,ECH1,-6.5836014738800200
Q8IWV8,UBR2,-3.8470215353619100
Q9H0E2,TOLLIP,-3.141851087997450
A6NJT0,UNCX,-1.375435109285500
P51784,USP11,-3.029123127521290
P61086,UBE2K,-3.7972646255641100
O43151,TET3,-2.039940196182430
P46109,CRKL,-6.3058118601533300
Q9HCM3,KIAA1549,-3.4592409004969800
Q9UHR5,SAP30BP,-3.8164602528906800
Q5VTL8,PRPF38B,-4.1073424291266800
Q96RN5,MED15,-3.7827389105697800
P42892,ECE1,-2.353620008081080
Q658Y4,FAM91A1,-4.7940916523891800
Q8TF61,FBXO41,-4.1958058318131900
Q96PB7,OLFM3,-1.812626148269830
Q7Z4V5,HDGFL2,-8.17391072577944000
Q5T7P8,SYT6,-2.586107956947500
Q9UIF9,BAZ2A,-4.9432347650418000
O94985,CLSTN1,-1.310874037901740
Q9UN75,PCDHA12,-3.190559457460160
Q7L775,EPM2AIP1,-3.8602355019969400
Q9BQ39,DDX50,-5.6322876798476700
Q7KZ85,SUPT6H,-4.3898561688958000
P35716,SOX11,-1.02484993709081
Q9H4M3,FBXO44,-2.953445312912440
Q8IV08,PLD3,-2.968716417878260
Q9UIC8,LCMT1,-6.4141270161831700
P36578,RPL4,-7.46230278566403000
Q6PID6,TTC33,-2.770167277267080
O94921,CDK14,-4.0720470344605200
Q92785,DPF2,-2.869984560300050
P30876,POLR2B,-4.0709633240524300
O60506,SYNCRIP,-8.62027801666582000
P10586,PTPRF,-2.521902765550120
Q9NP72,RAB18,-3.5145427537229300
Q5JSZ5,PRRC2B,-2.764257915851660
O15027,SEC16A,-3.634565116995240
Q06455,RUNX1T1,-0.831740516034415
A1L0T0,ILVBL,-4.2328428011262500
P23743,DGKA,-3.264703890711130
Q674X7,KAZN,-3.6944538245659000
Q96EY1,DNAJA3,-4.2170060499232600
Q92925,SMARCD2,-1.672399098258400
Q2V2M9,FHOD3,-2.572367619791980
Q06210,GFPT1,-2.541314652425360
Q9GZN1,ACTR6,-3.014986598816710
Q14344,GNA13,-4.6974898833651800
O75093,SLIT1,-2.865448155870220
Q5ZPR3,CD276,-6.69528934199342000
P52292,KPNA2,-2.400199936692270
Q96A35,MRPL24,-4.6742855175518900
P63244,RACK1,-5.5972431096206400
Q24JP5,TMEM132A,-2.156697093918630
O96005,CLPTM1,-6.5333748774415700
O94812,BAIAP3,-1.874343899170260
Q8IUH5,ZDHHC17,-2.556323371247980
Q8IVU1,IGDCC3,-2.973910523246250
Q13772,NCOA4,-2.053008654197700
O76070,SNCG,-9.10690734252362000
Q9BY67,CADM1,-4.111879491509590
P17405,SMPD1,-4.6050073434578100
O15213,WDR46,-4.2718680048424400
Q8IWT6,LRRC8A,-4.4837463317130100
Q9ULN7,PNMA8B,-2.503396409741860
P49918,CDKN1C,-2.300452086905850
O75190,DNAJB6,-2.767453541413900
Q96DE0,NUDT16,-3.7392648045077400
Q9NR46,SH3GLB2,-6.1546827238326500
Q53FT3,HIKESHI,-4.6890535218622000
Q6P1Q0,LETMD1,-5.7199810688030700
Q5VTB9,RNF220,-3.5626434856994400
O95057,DIRAS1,-4.007142173628520
Q8N0Z6,TTC5,-4.5781472715178100
P09104,ENO2,-5.4060511012553300
Q9HCK5,AGO4,-3.6695028005292500
O95071,UBR5,-3.317749052307680
O43310,CTIF,-2.274445981647840
P22303,ACHE,-2.027193267771810
P27695,APEX1,-8.6638262145917500
Q9UPN6,SCAF8,-2.316668076594670
Q02252,ALDH6A1,-5.136667895706210
Q86XP3,DDX42,-3.5479056436162600
P31930,UQCRC1,-5.5597183663983600
Q969G2,LHX4,-1.420409046424350
Q9P2S2,NRXN2,-3.04723977059307
Q9UHN1,POLG2,-5.0590694296928600
Q86Y82,STX12,-2.818034657835630
O43312,MTSS1,-3.3304173756533500
P30040,ERP29,-4.6016429359225200
Q9Y4C2,TCAF1,-1.818154723922320
O95864,FADS2,-3.132592834518290
Q12824,SMARCB1,-2.826593012858280
O95996,APC2,-2.285779300956340
Q9Y4P1,ATG4B,-7.47574574413415000
O43405,COCH,-2.033372536840190
P55265,ADAR,-4.4070950235660300
Q96HE7,ERO1A,-7.39483429156225000
Q16585,SGCB,-3.6362128188053100
Q9UKC9,FBXL2,-4.0910723848122500
Q9NPZ5,B3GAT2,-3.199495546988060
O14525,ASTN1,-4.8389119944245100
Q13569,TDG,-2.257808135195670
P60891,PRPS1,-6.78422722845528000
Q9NPH2,ISYNA1,-3.6375958703119700
Q9ULP0,NDRG4,-9.12208925353598000
Q9NZV5,SELENON,-2.950441076985830
Q9Y5Z7,HCFC2,-1.99049648464984
P46379,BAG6,-2.923988519311780
Q9HAT8,PELI2,-2.544520252293810
Q9HBE1,PATZ1,-1.137455544357340
Q14671,PUM1,-2.848242212303030
P0CK96,SLC35E2B,-0.292273332536694
Q9H6T3,RPAP3,-3.124202259916110
Q92529,SHC3,-3.519017829477620
Q8N766,EMC1,-5.6686304806928600
Q01484,ANK2,-9.36578990105133000
P62241,RPS8,-8.2829630849978000
Q8NFT8,DNER,-1.822972855923340
O15394,NCAM2,-2.637664611860660
Q9NQG5,RPRD1B,-3.8274812619804100
O43526,KCNQ2,-2.197110513564020
Q13951,CBFB,-4.6763562541226900
Q9BX68,HINT2,-5.7738681952477600
O00571,DDX3X,-3.116252012666670
Q9HCG8,CWC22,-4.1458511002154600
P07741,APRT,-4.5670686714119100
Q9NV31,IMP3,-2.975261721980700
Q9Y3C6,PPIL1,-6.69700914805946000
Q96MY1,NOL4L,-1.803358021965660
P49674,CSNK1E,-4.3671422692776700
Q719H9,KCTD1,-2.112350428982670
Q9UL15,BAG5,-7.14864729435602000
Q13490,BIRC2,-3.7688820257331100
O14735,CDIPT,-5.1298959955006000
Q8WV44,TRIM41,-3.05830789679693
Q9ULH0,KIDINS220,-5.5876313020821500
Q9Y5A7,NUB1,-1.764614590565390
Q9H3P7,ACBD3,-5.1130509975337600
P51116,FXR2,-2.981462861747240
Q9NWQ8,PAG1,-3.07157645142831
Q15417,CNN3,-10.11170357738070000
Q9HCH0,NCKAP5L,-3.028827686285300
Q86UN3,RTN4RL2,-2.928657973512130
P14373,TRIM27,-2.210385762404840
Q7L3B6,CDC37L1,-0.417079048856043
Q9ULJ6,ZMIZ1,-1.434677720410290
Q09472,EP300,-5.151840605496300
Q16718,NDUFA5,-3.5794417429025600
Q9Y608,LRRFIP2,-4.5037130605371500
Q76G19,PDZD4,-1.931576328434800
Q8IVL1,NAV2,-3.7589022865357400
Q15334,LLGL1,-5.2834211061949600
Q8NFZ8,CADM4,-2.393194328430840
Q9UL46,PSME2,-5.5379355101367400
Q5T3F8,TMEM63B,-3.000207238323210
P38606,ATP6V1A,-4.1217984658905800
Q9Y3I1,FBXO7,-2.915334797680760
Q8NB37,GATD1,-2.827790016733320
Q96KQ7,EHMT2,-3.7264069282632800
Q99848,EBNA1BP2,-4.1062281051406900
Q9BQI5,SGIP1,-3.7411729542914900
Q9BRJ6,C7orf50,-5.2825099042314800
P07949,RET,-2.73093346008736
O94964,SOGA1,-2.939238517083440
Q8N5J2,MINDY1,-3.5190285182794400
P54105,CLNS1A,-4.3707811367238300
Q9Y2H5,PLEKHA6,-2.216049719613500
O95848,NUDT14,-6.95468349891354000
P52594,AGFG1,-6.98923055276603000
P78332,RBM6,-6.68948988147299000
Q12852,MAP3K12,-3.107335320878390
O00743,PPP6C,-4.672128749667550
Q684P5,RAP1GAP2,-3.5962388625887200
Q9GZS1,POLR1E,-1.231102891436630
Q9NWZ5,UCKL1,-4.4178035608410800
P60510,PPP4C,-3.5870136496807800
O95297,MPZL1,-5.1851047707611600
O15550,KDM6A,-1.986825171781910
Q8N158,GPC2,-3.8852311939676700
Q96N64,PWWP2A,-2.895266804225680
Q8IWA4,MFN1,-4.143601704874030
Q6IEE7,TMEM132E,-2.502490343234320
Q9BT67,NDFIP1,-2.718596125758740
P13489,RNH1,-4.5845511684436000
P04843,RPN1,-4.8337574885656100
O43683,BUB1,-4.2478915530976000
Q9BV68,RNF126,-4.476400713619780
O94856,NFASC,-3.5605848228743000
Q96SW2,CRBN,-3.5016015929512700
Q96CX2,KCTD12,-2.586986477957180
Q9BRD0,BUD13,-3.069643404176200
Q2TBE0,CWF19L2,-2.544037756964000
O15270,SPTLC2,-3.27637111884955
Q9Y4F5,CEP170B,-2.506898114121000
