PG.ProteinGroups,PG.Genes_x,50,PG.Genes_y,150,PG.Genes,300
Q96CX2,KCTD12,-3.69855524048455,KCTD12,-2.92735358136,KCTD12,-2.58698647795718
Q9Y4C2,TCAF1,-3.31524648879666,TCAF1,-2.33921099786663,TCAF1,-1.81815472392232
Q14318,FKBP8,-3.25423148671133,FKBP8,-2.52259856982566,FKBP8,-1.94717957854719
Q9BRJ7,NUDT16L1,-4.81739510482828,NUDT16L1,-3.99008387110068,NUDT16L1,-3.6876459754227504
O95155,UBE4B,-5.3917061696391,UBE4B,-4.434366990276089,UBE4B,-3.12820173104433
Q9HA65,TBC1D17,-4.43847701127338,TBC1D17,-4.74715594368805,TBC1D17,-4.231548634676351
Q9NRN7,AASDHPPT,-4.20745517719001,AASDHPPT,-3.22217642667918,AASDHPPT,-2.88214263758736
Q06455,RUNX1T1,-2.4249804896034,RUNX1T1,-1.30131831281717,RUNX1T1,-0.831740516034415
Q9BWM7,SFXN3,-5.07315431706589,SFXN3,-4.450767602665191,SFXN3,-4.02770527456834
O94856,NFASC,-4.71460472873031,NFASC,-4.3361647605433,NFASC,-3.5605848228743
Q92604,LPGAT1,-5.04568830806386,LPGAT1,-4.95163908079514,LPGAT1,-4.01872652975456
P54105,CLNS1A,-5.27715899372041,CLNS1A,-4.336191915644831,CLNS1A,-4.370781136723831
P19086,GNAZ,-5.56136573201501,GNAZ,-5.54927541924953,GNAZ,-4.69033935770606
Q24JP5,TMEM132A,-3.44609812892521,TMEM132A,-2.72627139394542,TMEM132A,-2.15669709391863
O95297,MPZL1,-6.11453256188443,MPZL1,-5.49581318017614,MPZL1,-5.18510477076116
Q9NPH2,ISYNA1,-4.513427371962591,ISYNA1,-4.27943693909927,ISYNA1,-3.6375958703119697
Q14671,PUM1,-3.66892846335288,PUM1,-3.9300895346989697,PUM1,-2.84824221230303
O43924,PDE6D,-4.32187241185848,PDE6D,-3.06436380051995,PDE6D,-3.03021794376146
P47756,CAPZB,-5.02549798347217,CAPZB,-4.411291152395729,CAPZB,-4.07005235378855
P11413,G6PD,-5.34127596174204,G6PD,-4.88334957285373,G6PD,-4.61127201094179
O94776,MTA2,-3.59870492190378,MTA2,-2.82157578838401,MTA2,-2.55068680687116
Q9H6U8,ALG9,-6.34422717108677,ALG9,-4.69619218352252,ALG9,-4.59200179057359
Q9P291,ARMCX1,-4.31123798683012,ARMCX1,-2.28149833624517,ARMCX1,-3.03779243472694
Q68D91,MBLAC2,-5.26881052987752,MBLAC2,-4.69962424949333,MBLAC2,-4.08764919981
O60231,DHX16,-5.03349984608748,DHX16,-4.4131566533328,DHX16,-3.44789742690166
Q86Y82,STX12,-4.12726070770517,STX12,-3.12298593181687,STX12,-2.81803465783563
Q8IV08,PLD3,-3.99872253104207,PLD3,-3.25555794863913,PLD3,-2.96871641787826
P51149,RAB7A,-8.15124921851031,RAB7A,-7.15336529693516,RAB7A,-6.90992390951362
P13489,RNH1,-5.50135249218099,RNH1,-4.974689628867711,RNH1,-4.5845511684436
Q96B54,ZNF428,-3.14468417849369,ZNF428,-2.58222053646731,ZNF428,-2.06089103131492
O15394,NCAM2,-3.56219596110433,NCAM2,-2.91488261407898,NCAM2,-2.63766461186066
Q15771,RAB30,-4.42658355191913,RAB30,-3.27643002900814,RAB30,-3.07090674448994
P63096,GNAI1,-5.33774490430919,GNAI1,-4.07477500575011,GNAI1,-3.8462992676372
P52292,KPNA2,-3.21193672196745,KPNA2,-3.00169738703829,KPNA2,-2.40019993669227
Q96SW2,CRBN,-4.292036282075951,CRBN,-3.55351312987553,CRBN,-3.50160159295127
O43292,GPAA1,-4.60292836947354,GPAA1,-3.9705696751055,GPAA1,-3.9165292933268714
Q96MY1,NOL4L,-2.71355148790147,NOL4L,-2.13098129868513,NOL4L,-1.80335802196566
Q9H2V7,SPNS1,-4.45109217262088,SPNS1,-3.8190266703059,SPNS1,-3.41864962785551
Q9UI30,TRMT112,-4.74637046478449,TRMT112,-4.068906869437591,TRMT112,-3.6675084242450096
Q96S59,RANBP9,-3.39682267198457,RANBP9,-2.79469071227276,RANBP9,-2.31989385181532
P51116,FXR2,-3.9741630483051904,FXR2,-3.18051257038572,FXR2,-2.98146286174724
Q5JU69,TOR2A,-4.98801763652262,TOR2A,-3.60245029533326,TOR2A,-3.16568071316899
P19404,NDUFV2,-7.68614189226488,NDUFV2,-6.77044673049622,NDUFV2,-6.445376077940391
Q9NP72,RAB18,-3.95368634344316,RAB18,-3.9955563582999902,RAB18,-3.51454275372293
Q9H0E2,TOLLIP,-4.56461901052825,TOLLIP,-3.6999015942673297,TOLLIP,-3.14185108799745
Q8NFT8,DNER,-2.86126219105765,DNER,-2.50690295785718,DNER,-1.82297285592334
Q6IEE7,TMEM132E,-3.76723228656808,TMEM132E,-3.23240547513386,TMEM132E,-2.50249034323432
Q8NFZ8,CADM4,-3.9800603645251,CADM4,-2.80127745960848,CADM4,-2.39319432843084
O75164,KDM4A,-4.45191874876278,KDM4A,-3.18132057535326,KDM4A,-2.36632412177944
Q8IV32,CCDC71,-3.05036595413911,CCDC71,-2.74827555416246,CCDC71,-2.11358007263387
Q9P2S2,NRXN2,-4.30011529518349,NRXN2,-3.11256362745747,NRXN2,-3.04723977059307
Q9HCD6,TANC2,-3.66985867060623,TANC2,-3.34644138976165,TANC2,-3.3875743176491
Q96IG2,FBXL20,-4.9410566508773,FBXL20,-4.61792923064973,FBXL20,-4.3563804579087
Q8N2K0,ABHD12,-4.88458817480874,ABHD12,-4.3290789436284,ABHD12,-4.46606075891592
