PG.ProteinGroups,PG.Genes_x,Log2_x,PG.Genes_y,Log2_y
Q6L8Q7,PDE12,-7.745347965252391,PDE12,-5.87122129007568
O43252,PAPSS1,-4.47836101171647,PAPSS1,-3.48691380436715
Q01082,SPTBN1,-9.88100615430495,NA,NA
P61018,RAB4B,-4.18098883128501,NA,NA
P56211,ARPP19,-3.89086555981939,ARPP19,-3.94889975764644
Q9H3K2,GHITM,-7.11539980002297,GHITM,-5.89759857659487
O94985,CLSTN1,-3.016804203639,CLSTN1,-2.2690878347436
Q9Y3I1,FBXO7,-4.52770921760948,FBXO7,-3.30088980529687
Q9BZA7,PCDH11X,-6.1019647607339,NA,NA
P07858,CTSB,-5.777773671541,CTSB,-5.84601479055832
P38606,ATP6V1A,-5.47345009552308,ATP6V1A,-4.15226944189234
P42229,STAT5A,-2.66843905008759,NA,NA
O14775,GNB5,-5.44955884962777,GNB5,-4.42381421619702
Q9ULU8,CADPS,-7.837473751747139,CADPS,-7.424729923444151
Q9Y315,DERA,-6.9398034114116305,NA,NA
O96005,CLPTM1,-6.44299952264703,CLPTM1,-6.1201004789826
Q92945,KHSRP,-5.41818613386105,KHSRP,-5.14983852843276
Q8IUH5,ZDHHC17,-4.050795872323089,ZDHHC17,-3.19784045094476
O94898,LRIG2,-4.29331375845274,LRIG2,-3.8054738362134706
Q9UDT6,CLIP2,-11.5405321118241,NA,NA
P35716,SOX11,-2.35384845053935,SOX11,-1.6726395103622
Q9Y3C6,PPIL1,-7.33803742928647,PPIL1,-6.359504818459031
O75746,SLC25A12,-6.15333825588088,NA,NA
Q86XL3,ANKLE2,-4.5204061103133295,NA,NA
Q13895,BYSL,-3.7095821833848706,BYSL,-3.21724984192031
P26378,ELAVL4,-3.9405596958461,ELAVL4,-3.31315511309656
Q86Y79,PTRH1,-3.84061068847568,PTRH1,-3.43007070815612
Q96S55,WRNIP1,-4.342268518705009,WRNIP1,-4.22791170583356
Q9UQ35,SRRM2,-5.19395319312704,NA,NA
Q92879,CELF1,-5.24367492885378,CELF1,-3.7714791905739
Q92616,GCN1,-11.5826079841925,NA,NA
Q9ULH0,KIDINS220,-10.9834547696184,NA,NA
Q9Y2H5,PLEKHA6,-3.30129504228903,PLEKHA6,-2.63944855535777
Q9BRK4,LZTS2,-2.93814426653459,NA,NA
P48664,SLC1A6,-3.77971482695978,SLC1A6,-2.63306994170901
A1L0T0,ILVBL,-5.27673856236577,ILVBL,-4.46687338380027
Q6PI78,TMEM65,-5.6691405110753905,TMEM65,-5.469005517786591
O14525,ASTN1,-11.0679152615648,NA,NA
O94910,ADGRL1,-3.56837681724536,ADGRL1,-3.04211317858498
P50148,GNAQ,-5.76142500090012,GNAQ,-5.06500600976424
Q9UHV9,PFDN2,-6.90739857777782,PFDN2,-5.47803817807603
Q9GZM8,NDEL1,-4.02568826709338,NDEL1,-3.522440893852
P15822,HIVEP1,-1.55788505524806,NA,NA
Q9Y6D9,MAD1L1,-5.033619710068,MAD1L1,-2.96763018105365
Q14137,BOP 1.00,-10.1952028128035,NA,NA
Q9Y216,MTMR7,-3.6699001100918704,MTMR7,-3.52903776530629
Q13526,PIN1,-5.55168828842823,PIN1,-4.53598550519304
Q969G2,LHX4,-3.79759570451094,LHX4,-2.42689163955932
Q9NZV5,SELENON,-3.81165801109744,NA,NA
Q04637,EIF4G1,-9.486064699976,NA,NA
Q08174,PCDH1,-3.8211375366488096,PCDH1,-3.68736267203822
Q6VAB6,KSR2,-5.16776360606673,KSR2,-3.49891290809522
Q96GS4,BORCS6,-6.00370726609085,NA,NA
Q96DE0,NUDT16,-4.6380795234155,NUDT16,-4.19029009716192
Q5T3F8,TMEM63B,-4.30598248487376,TMEM63B,-3.22258895216404
Q9HCN4,GPN1,-6.27486967953687,GPN1,-5.76667905280968
Q9UI10,EIF2B4,-5.99497541940156,EIF2B4,-4.77771365197048
Q8N158,GPC2,-5.04649885548033,GPC2,-4.74286230224875
Q15262,PTPRK,-3.40782224680631,NA,NA
Q14728,MFSD10,-6.4199465709392305,MFSD10,-5.45973221317067
P57678,GEMIN4,-5.3863960148183,GEMIN4,-4.80927032449708
Q9P2G1,ANKIB1,-5.56055413146032,NA,NA
O00264,PGRMC1,-4.9016298595257295,NA,NA
Q6PID6,TTC33,-4.81585708727176,TTC33,-3.31293339926154
Q8IUL8,CILP2,-4.00266863763231,CILP2,-3.98297532972036
Q9P2R3,ANKFY1,-6.07001805488008,ANKFY1,-6.065701896347689
Q6YN16,HSDL2,1.16377684994617,NA,NA
O43301,HSPA12A,-9.092425585187529,HSPA12A,-9.55995447590599
P07741,APRT,-5.7402250933318,APRT,-5.544749827410911
P18669,PGAM1,-8.58644340960526,PGAM1,-8.56380782818097
P56159,GFRA1,-4.416199264861209,GFRA1,-3.19247702680048
Q9Y693,LHFPL6,-3.92590906383184,NA,NA
Q86UN3,RTN4RL2,-4.01911628597441,NA,NA
Q9H444,CHMP4B,-5.1118637416854895,CHMP4B,-5.6810519816297695
Q7L775,EPM2AIP1,-4.93482632779887,EPM2AIP1,-4.06495736913251
O75182,SIN3B,-4.07632588877697,SIN3B,-3.44876775330114
P68106,FKBP1B,-5.25595670575451,FKBP1B,-3.7982593867262495
O60422,ONECUT3,-1.73364241283635,NA,NA
O43639,NCK2,-3.90476616427368,NA,NA
Q53FT3,HIKESHI,-6.5122659572189,HIKESHI,-5.459535216028289
Q12926,ELAVL2,-4.48584036595878,ELAVL2,-3.58401669776316
Q06136,KDSR,-7.188366428813151,NA,NA
Q13838,DDX39B,-8.98036710578058,NA,NA
Q9UHR5,SAP30BP,-4.89833678863428,SAP30BP,-4.43504024330558
Q8IXK0,PHC2,-3.75231658973876,PHC2,-2.54129695066908
Q9BU61,NDUFAF3,-1.94832543872101,NA,NA
Q9BR01,SULT4A1,-0.647791227206761,NA,NA
Q15257,PTPA,-6.04782659842261,NA,NA
O00233,PSMD9,-5.73728431995725,PSMD9,-4.514737002996649
Q9ULK4,MED23,-5.48652233590244,NA,NA
Q96FT7,ASIC4,-5.90707644476375,NA,NA
O43602,DCX,-4.52286461299493,DCX,-3.8574991949397104
Q9BX66,SORBS1,-4.89040026180222,SORBS1,-3.8751435415580304
Q9P0J7,KCMF1,-4.4969952199192,KCMF1,-3.82432421269006
P52597,HNRNPF,-7.4370569549859695,NA,NA
Q5VTL8,PRPF38B,-4.987009164226831,PRPF38B,-4.0870627897463505
O95248,SBF1,-10.9703953270647,NA,NA
Q9P2G3,KLHL14,-4.74724641243638,NA,NA
O95336,PGLS,-6.2034444887731,PGLS,-5.4449737269594
O00451,GFRA2,-5.05976798066836,GFRA2,-3.30913493795352
A6NJT0,UNCX,-2.91011361863929,UNCX,-2.06762253663612
Q8NI37,PPTC7,-0.875292419168215,NA,NA
Q5K4L6,SLC27A3,-12.3452641321087,NA,NA
Q06587,RING1,-4.35602416123847,RING1,-3.87252285818652
O75038,PLCH2,-2.34947288974666,NA,NA
Q8TEW0,PARD3,-4.77803493264632,PARD3,-3.70988270262168
Q8IYB1,MB21D2,-5.0737061299924,MB21D2,-3.57489720350399
Q13596,SNX1,-5.71336202097337,NA,NA
Q16799,RTN1,-6.12258684480949,RTN1,-5.86095500535667
O14628,ZNF195,-3.42518359967006,ZNF195,-2.21964883317137
Q9ULU4,ZMYND8,-11.0911949960727,NA,NA
P24928,POLR2A,-9.95803644030129,NA,NA
Q9HBE1,PATZ1,-2.3264517034635,PATZ1,-1.72162074265625
O43929,ORC4,-2.89458162463875,ORC4,-2.31470671152226
Q9HCJ2,LRRC4C,-0.394979795928681,NA,NA
Q8N8L6,ARL 10.00,-3.78554907317046,NA,NA
Q9UQ03,CORO2B,-6.17176766820556,NA,NA
Q9P2N5,RBM27,-4.03152137147136,RBM27,-3.61211789662772
Q9H6J7,C11orf49,0.61572974474769,NA,NA
Q9NYQ7,CELSR3,-5.78818706330201,CELSR3,-4.33827035776386
Q13501,SQSTM1,-4.67124886301195,NA,NA
P12270,TPR,-11.9073042134104,NA,NA
Q9NZ53,PODXL2,-3.6504273854600706,NA,NA
P46379,BAG6,-4.41438677779324,BAG6,-3.8249555684487504
Q9H496,TOR1AIP2,-4.4699841100473,TOR1AIP2,-3.68240865501348
P02786,TFRC,-4.77445466910024,TFRC,-4.4351155398506
Q8WUU5,GATAD1,-4.37228202919685,GATAD1,-4.51273271944574
A1L020,MEX3A,-3.59996413093408,MEX3A,-3.11030686593541
Q9ULI4,KIF26A,-4.19559841312185,KIF26A,-2.81039123970275
Q9Y376,CAB39,-4.61481713282783,CAB39,-4.407678328349711
P24666,ACP1,-5.014367937448809,ACP1,-4.72775598343954
Q92558,WASF1,-6.1019353790553,WASF1,-4.33252564663966
Q9UP83,COG5,-7.17875371689548,NA,NA
Q9Y4F3,MARF1,-3.9655744203456,MARF1,-4.2243867067865
O94868,FCHSD2,-2.87211905610159,NA,NA
Q8WUN7,UBTD2,-2.26186829924748,NA,NA
Q16706,MAN2A1,-2.1302673458591,NA,NA
Q15126,PMVK,-5.397917297647671,PMVK,-4.6104678438666
Q16555,DPYSL2,-9.07169180008477,DPYSL2,-6.84837740438117
Q16718,NDUFA5,-4.09988303499179,NDUFA5,-3.67650696074184
Q9BRD0,BUD13,-3.6802795773652304,NA,NA
Q12797,ASPH,-2.04715978702211,ASPH,-3.29487291190286
Q86VW0,SESTD1,-3.8853281222235,SESTD1,-3.76157480736589
O94953,KDM4B,-3.90385997653696,KDM4B,-2.46491342589851
P36954,POLR2I,-5.109677925805,NA,NA
Q8NFP4,MDGA1,-6.3414220853709296,NA,NA
Q02127,DHODH,-12.5165547502613,NA,NA
O15173,PGRMC2,-5.20291454843528,PGRMC2,-3.9809109623029295
P08243,ASNS,-8.13446147966078,NA,NA
Q13569,TDG,-3.05544939525042,TDG,-2.88834468407785
Q9C0I3,CCSER1,-0.184042951435349,CCSER1,0.28222466337222
Q02543,RPL18A,-6.2691861527701,RPL18A,-5.3007381607053
Q9NRW7,VPS45,-4.63763407608256,VPS45,-4.34573806251605
P16298,PPP3CB,-5.7599785360165505,PPP3CB,-4.958976817348351
P18074,ERCC2,-4.54847182206714,NA,NA
Q96K37,SLC35E1,-4.756097359381569,SLC35E1,-4.018751210531249
Q8WYK1,CNTNAP5,-4.16642785788014,CNTNAP5,-3.43759695893676
Q13825,AUH,-4.751244207415169,NA,NA
Q86TN4,TRPT1,-11.7675365848312,NA,NA
Q6Y7W6,GIGYF2,-4.26804382572065,GIGYF2,-3.7257246384683
O15068,MCF2L,-4.5712108474654,NA,NA
P16949,STMN1,-6.3464869959022,STMN1,-6.078179615851351
Q15560,TCEA2,-1.60901720130601,TCEA2,-2.21273198888244
O15213,WDR46,-5.70582667822006,WDR46,-4.61744296165806
P31930,UQCRC1,-6.492744045564,UQCRC1,-5.6916213818263905
Q9Y496,KIF3A,-12.0947816152726,KIF3A,-10.8955553791771
Q8N1G4,LRRC47,-6.107842751028049,LRRC47,-4.92282917683293
P28799,GRN,-0.471139818454352,GRN,-0.396061779948635
O94952,FBXO21,-3.1225949369656,NA,NA
Q9UKE5,TNIK,-3.24939161585197,TNIK,-2.73842288766258
O75385,ULK1,-2.55944359202953,NA,NA
P25705,ATP5F1A,-7.29362044530272,NA,NA
Q5JU85,IQSEC2,-1.54428110844711,NA,NA
Q9NQG5,RPRD1B,-4.935023440281991,RPRD1B,-3.91459007755966
Q6ZN54,DEF8,-1.7161228026263,DEF8,-1.72966105690455
P36639,NUDT1,-11.2167272716989,NA,NA
Q99873,PRMT1,-6.67080495410953,NA,NA
P55011,SLC12A2,-4.11986484729148,SLC12A2,-3.23083612307926
