PG.ProteinGroups,PG.Genes,Log2
P61247,RPS3A,-6.1606930139779000
O43312,MTSS1,-4.2530188286586700
P62380,TBPL1,-3.6795681478907600
O15020,SPTBN2,-5.493214940520850
P14735,IDE,-3.7448688890918700
P47756,CAPZB,-4.4112911523957300
Q96B54,ZNF428,-2.582220536467310
Q96S90,LYSMD1,-3.4192081950781000
Q9UJ41,RABGEF1,-5.1383992719925900
Q86Y82,STX12,-3.12298593181687
Q8IWT6,LRRC8A,-4.1052078452508800
P48634,PRRC2A,-3.5327102480777500
Q5VTL8,PRPF38B,-4.0870627897463500
Q9Y3I1,FBXO7,-3.300889805296870
Q9P0J7,KCMF1,-3.8243242126900600
Q14318,FKBP8,-2.522598569825660
P51513,NOVA1,-5.5668814734238000
Q9BWM7,SFXN3,-4.4507676026651900
Q9ULJ7,ANKRD50,-3.994819650874440
Q86UU1,PHLDB1,-3.5917492027420200
O43924,PDE6D,-3.064363800519950
Q9Y6D9,MAD1L1,-2.967630181053650
Q96CX2,KCTD12,-2.927353581360000
Q06455,RUNX1T1,-1.301318312817170
Q75VX8,GAREM2,-4.4142933624879000
Q9HCG8,CWC22,-3.8377435742105800
Q24JP5,TMEM132A,-2.72627139394542
Q8NFZ8,CADM4,-2.801277459608480
Q9GZZ1,NAA50,-4.1779557477401300
O00571,DDX3X,-3.116632973944100
Q16718,NDUFA5,-3.6765069607418400
Q9H4M3,FBXO44,-3.3819355283814200
Q96ST3,SIN3A,-3.5755889839852800
O94813,SLIT2,-4.5938394233318500
Q7Z5G4,GOLGA7,-3.8068991334404500
Q53FT3,HIKESHI,-5.4595352160282900
Q12926,ELAVL2,-3.5840166977631600
Q9H8M5,CNNM2,-4.2053886404422000
Q5TGI0,FAXC,-3.8507375114815100
O15173,PGRMC2,-3.9809109623029300
P42892,ECE1,-2.749942983110790
Q92993,KAT5,-4.2295530013982600
Q07866,KLC1,-5.6407423823081100
Q9Y2H5,PLEKHA6,-2.639448555357770
Q8IXH7,NELFCD,-4.5541598223424400
O95297,MPZL1,-5.4958131801761400
Q9UHR5,SAP30BP,-4.4350402433055800
O15394,NCAM2,-2.914882614078980
Q9NQG5,RPRD1B,-3.9145900775596600
Q9HBE1,PATZ1,-1.721620742656250
Q9Y285,FARSA,-5.181241276853860
Q9Y3C6,PPIL1,-6.3595048184590300
O14730,RIOK3,-2.249055855916290
P13798,APEH,-4.3376129577856200
Q9BRJ7,NUDT16L1,-3.9900838711006800
O43292,GPAA1,-3.9705696751055000
Q8IWA4,MFN1,-3.6143730271631300
Q2TAL8,QRICH1,-2.217048204110020
Q76G19,PDZD4,-3.064915883289600
Q8NI27,THOC2,-4.4749767514463600
P35222,CTNNB1,-3.5526981345281300
Q9Y4C2,TCAF1,-2.339210997866630
P52292,KPNA2,-3.001697387038290
Q6P1R4,DUS1L,-3.308347810188150
P51116,FXR2,-3.180512570385720
