PG.ProteinGroups,PG.Genes,Log2
P78559,MAP1A,-5.2311685873065800
Q13526,PIN1,-4.5359855051930400
O43602,DCX,-3.8574991949397100
Q8IV08,PLD3,-3.255557948639130
Q7Z6M1,RABEPK,-4.2127899180229500
Q9NP72,RAB18,-3.9955563582999900
P35716,SOX11,-1.672639510362200
P63096,GNAI1,-4.0747750057501100
Q8NCB2,CAMKV,-4.181124517347740
O60828,PQBP1,-3.4757505852301400
Q12852,MAP3K12,-3.715856760369590
Q16827,PTPRO,-2.980864505482080
Q5JU69,TOR2A,-3.6024502953332600
O00273,DFFA,-4.8130349877748700
Q8IVU1,IGDCC3,-3.222958166852030
O94910,ADGRL1,-3.042113178584980
O94776,MTA2,-2.821575788384010
Q92879,CELF1,-3.7714791905739000
O75190,DNAJB6,-3.312028338796610
P22694,PRKACB,-3.9350616305084400
Q96SW2,CRBN,-3.553513129875530
Q8IV32,CCDC71,-2.748275554162460
A7MD48,SRRM4,-2.395281143872220
O60216,RAD21,-4.2026966303807500
Q13586,STIM1,-4.6614241632233100
Q8NFG4,FLCN,-2.472679880705300
Q969G2,LHX4,-2.426891639559320
O95336,PGLS,-5.4449737269594000
P54105,CLNS1A,-4.3361919156448300
O15379,HDAC3,-3.5330895961108200
Q9NWZ5,UCKL1,-3.9707045461772000
Q9GZL7,WDR12,0.63167614683566
Q9UL46,PSME2,-6.3715498543696200
Q13873,BMPR2,-3.5067348793547800
A6QL63,BTBD11,-1.735921462435460
Q08379,GOLGA2,-2.844149573174380
Q8IYB1,MB21D2,-3.5748972035039900
O43252,PAPSS1,-3.4869138043671500
Q8WYK1,CNTNAP5,-3.4375969589367600
Q08629,SPOCK1,-2.116303563032140
Q99856,ARID3A,-2.727346839915520
P55786,NPEPPS,-5.7826173718541300
P50148,GNAQ,-5.0650060097642400
Q8IU81,IRF2BP1,-3.3422133507020800
Q9BUZ4,TRAF4,-4.2201381491950900
O00255,MEN1,-4.5223750986051500
P68106,FKBP1B,-3.7982593867262500
Q9UI30,TRMT112,-4.0689068694375900
Q9NRN7,AASDHPPT,-3.222176426679180
Q9Y6M1,IGF2BP2,-5.2142574615346200
Q13569,TDG,-2.888344684077850
Q8N5A5,ZGPAT,-3.8266138425537600
O00560,SDCBP,-6.048501034995240
Q99848,EBNA1BP2,-4.6087641160994400
Q8N9I9,DTX3,-3.226268895409350
Q9P2N5,RBM27,-3.6121178966277200
Q12824,SMARCB1,-2.847212387906790
Q9UGH3,SLC23A2,-3.3996076968035500
P63010,AP2B1,-7.99654631521784000
O75489,NDUFS3,-5.7078525192883000
Q8TDN6,BRIX1,-3.245146964397850
Q9Y4F3,MARF1,-4.2243867067865000
Q9Y5V3,MAGED1,-2.128752657889340
Q5JSZ5,PRRC2B,-3.034554405167790
P22307,SCP2,-5.222701584313790
Q9H0E2,TOLLIP,-3.6999015942673300
Q92785,DPF2,-3.5552310974456700
P48729,CSNK1A1,-3.188872823701110
Q92609,TBC1D5,-2.989764207676400
Q96A35,MRPL24,-5.0852456305286800
Q92945,KHSRP,-5.1498385284327600
O15270,SPTLC2,-3.6206418239053400
Q68D91,MBLAC2,-4.6996242494933300
P16298,PPP3CB,-4.9589768173483500
Q9BX66,SORBS1,-3.8751435415580300
Q9NZ63,C9orf78,-3.4811240011484600
O60927,PPP1R11,-3.8271595699282500
Q15717,ELAVL1,-4.3856509056699100
Q96SU4,OSBPL9,-3.9096934688766000
P11413,G6PD,-4.8833495728537300
Q9NRW7,VPS45,-4.3457380625160500
O15213,WDR46,-4.6174429616580600
Q6UXD5,SEZ6L2,-1.682057122670230
O14775,GNB5,-4.4238142161970200
Q9P258,RCC2,-4.6648832107292800
Q6P1X6,C8orf82,-5.1084134592760800
Q9HCM3,KIAA1549,-2.900714309101260
P60510,PPP4C,-3.8928403555114200
Q9UI10,EIF2B4,-4.7777136519704800
Q9H1B7,IRF2BPL,-3.8636528047066200
Q9Y4G8,RAPGEF2,-3.4381123805731300
P78356,PIP4K2B,-4.6579909425141500
O94953,KDM4B,-2.464913425898510
P60880,SNAP25,-4.3965450770303500
Q5T3F8,TMEM63B,-3.222588952164040
P00367,GLUD1,-6.1183227238601700
Q9H5H4,ZNF768,-3.6680108172264700
Q9NYY8,FASTKD2,-4.4950059163878500
Q96GD3,SCMH1,-0.818558166316129
Q8NFT8,DNER,-2.506902957857180
Q9UMN6,KMT2B,-3.8284554460617600
P98175,RBM10,-4.0106965572154300
P17405,SMPD1,-4.9960074471470600
O75044,SRGAP2,-4.1272635347149700
Q86VW0,SESTD1,-3.761574807365890
P17612,PRKACA,-8.07762288556579000
Q5T7P8,SYT6,-4.044127282944920
Q9Y2I1,NISCH,-3.3713956765650200
Q8N5J2,MINDY1,-3.3779634351721000
Q6PID6,TTC33,-3.312933399261540
Q9ULI4,KIF26A,-2.810391239702750
Q14728,MFSD10,-5.4597322131706700
Q52WX2,SBK1,-3.7229557411210000
Q8N1G4,LRRC47,-4.9228291768329300
Q9BWF3,RBM4,-2.580547629265980
Q643R3,LPCAT4,-3.9802760068589200
P45954,ACADSB,-4.8006758048664300
P62937,PPIA,-5.4711241017166100
P26378,ELAVL4,-3.313155113096560
Q9UI36,DACH1,-2.517864105245850
Q9NVG8,TBC1D13,-3.828229080041430
Q96K37,SLC35E1,-4.0187512105312500
Q86UK7,ZNF598,-3.274859146062350
Q7Z5K2,WAPL,-3.146413363700300
A6NGN9,IGLON5,-3.8758491280928100
P23470,PTPRG,-3.6216477097250800
Q9H496,TOR1AIP2,-3.6824086550134800
O95721,SNAP29,-4.3735660597256000
P11117,ACP2,-6.0788889302315600
Q8NEZ5,FBXO22,-4.6756956596962800
P43034,PAFAH1B1,-9.82700362031144000
Q9UJC5,SH3BGRL2,-7.334212486499590
Q96PB7,OLFM3,-2.177556629925070
Q8IXK0,PHC2,-2.541296950669080
P18615,NELFE,-3.038607255572280
Q8N5H7,SH2D3C,-2.820692969539110
Q14BN4,SLMAP,-4.9781306927385300
Q96S59,RANBP9,-2.794690712272760
Q59EK9,RUNDC3A,-3.7281525427554400
P50607,TUB,-0.768409877838765
Q86WA8,LONP2,-4.7846135369831200
Q9UBU9,NXF1,-4.8748735563210400
Q5SQI0,ATAT1,-6.78492362098864000
P52701,MSH6,-10.76979401083880000
Q6NTF9,RHBDD2,-6.74299521625389000
O15260,SURF4,-6.422441420789510
P34931,HSPA1L,-5.0598346454130700
Q5VTB9,RNF220,-4.08370409961432
O60858,TRIM13,-2.625011179869140
Q92558,WASF1,-4.3325256466396600
O75376,NCOR1,-2.479776554519140
P26196,DDX6,-5.5201904797347200
P18669,PGAM1,-8.56380782818097000
Q96CU9,FOXRED1,-5.8774589532555800
Q9H6U8,ALG9,-4.6961921835225200
Q9BRX2,PELO,-3.4056819168899200
Q9Y5W9,SNX11,-6.5177028184792500
Q9Y496,KIF3A,-10.89555537917710000
Q9HBU6,ETNK1,-2.534412411066870
P46109,CRKL,-7.30490879781930000
O14828,SCAMP3,-3.3421942430203500
O00506,STK25,-4.6481216378307600
O14735,CDIPT,-4.9681960809128700
Q2TAY7,SMU1,-5.6455300186456200
Q9UPU3,SORCS3,-2.73984105874834
Q14CW9,ATXN7L3,-1.064672208005800
Q9H254,SPTBN4,-1.875567348223260
Q9GZM8,NDEL1,-3.5224408938520000
Q9BRL6,SRSF8,-4.6162494297545600
O95372,LYPLA2,-6.74830293042297000
Q86U90,YRDC,-6.0357811440422900
Q15788,NCOA1,-2.725154327961160
P49840,GSK3A,-4.3702666922178700
Q9HAT8,PELI2,-3.148361935812130
Q5M775,SPECC1,-4.9603907414941300
A1A5C7,SLC22A23,-6.68640444703857000
Q6DKJ4,NXN,-3.9672546549632400
Q9H1D9,POLR3F,-3.4310048293699600
Q9Y2U8,LEMD3,-1.894842722744760
O94856,NFASC,-4.3361647605433000
Q9H165,BCL11A,-3.067005919267070
Q12765,SCRN1,-4.775105869685420
P60763,RAC3,-4.5554390435230000
P48454,PPP3CC,-6.89725400750520000
Q86WR0,CCDC25,-4.7241508370889100
P13489,RNH1,-4.9746896288677100
P50579,METAP2,-4.9737501565748600
P57771,RGS8,-4.4161632420049300
Q9H1V8,SLC6A17,-2.150516409541690
Q969R2,OSBP2,-5.9462226247917200
Q9UBB4,ATXN10,-3.8199517569949300
O43310,CTIF,-2.883754140388500
O15400,STX7,-4.0024869386665900
Q14331,FRG1,-5.8198450185736900
P57678,GEMIN4,-4.8092703244970800
O43505,B4GAT1,-2.630879256083030
Q9HD20,ATP13A1,-4.8192841073525000
Q6IAA8,LAMTOR1,-4.5167672189624700
Q9H444,CHMP4B,-5.6810519816297700
Q8N9V3,WDSUB1,-2.833003277004870
Q7L3B6,CDC37L1,-0.274446070195646
Q96JQ0,DCHS1,-2.223098845524380
Q147X3,NAA30,-3.8075800515052200
O14782,KIF3C,-2.804094545278990
A1L0T0,ILVBL,-4.4668733838002700
Q8NC96,NECAP1,-7.28989442630669000
Q7Z7K6,CENPV,-6.0734258683514700
Q8IZD9,DOCK3,-5.4016623873165500
O00750,PIK3C2B,-4.5130192299989400
Q8IUH5,ZDHHC17,-3.197840450944760
Q8NFP9,NBEA,-4.4684338269105500
Q99497,PARK7,-6.2340211696286800
O43929,ORC4,-2.314706711522260
Q9BRQ0,PYGO2,-3.3845185147279800
P26358,DNMT1,-2.918618689260220
Q9HCD6,TANC2,-3.3464413897616500
Q8WWI5,SLC44A1,-4.8738988740357400
Q6Y7W6,GIGYF2,-3.7257246384683000
Q9NX40,OCIAD1,-3.9503726495798100
Q6N022,TENM4,-10.30691499662240000
Q8IWZ3,ANKHD1,-4.7349861103407100
Q9HCK5,AGO4,-4.0167635926376700
O00213,APBB1,-2.934912494178930
O14628,ZNF195,-2.219648833171370
P48664,SLC1A6,-2.633069941709010
O75182,SIN3B,-3.4487677533011400
Q96M27,PRRC1,-5.6949038047282300
Q674X7,KAZN,-4.1886287532266800
Q96JJ6,JPH4,-2.358469938453930
P61129,ZC3H6,-1.900323620394840
P78318,IGBP1,-3.5293507574200200
O94766,B3GAT3,-3.4765587763433000
Q8N1G1,REXO1,-3.8309460818606800
Q8TEW0,PARD3,-3.7098827026216800
Q16555,DPYSL2,-6.84837740438117000
P35790,CHKA,-3.6444657337297800
Q6ICG6,KIAA0930,-3.5840338537195300
Q9Y4D8,HECTD4,-9.90593141178195000
Q8NCA5,FAM98A,-5.1410057608628200
Q02543,RPL18A,-5.3007381607053000
P14373,TRIM27,-3.233601852521310
Q96IG2,FBXL20,-4.6179292306497300
A6NJT0,UNCX,-2.067622536636120
O43920,NDUFS5,-5.0096634343572800
Q8IUD2,ERC1,-7.47347701233614000
P49458,SRP9,-3.5914188361057800
P09012,SNRPA,-6.0820677016015100
Q9NP66,HMG20A,-1.950797695924760
Q02790,FKBP4,-6.1168320703200300
O95758,PTBP3,-3.5311822918494000
Q9BUN8,DERL1,-5.1732904056862400
Q08945,SSRP1,-7.74109110704162000
O75179,ANKRD17,-4.8382863792028600
Q96F63,CCDC97,-3.4305734620833900
Q14344,GNA13,-5.2141312094552000
Q96MY1,NOL4L,-2.130981298685130
Q7L523,RRAGA,-5.0968749283491600
P02786,TFRC,-4.4351155398506000
P56159,GFRA1,-3.192477026800480
P55795,HNRNPH2,-4.1079918867445000
O75164,KDM4A,-3.181320575353260
Q15771,RAB30,-3.276430029008140
Q9C0C2,TNKS1BP1,-4.3840287231924000
Q15393,SF3B3,-6.4088223317461200
Q8N9I0,SYT2,-2.487147796077310
O75396,SEC22B,-6.82117357519088000
P35813,PPM1A,-5.8020083154653500
Q9Y6I4,USP3,-4.4665277393997800
O96005,CLPTM1,-6.1201004789826000
O14979,HNRNPDL,-7.55409103394100000
Q9NRG7,SDR39U1,-5.6517175485847100
Q92845,KIFAP3,-2.837405011933510
Q6PI78,TMEM65,-5.4690055177865900
O00233,PSMD9,-4.5147370029966500
Q14686,NCOA6,-0.949214210900920
P30876,POLR2B,-4.019721649623040
O95402,MED26,-1.857033519412870
Q9UPP1,PHF8,-4.4839195201900000
Q6P1Q0,LETMD1,-5.6720595064653900
Q9H2V7,SPNS1,-3.819026670305900
O15399,GRIN2D,-1.335789202326130
P49327,FASN,-6.5661383452567600
P29372,MPG,-3.7974192148253700
Q9NV06,DCAF13,-2.860680564455430
P23443,RPS6KB1,-3.8235182045338600
P05060,CHGB,-2.460289041323030
Q15048,LRRC14,-4.151675025278250
P07437,TUBB,-8.50947005835130000
Q14669,TRIP12,-4.4600137964040300
Q2TBE0,CWF19L2,-3.414252525436890
Q8TEY7,USP33,-2.787485208606110
O15344,MID1,-5.9281056201586600
Q9NR46,SH3GLB2,-5.8351898095818900
Q8WUU5,GATAD1,-4.512732719445740
Q92841,DDX17,-5.6809393149918700
Q9UKE5,TNIK,-2.738422887662580
Q96N64,PWWP2A,-5.0721485740670400
Q5VWQ0,RSBN1,-3.269317743281680
Q9UKB1,FBXW11,-2.830152212535110
Q86Y79,PTRH1,-3.4300707081561200
Q96BY9,SARAF,-1.100781722456310
P55011,SLC12A2,-3.230836123079260
Q08174,PCDH1,-3.687362672038220
O94805,ACTL6B,-4.7527056823839400
Q8N6N2,TTC9B,-3.5067846924238400
O95782,AP2A1,-8.1683377019237700
Q9BYV9,BACH2,-3.081464572186130
Q9C0D0,PHACTR1,-5.7554948154073100
P61006,RAB8A,-4.1397200312186400
Q96C86,DCPS,-9.50759584961101000
Q9P291,ARMCX1,-2.281498336245170
Q9UHG3,PCYOX1,-6.1877149399406800
Q5VUA4,ZNF318,-3.140451670268970
O00451,GFRA2,-3.309134937953520
Q9HCM2,PLXNA4,-11.41638759024010000
Q6IEE7,TMEM132E,-3.232405475133860
Q9C0I3,CCSER1,0.28222466337222
P48449,LSS,-5.4556096189258700
Q684P5,RAP1GAP2,-4.4118765838313400
Q14671,PUM1,-3.9300895346989700
P51149,RAB7A,-7.15336529693516000
P0CK96,SLC35E2B,-0.648670543643107
O00743,PPP6C,-3.6224359586290400
P30040,ERP29,-4.9401489525796200
Q92520,FAM3C,-2.956223416436990
Q8NB37,GATD1,-3.024095613429870
Q96DE0,NUDT16,-4.1902900971619200
Q10469,MGAT2,-1.926414571291030
Q9H857,NT5DC2,-4.1981734711666600
Q1L5Z9,LONRF2,-3.7134741853450700
P24666,ACP1,-4.7277559834395400
Q9BSV6,TSEN34,-2.143895393018380
Q9NSI2,FAM207A,-3.23020879291952
Q9NWU5,MRPL22,-6.85977857813924000
Q9UKR5,ERG28,-4.7853590452143400
Q9UGL1,KDM5B,-2.757245798407490
Q92529,SHC3,-3.254980354277520
Q9H8M7,MINDY3,-4.0684081240023700
P18433,PTPRA,-3.111342156201310
P53677,AP3M2,-4.3391265826854600
Q13310,PABPC4,-8.56603114360010000
Q96RE7,NACC1,-3.9494794463552600
Q9BZM4,ULBP3,-3.7859925767367700
Q9Y5B8,NME7,-4.7190458369537700
Q9Y4F5,CEP170B,-2.637340186548090
Q96C03,MIEF2,-2.749860266699910
Q5T5Y3,CAMSAP1,-3.940873998361930
P46926,GNPDA1,-5.9219807819464600
Q9NZI8,IGF2BP1,-10.48410305170420000
Q969T9,WBP2,-7.57692073007091000
Q9H4L4,SENP3,-3.522450828424510
Q9Y4X5,ARIH1,-3.5516724558874400
Q9NYB0,TERF2IP,-5.1525882711069000
Q14108,SCARB2,-5.1048652003263400
P46821,MAP1B,-8.87819291516144000
P37235,HPCAL1,-4.3746152860568000
Q92805,GOLGA1,-2.233350400948640
Q15858,SCN9A,-3.9561801513671200
Q7Z4K8,TRIM46,-4.6259459671848100
Q9Y580,RBM7,-3.9122813872762600
Q9H3R0,KDM4C,-2.590392295751820
Q96T58,SPEN,-3.4498720288217300
Q8NF37,LPCAT1,-4.9032758344776700
Q96FE5,LINGO1,-4.5125783878271700
Q92759,GTF2H4,-6.1719296514992000
Q9UBI9,HECA,-4.5442835664184100
P36873,PPP1CC,-4.1716963871818600
Q9UHV9,PFDN2,-5.4780381780760300
Q9ULJ6,ZMIZ1,-2.586071923665400
O14682,ENC1,-4.3225879551234700
P10645,CHGA,-5.2148767101384000
Q9P1Z2,CALCOCO1,-4.1638974347629700
A6NNY8,USP27X,-4.2487023776983700
Q8IW70,TMEM151B,-4.1980612732887500
Q53EL6,PDCD4,-4.9569512398885200
O95405,ZFYVE9,-3.065814600278560
Q14202,ZMYM3,-4.0144492796880300
Q14847,LASP1,-10.66139909757200000
Q9BTU6,PI4K2A,-5.4017996608838500
Q15386,UBE3C,-4.7923495879983200
O00203,AP3B1,-4.6648390106839600
Q719H9,KCTD1,-2.332417025585240
Q9Y2S7,POLDIP2,-4.0664804291231200
Q8IUZ0,LRRC49,-4.164984012221040
Q13315,ATM,-11.36352604293000000
A5PKW4,PSD,-1.685379042588270
Q9Y376,CAB39,-4.4076783283497100
P28799,GRN,-0.396061779948635
O15042,U2SURP,-3.9784450337049000
Q9BRJ6,C7orf50,-5.9615696291025400
Q96LT9,RNPC3,-4.869240945980710
Q9H3K2,GHITM,-5.8975985765948700
Q6PIJ6,FBXO38,-3.6194911619236600
Q8TAE8,GADD45GIP1,-4.8824764044068500
O60347,TBC1D12,-0.607283604885891
Q8WXG6,MADD,-12.05718889307160000
Q9GZN1,ACTR6,-3.111060145280840
Q9NRF8,CTPS2,-5.3012304650479600
Q9Y2B0,CNPY2,-4.874247723994080
Q9NR31,SAR1A,-2.961602110363040
Q96P16,RPRD1A,-3.044694849570850
Q9NYQ7,CELSR3,-4.3382703577638600
Q9BWU0,SLC4A1AP,-3.5402164782450500
O75390,CS,-7.69543393592335000
Q9Y2Q5,LAMTOR2,-3.892521890864160
Q8N158,GPC2,-4.7428623022487500
Q8NAF0,ZNF579,-5.3847279054767100
Q16799,RTN1,-5.8609550053566700
Q9UEU0,VTI1B,-11.27185349897180000
Q00839,HNRNPU,-9.36930667873975000
P38646,HSPA9,-8.57898175565948000
Q7Z5J4,RAI1,-4.9415608668335000
Q9H3P2,NELFA,-3.9887175292547500
Q9Y4C5,CHST2,-9.80957941611351000
Q13425,SNTB2,-6.6124332832585900
O94812,BAIAP3,-2.889578405310800
Q6UWE0,LRSAM1,-10.3817146486886000
Q9HAR2,ADGRL3,-3.5720619713623800
Q10471,GALNT2,-3.353152385043160
Q9UM19,HPCAL4,0.89288460909106
P51812,RPS6KA3,-3.5152619845152500
P07949,RET,-3.6839586734264900
Q9Y5I4,PCDHAC2,-3.3336949725437900
P37837,TALDO1,-9.23731250663246000
P61962,DCAF7,-5.629283174976080
Q0VG06,FAAP100,-4.357124821442420
Q86XP3,DDX42,-3.938276952033390
A6NHL2,TUBAL3,-5.3298084830217700
Q9P107,GMIP,-3.9352172426804600
Q9NUJ3,TCP11L1,-4.0994364038714300
Q9NZN8,CNOT2,-4.1884948500512200
O14497,ARID1A,-4.992760122559420
Q58EX2,SDK2,-5.499089770145590
Q9HA65,TBC1D17,-4.7471559436880500
P22304,IDS,-4.8477698676216300
P56945,BCAR1,-2.651255207238720
O95071,UBR5,-4.0843982174725000
Q9NPH2,ISYNA1,-4.279436939099270
Q6ZSY5,PPP1R3F,-4.8109548167154600
Q9Y216,MTMR7,-3.5290377653062900
O95989,NUDT3,-4.7712579626467000
P35052,GPC1,-4.9565621635683200
Q9UN75,PCDHA12,-3.4037623792204100
Q5VU43,PDE4DIP,-5.75523520777835
Q9Y2H9,MAST1,-10.03469310579510000
Q8N2K0,ABHD12,-4.3290789436284000
Q96FW1,OTUB1,-6.6289367683117600
P78509,RELN,-4.1323404867251200
Q14964,RAB39A,-3.3921740950394300
P07741,APRT,-5.5447498274109100
O95996,APC2,-3.302094942203370
Q9Y5L0,TNPO3,-7.44643706594061000
Q13895,BYSL,-3.217249841920310
Q96PE2,ARHGEF17,-3.188065554755260
O14733,MAP2K7,-2.160415360652310
Q6ZTW0,TPGS1,-3.7363852013760000
Q6ZT07,TBC1D9,-2.449300343067180
P51665,PSMD7,-11.50863535687370000
Q9Y6K1,DNMT3A,-6.66411537638957000
P16949,STMN1,-6.0781796158513500
Q9BQG0,MYBBP1A,-8.85889032636519000
Q70CQ3,USP30,-11.00445127677100000
O15126,SCAMP1,-4.7281155820962400
Q6PCB5,RSBN1L,-4.1892316286524000
P15586,GNS,-4.9689841590387000
A1L020,MEX3A,-3.110306865935410
P22314,UBA1,-7.95836796566778000
O43173,ST8SIA3,-3.5427048831149500
P38606,ATP6V1A,-4.1522694418923400
Q9P2K6,KLHL42,-4.4745280180363600
Q8N1I0,DOCK4,-11.86442916023450000
P61160,ACTR2,-6.375433945936510
Q9NUM4,TMEM106B,-2.545614372401860
Q92604,LPGAT1,-4.9516390807951400
Q8TAD8,SNIP1,-3.666861019097960
Q9ULU8,CADPS,-7.42472992344415000
Q6ZN54,DEF8,-1.729661056904550
O75427,LRCH4,-4.1963482711058200
Q93050,ATP6V0A1,-5.1679756357740700
O75093,SLIT1,-2.606759675253430
P12955,PEPD,-4.5278219098175100
Q99447,PCYT2,-3.6760606760928700
Q3KQU3,MAP7D1,-10.092848215116800
Q9Y2X7,GIT1,-4.9399095766800600
P50542,PEX5,-4.3829685940319600
O95376,ARIH2,-4.2262978776144800
P52429,DGKE,-5.2729458689318600
Q75T13,PGAP1,-5.9506831242421800
P06576,ATP5F1B,-6.1703501760173900
Q9NVT9,ARMC1,-5.386441153760360
Q8N9T8,KRI1,-5.4676078002785400
O60716,CTNND1,-4.2716870481587300
Q9BRK5,SDF4,-9.11750462494114000
Q15067,ACOX1,-5.008646401429280
Q96AY4,TTC28,-11.41433754127990000
Q06210,GFPT1,-3.227731009053320
O14522,PTPRT,-3.3421126441117000
O94985,CLSTN1,-2.269087834743600
Q8N8R5,C2orf69,-5.2851663196138100
Q15819,UBE2V2,-5.0304555581236400
Q9P2R3,ANKFY1,-6.0657018963476900
O95394,PGM3,-4.1994590511182300
Q3YEC7,RABL6,-6.1032723352208600
Q9BWD1,ACAT2,-7.25615444681413000
Q9BXJ3,C1QTNF4,-3.161262980770840
O15498,YKT6,-5.2782121804990200
Q9BXB4,OSBPL11,-4.1362587939476700
P48426,PIP4K2A,-4.6044120361925100
Q96FK6,WDR89,-5.5732727134007200
Q9H2Y7,ZNF106,0.28968884462469
Q6SZW1,SARM1,-6.2743898818522900
O75592,MYCBP2,-5.3920199453874000
P49902,NT5C2,-7.52064068202896000
Q00610,CLTC,-10.06480117018870000
Q8N9F7,GDPD1,-11.70523286642970000
Q6VAB6,KSR2,-3.4989129080952200
Q9HCM7,FBRSL1,-3.8603670698210300
P07384,CAPN1,-10.91640196444950000
P61019,RAB2A,-8.08166131663487000
Q9UQB3,CTNND2,-3.961247022291940
C9J069,AJM1,-2.689468908460190
P11137,MAP2,-9.73649161926842000
P61086,UBE2K,-4.242458153802060
Q9HCN4,GPN1,-5.7666790528096800
Q12972,PPP1R8,-4.1764382968462900
Q9Y4K4,MAP4K5,-4.2859526756620600
P20337,RAB3B,-6.93100004291868000
Q9P0I2,EMC3,-4.3019473873095600
P05067,APP,-11.67307226196360000
Q7L775,EPM2AIP1,-4.064957369132510
Q8WXF1,PSPC1,-5.6681530140568000
P21579,SYT1,-4.9316328763051900
Q6ZW49,PAXIP1,-2.910791144993240
O60231,DHX16,-4.4131566533328000
O60503,ADCY9,-4.9136215905295400
Q8NEY1,NAV1,-4.9130861610094300
Q155Q3,DIXDC1,-1.380832507376810
Q15126,PMVK,-4.6104678438666000
Q06587,RING1,-3.8725228581865200
Q96PQ0,SORCS2,-11.65335485674310000
Q9NRL3,STRN4,-4.2410589286712800
Q8WVM0,TFB1M,-2.56973599460826
P62829,RPL23,-2.402489931710320
Q96KA5,CLPTM1L,-4.9335121864904200
P35249,RFC4,-1.303246672544650
Q9H9T3,ELP3,-4.8616750922894800
Q96EC8,YIPF6,-1.366329649617400
Q8WUA2,PPIL4,-3.4389014744551800
P98170,XIAP,-3.3822365500907700
Q15208,STK38,-3.8718925483086700
Q15102,PAFAH1B3,-6.3027700007683700
Q2V2M9,FHOD3,-2.356671645714230
P23193,TCEA1,-3.316845010552680
Q8WU20,FRS2,-11.00576326455640000
Q9C0J8,WDR33,-3.569458506289510
Q9Y4H2,IRS2,-2.685659106976980
Q8N568,DCLK2,-4.8655122148728700
Q6NUM9,RETSAT,-3.7140411734046300
Q8WX77,IGFBPL1,-3.923664888750200
Q96S55,WRNIP1,-4.2279117058335600
Q658Y4,FAM91A1,-4.9742121263279900
O95182,NDUFA7,-7.8237946692955700
P30044,PRDX5,-12.15176827168400000
Q92953,KCNB2,-3.6735572288212600
O95155,UBE4B,-4.4343669902760900
Q9BVL2,NUP58,-6.92584942945491000
Q9BXQ6,TMEM121B,-3.5975825475109700
P07858,CTSB,-5.8460147905583200
Q15560,TCEA2,-2.212731988882440
Q9P265,DIP2B,-6.0993657963347400
P19086,GNAZ,-5.5492754192495300
Q9Y5Z7,HCFC2,-2.545464353026960
Q12931,TRAP1,-8.25342971555813000
