PG.ProteinGroups,P150
Q6NTF9,-6.74299521625389
O15260,-6.42244142078951
P34931,-5.05983464541307
Q5VTB9,-4.08370409961432
O60858,-2.62501117986914
Q92558,-4.33252564663966
O75376,-2.47977655451914
P26196,-5.52019047973472
P18669,-8.56380782818097
Q96CU9,-5.87745895325558
Q9H6U8,-4.69619218352252
Q9BRX2,-3.40568191688992
Q9Y5W9,-6.51770281847925
Q9HBU6,-2.53441241106687
P46109,-7.3049087978193
O14828,-3.34219424302035
O00506,-4.64812163783076
O14735,-4.96819608091287
Q2TAY7,-5.64553001864562
Q9UPU3,-2.73984105874834
Q14CW9,-1.0646722080058
Q9H254,-1.87556734822326
Q9GZM8,-3.522440893852
Q9BRL6,-4.61624942975456
O95372,-6.74830293042297
Q86U90,-6.03578114404229
Q15788,-2.72515432796116
P49840,-4.37026669221787
Q9HAT8,-3.14836193581213
Q5M775,-4.96039074149413
A1A5C7,-6.68640444703857
Q6DKJ4,-3.96725465496324
Q9H1D9,-3.43100482936996
Q9Y2U8,-1.89484272274476
O94856,-4.3361647605433
Q9H165,-3.06700591926707
Q12765,-4.77510586968542
P60763,-4.555439043523
P48454,-6.8972540075052
Q86WR0,-4.72415083708891
P13489,-4.97468962886771
P50579,-4.97375015657486
P57771,-4.41616324200493
Q9H1V8,-2.15051640954169
Q969R2,-5.94622262479172
Q9UBB4,-3.81995175699493
O43310,-2.8837541403885
O15400,-4.00248693866659
Q14331,-5.81984501857369
P57678,-4.80927032449708
O43505,-2.63087925608303
Q9HD20,-4.8192841073525
Q6IAA8,-4.51676721896247
Q9H444,-5.68105198162977
Q8N9V3,-2.83300327700487
Q7L3B6,-0.274446070195646
Q96JQ0,-2.22309884552438
Q147X3,-3.80758005150522
O14782,-2.80409454527899
A1L0T0,-4.46687338380027
Q8NC96,-7.28989442630669
Q7Z7K6,-6.07342586835147
Q8IZD9,-5.40166238731655
O00750,-4.51301922999894
Q8IUH5,-3.19784045094476
Q8NFP9,-4.46843382691055
Q99497,-6.23402116962868
O43929,-2.31470671152226
Q9BRQ0,-3.38451851472798
P26358,-2.91861868926022
Q9HCD6,-3.34644138976165
Q8WWI5,-4.87389887403574
Q6Y7W6,-3.7257246384683
Q9NX40,-3.95037264957981
Q8IWZ3,-4.73498611034071
Q9HCK5,-4.01676359263768
O00213,-2.93491249417893
O14628,-2.21964883317137
P48664,-2.63306994170901
O75182,-3.44876775330114
Q96M27,-5.69490380472823
Q674X7,-4.18862875322668
Q96JJ6,-2.35846993845393
P61129,-1.90032362039484
Q8WTW4,-10.7665533961114
P78318,-3.52935075742002
O94766,-3.4765587763433
Q8N1G1,-3.83094608186068
Q8TEW0,-3.70988270262168
Q16555,-6.84837740438117
P35790,-3.64446573372978
Q6ICG6,-3.58403385371953
Q8NCA5,-5.14100576086282
Q02543,-5.3007381607053
P14373,-3.23360185252131
Q96IG2,-4.61792923064973
A6NJT0,-2.06762253663612
O43920,-5.00966343435728
Q8IUD2,-7.47347701233614
P49458,-3.59141883610578
P09012,-6.08206770160151
Q9NP66,-1.95079769592476
Q9Y5F7,-2.86427557304909
Q02790,-6.11683207032003
O95758,-3.5311822918494
Q9BUN8,-5.17329040568624
Q08945,-7.74109110704162
O75179,-4.83828637920286
Q96F63,-3.43057346208339
Q14344,-5.2141312094552
Q96MY1,-2.13098129868513
Q7L523,-5.09687492834916
P02786,-4.4351155398506
P56159,-3.19247702680048
P55795,-4.1079918867445
O75164,-3.18132057535326
Q96DM3,-2.23417883870932
Q15771,-3.27643002900814
Q9C0C2,-4.3840287231924
Q15393,-6.40882233174611
Q8N9I0,-2.48714779607731
O75396,-6.82117357519088
P35813,-5.80200831546535
Q9Y6I4,-4.46652773939978
O96005,-6.12010047898259
O14979,-7.554091033941
Q9C0D9,-23.2534966642115
Q9NRG7,-5.65171754858471
Q92845,-2.83740501193351
Q6PI78,-5.46900551778659
O00233,-4.51473700299665
Q14686,-0.94921421090092
P30876,-4.01972164962304
O95402,-1.85703351941287
Q9UPP1,-4.48391952019
Q6P1Q0,-5.67205950646539
Q9H2V7,-3.8190266703059
O15399,-1.33578920232613
P49736,-10.3971532570627
P49327,-6.56613834525676
P29372,-3.79741921482537
Q9NV06,-2.86068056445543
P23443,-3.82351820453386
P05060,-2.46028904132303
Q15048,-4.15167502527825
P07437,-8.5094700583513
Q14669,-4.46001379640403
Q2TBE0,-3.41425252543689
Q8TEY7,-2.78748520860611
