PG.ProteinGroups,P0,P50
Q9GZM8,-15.5977393200294,-4.02568826709338
P15822,-8.72078533628699,-1.55788505524806
Q9Y6D9,-23.2534966642115,-5.033619710068
Q9Y216,-6.45677867234413,-3.66990011009187
Q13526,-23.2534966642115,-5.55168828842823
Q969G2,-23.2534966642115,-3.79759570451094
Q9NZV5,-5.61188975499058,-3.81165801109744
Q08174,-8.33908755481884,-3.82113753664881
Q6VAB6,-12.6990528282375,-5.16776360606673
Q96GS4,-23.2534966642115,-6.00370726609085
Q96DE0,-23.2534966642115,-4.6380795234155
Q5T3F8,-7.42439279727096,-4.30598248487376
Q9HCN4,-23.2534966642115,-6.27486967953686
Q9UI10,-23.2534966642115,-5.99497541940156
Q8N158,-15.1986326513807,-5.04649885548033
Q15262,-14.4757571748939,-3.40782224680631
Q5T7V8,-0.228668366729349,-12.112191604086
Q14728,-13.8902484711919,-6.41994657093923
P57678,-8.70826454090563,-5.3863960148183
Q9P2G1,-16.831365896739,-5.56055413146032
O00264,-11.718601668043,-4.90162985952573
Q6PID6,-23.2534966642115,-4.81585708727176
Q8IUL8,-13.9583203730662,-4.00266863763231
Q9P2R3,-12.991118031532,-6.07001805488008
Q6YN16,-23.2534966642115,1.16377684994617
P07741,-23.2534966642115,-5.7402250933318
P18669,-9.79785363128041,-8.58644340960526
P56159,-11.5268123559461,-4.41619926486121
Q9Y693,-17.5050213734882,-3.92590906383184
Q14651,-1.62748473687465,-3.40880596999987
Q86UN3,-13.0788927631817,-4.01911628597441
Q9H444,-8.61796948473587,-5.11186374168549
Q7L775,-23.2534966642115,-4.93482632779887
O75182,-23.2534966642115,-4.07632588877697
Q9H307,-5.9804185186122,-10.0002120582844
P68106,-23.2534966642115,-5.25595670575451
O60422,-2.98131746299679,-1.73364241283635
O43639,-11.0206051966999,-3.90476616427368
Q53FT3,-14.8499207341885,-6.5122659572189
P48051,-1.99273052876716,-8.90300870787839
Q12926,-23.2534966642115,-4.48584036595878
Q06136,-12.0249933357581,-7.18836642881315
Q13838,-17.9203388847484,-8.98036710578058
Q9UHR5,-23.2534966642115,-4.89833678863428
Q8IXK0,-7.03115180751436,-3.75231658973876
Q9BU61,-13.5787063630512,-1.94832543872101
Q9BR01,-2.10937247031474,-0.647791227206761
Q15257,-10.7878645607157,-6.04782659842261
O00233,-23.2534966642115,-5.73728431995725
Q9ULK4,-14.8913467461032,-5.48652233590244
Q96FT7,-23.2534966642115,-5.90707644476375
O43602,-13.2420722426098,-4.52286461299493
Q9BX66,-17.0161888640767,-4.89040026180222
Q9P0J7,-12.1200779842323,-4.4969952199192
P52597,-13.5229962002763,-7.43705695498597
Q5VTL8,-23.2534966642115,-4.98700916422683
Q9P2G3,-12.0469207717302,-4.74724641243638
O95336,-23.2534966642115,-6.2034444887731
O00451,-23.2534966642115,-5.05976798066836
A6NJT0,-10.1385414993141,-2.91011361863929
Q9C0D9,-5.20791483031762,-19.3755035324385
Q8NI37,-5.55491101059711,-0.875292419168215
Q06587,-23.2534966642115,-4.35602416123847
O75038,-3.91508988247117,-2.34947288974666
Q8TEW0,-16.4206249554652,-4.77803493264632
Q8IYB1,-15.4308674845034,-5.0737061299924
Q08554,-0.155437828117824,-23.2534966642115
Q13596,-11.4561697307355,-5.71336202097337
Q16799,-15.1141157012971,-6.12258684480949
O14628,-4.31383618184235,-3.42518359967006
