PG.ProteinGroups,P300_24
Q86VS8,-6.19862803786662
Q9Y6I4,-5.31418571614565
O75190,-3.04386457932681
Q9H4L4,-4.01299562625228
Q9HCD6,-3.62259038239478
Q9P2N5,-3.85378923975554
Q9Y2G5,-2.0010383194025
Q7L523,-4.85180843613063
Q7Z460,-7.58292715079555
Q5VSG8,-2.54007912235762
O43310,-2.91954714360581
O94953,-3.08305195988377
Q8IYB1,-5.4104891546702
O43252,-4.10953119307238
A2RRP1,-6.10210614861077
P23743,-3.46722533420768
Q9UI08,-4.15911379395404
Q96S55,-3.44180392144794
O95983,-4.94454771623194
A7MD48,-2.21653973705951
P09471,-6.21837391273728
Q9NP72,-4.36206240981256
P0CK96,-0.309252729188468
Q9H6T3,-3.29328254575207
Q8NEY1,-3.89310343032621
Q86V59,-1.35060328429379
Q9BSV6,-2.2449015452771
P18669,-8.75995498503047
Q86Y82,-3.73459153153741
Q8WZA1,-1.77828653487961
P51784,-3.27102350992238
P25705,-5.87550430013639
Q9Y5V3,-2.5046803241614
Q5VTL8,-4.63502566252062
O15270,-4.42768480124437
Q9H1B7,-3.8424956652682
Q10471,-2.93284382457272
O43312,-3.75693023180477
Q8IZD9,-6.90809972162076
P60510,-4.39035633097716
Q5VWQ0,-3.57811153569635
Q9P0K1,-5.98366409792107
O75376,-1.99903783273083
Q14202,-3.92402496744576
Q9Y2B0,-6.39265031294584
O14522,-3.06425846414873
P48634,-4.51617500630146
Q9NZ94,-4.08641707679915
O43913,-3.38470038226095
Q9UH73,-1.84414898659278
P56211,-3.8690570364615
O15550,-1.32309662612366
O94898,-2.72926008747472
Q9Y580,-4.05603588826331
P68106,-4.26753569399625
Q15067,-5.36172294803278
Q8WTW4,-3.36405310017086
A1L020,-3.98361234265497
P98175,-4.33444833732742
P10586,-2.62303418436919
Q9ULI0,-6.23715564622417
Q9NRW7,-4.87723059592983
Q8N2K0,-4.68402570022336
Q9BWF3,-2.6324509948745
P15260,-3.62434572267656
Q9Y547,-3.50032345663447
Q75T13,-5.33700159477694
O95864,-3.08044020914708
Q9C0C4,-4.49823428091913
P61247,-6.8799318328751
Q8NFG4,-3.34779243239219
O94991,-3.97683824483961
Q9NR46,-6.77616640863266
Q8IUR7,-5.00785197912455
Q96FJ0,-4.51032208169554
O94829,-3.51418533654293
Q9H2X9,-3.06637254050691
Q9BWM7,-4.80949403845504
Q9BQI5,-4.68046865995515
Q9UBB4,-3.91563456340939
Q96ST3,-4.86932281693394
Q96MZ0,-5.58046961586915
Q5T7P8,-3.19402619267515
O95573,-6.37109940926004
Q9Y4W2,-23.2534966642115
O00264,-5.10067792161206
Q8NEY8,-4.44199677365174
Q9UQF2,-2.82895376785406
Q9NZ53,-3.91857935765272
Q96FV2,-2.71017169263824
O95297,-5.5845349892316
