PG.ProteinGroups,P300
P60660,-4.12928073448969
Q9NYQ7,-3.8072948418081
O00192,-3.86120764871607
Q9UMN6,-3.33428549870124
Q6PIJ6,-2.01702959213472
Q08174,-2.51465720665811
Q9HA65,-4.23154863467635
Q06587,-2.60143067216758
A7MD48,-1.91165683106064
Q9H4L4,-3.51609288404004
Q86VP1,-2.54607969548414
P04035,-3.56073413552169
Q96SU4,-3.67904998159145
O94910,-2.46401984038758
P13798,-4.77458196683415
Q86Y79,-3.64809921759743
Q96RD6,-4.0556236068979
P35222,-3.06299823801081
Q9NYY8,-3.63542619141483
Q9BRJ7,-3.68764597542275
Q6ZTW0,-3.58375157849437
Q15018,-4.96296745191479
P19086,-4.69033935770606
Q92734,-3.28587319392564
P85037,-2.7895039376777
Q92604,-4.01872652975456
Q8IWZ3,-4.28349693534945
Q86U90,-4.67072483379993
Q6L8Q7,-6.10546804510078
Q6T4R5,-23.2534966642115
Q9H9T3,-3.40843779637856
Q96B54,-2.06089103131492
Q15061,-5.30950433166026
Q8WTW4,-2.71273868640413
Q13485,-3.49733883373337
O14924,-4.32332776047823
O95336,-5.00668411210642
P56159,-2.38290242275735
P61225,-7.97258732813509
O43296,-1.81713084225762
Q14318,-1.94717957854719
Q15126,-4.40523033327851
O75792,-0.579069687903228
Q86UU1,-3.45279189640152
Q8WX77,-3.89761479563753
P50542,-3.61835188535756
Q29RF7,-3.21868912618136
P04156,-3.50548472374613
Q96DF8,-2.4708587670285
Q05048,-3.82784813359889
O75164,-2.36632412177944
Q92747,-7.1146018133734
O95155,-3.12820173104432
O95801,-2.56528013756666
Q02543,-5.16504355842831
P19838,-3.83279614471818
Q9Y512,-5.28105353114834
Q96S55,-2.60995257464251
Q96SB4,-3.08301742717709
Q8WYK1,-2.24155677059103
Q86XX4,-2.55069507708199
Q01538,-3.1426587910529
Q9BQ52,-5.90227470685408
Q5T5Y3,-3.49163854021262
Q9UBB9,-3.85357428283115
Q96FJ0,-3.12432598037711
Q9GZY8,-3.8036802009538
Q92979,-4.73662605759156
Q9P291,-3.03779243472694
Q13895,-3.06634242900308
Q9Y2Q5,-4.39236770929208
Q99459,-6.974947679446
P09651,-7.13319647863178
Q9ULB1,-3.47902120417228
O94805,-5.33027636812249
Q8N9I9,-2.54050586322741
O94953,-2.19299049651482
O94898,-2.38605070636536
O95271,-3.79144542050667
Q6P1X6,-4.47094254700573
P78509,-2.61233823715614
Q12926,-3.07384626567272
Q9Y5V3,-1.58445536856968
Q9Y5B8,-3.29492349179611
O60716,-3.81127190148217
P30153,-6.88846167626141
Q9UPU7,-3.16973351219894
Q8N5C8,-3.07797575677705
Q9H1D9,-3.83040864923377
Q9BRQ0,-2.63520480851691
O00233,-3.76828563464965
Q5SQI0,-5.87110822968472
Q9ULU8,-6.90443066049406
Q9BYD1,-5.08179736869878
Q7Z5N4,-3.28859118986988
Q9BTC8,-3.61986036774782
Q68D91,-4.08764919980998
Q92574,-4.59582740011971
Q9UGN5,-2.42062409634941
Q9NPE3,-3.82565557823355
P06576,-5.36051974578741
Q9H6K5,-4.43560264382028
P63096,-3.8462992676372
Q969R2,-5.92464927204396
Q9BXQ6,-3.30782747543338
Q8N8A6,-3.51067697678479
O43913,-2.81440982012103
Q99856,-2.33621625261092
Q9UI36,-2.322333491409
O14782,-1.97090608013377
Q9H4A3,-4.11529475578969
P49902,-7.47911303595311
Q5SYC1,-4.73226217001755
Q8ND83,-2.89204225151477
O14686,-3.14501251531202
Q9UQB3,-3.36495792664587
Q96PE2,-2.58400302149334
Q8N2K0,-4.46606075891592
Q15262,-2.47316452543119
O60231,-3.44789742690166
P23470,-2.59604973566339
Q8N163,-4.9902231511298
Q9UHG3,-5.60119353523315
O95479,-4.53724649545899
Q96S59,-2.31989385181532
Q9UI30,-3.66750842424501
Q9BRS2,-2.15553342300254
Q9Y2S7,-3.80068821173657
Q8IYT2,-0.809606353241008
P43378,-2.60165333014465
P00387,-4.33427978560057
Q8NEY1,-3.6088011993064
Q76I76,-2.99620685273769
Q8WU79,-3.39826270748873
P07858,-4.9469791346615
O43173,-3.17671142801604
O75489,-5.56991366215546
Q7L523,-4.85100980672758
Q9UHC6,-3.75907276955884
Q02790,-8.05396347824562
Q9Y4H2,-1.69255099109756
P24666,-3.97696460890186
Q9HD26,-3.62154372910144
Q9NUM4,-2.06381412686645
P17980,-7.32098589080576
Q9NSI2,-2.09331509370941
Q15631,-4.60673737740327
Q8N0V4,-3.70439130643607
Q08629,-2.11833371077851
Q9BQ95,-4.73773639709534
O75688,-4.5745899770192
O60216,-4.01304797308235
Q6PI78,-4.95133219900992
Q9NRW7,-4.14932770693567
Q9BWU0,-2.93689509418656
O43292,-3.91652929332687
Q13526,-4.14024650497014
Q9Y6X3,-4.83032621313382
O94776,-2.55068680687116
Q9HBW1,0.803820774465365
A6NNY8,-3.84305415082321
Q9NRF2,-3.94254963586998
Q8N461,-3.45306282710573
Q15386,-4.48254369601392
Q86WA8,-3.26038868237896
Q59EK9,-3.45402904322173
Q92530,-3.49161942950249
P29372,-3.17567209556264
Q9UH73,-1.86187264364054
Q9H2X9,-2.81505709464381
Q96S38,-4.39189206127467
O15417,-1.90071078481959
P49736,-23.2534966642115
O43602,-3.14169062969899
P09471,-6.07177013005807
Q8N126,-6.52130254718664
Q9UI10,-4.2225509144073
Q52WX2,-2.53046440360626
Q9BRP4,-3.5990216406282
Q96EF0,-2.82404733166804
Q5H8A4,-4.29911027240964
Q9HAR2,-2.85826326520867
A8MXV4,-4.14423387711786
P48730,-2.54265717731188
Q9NYB0,-4.44795987536657
Q9H1B7,-2.67989777700355
P18615,-3.02660872935103
O94766,-3.51084775476638
Q6R2W3,-2.41383292028186
Q96F63,-3.55630748701373
Q9HCN4,-3.77557512995432
Q15785,-3.98014987786965
P48664,-2.51339157744538
Q9HCQ5,-2.16639890494736
Q9UHV9,-5.0057627225665
Q9NVG8,-3.19434262387991
P11717,-5.14544413740555
Q09019,-2.49786089364547
Q6ZT07,-2.14926090579815
P56211,-3.5529387778673
Q9BZK7,-2.58676332400427
Q5GH76,-3.89358368882085
Q96AQ6,-5.4340013603487
Q53EL6,-2.81128145725546
Q96AY3,-3.101394432636
P62879,-4.95161420860186
O75127,-3.10831110986334
O95639,-3.5865553718673
Q9Y5I4,-3.98562754796912
P21281,-5.31582438855152
A4D1P6,-4.94449257912652
Q9NVN3,-5.01914226756619
Q15375,-2.49144634768044
Q92871,-5.2516904291306
Q12765,-4.54651163491812
P31629,-2.01153147054943
Q9Y6E2,-4.83798045171535
P50148,-4.98069477673799
O43865,-4.90700041568433
Q96Q42,-4.29547651717006
Q12974,-5.21710887762119
Q9Y2X7,-4.49475045973108
Q9H7B2,-7.21917609331294
Q96IG2,-4.3563804579087
P60880,-4.66562752205219
Q9UGL1,-2.70651425421906
O43252,-2.89854435235767
O43924,-3.03021794376146
Q9H0S4,-5.04102703312229
Q9BQA1,-5.37520486703273
Q6DKI1,-5.48141253056109
P17028,-3.05140998261423
Q15742,-2.35550101731621
Q6ZN54,-1.378173877282
Q8TC07,-4.74627429256471
Q9H2C0,-4.15161832737733
Q5RI15,-4.23810584045009
Q9BYV9,-2.78784155878588
Q13596,-4.78274257203311
Q16560,-5.02330408831311
Q15717,-3.99237061856577
P18433,-3.08339548614046
O94952,-2.44128326915183
Q96EZ8,-3.29293428742137
P04049,-5.26273761428734
Q9UFF9,-4.17011176849723
Q9P2R6,-2.55247189129861
Q6NXR4,-3.12730298564474
O43854,-8.18463908475059
Q9H496,-3.06531040340964
P38117,-5.89399906660492
Q8NI60,-3.82617393642148
Q15771,-3.07090674448994
Q9BZG1,-2.5794587845938
Q9Y6I4,-4.31578345845237
Q86TP1,-4.55047417489952
Q8N6N2,-3.51594633631545
P30086,-8.33926597295975
P15289,-7.17780519183802
Q3YEC7,-5.57156668085342
Q13449,-6.66444736934481
Q92945,-4.20178916769182
Q9Y4F1,-5.54745856846661
Q9UBU9,-3.72849752512872
O95319,-3.2286648870237
P48051,-3.28146880975838
Q92692,-5.19491668324648
Q2KHT3,-2.3190402171872
Q9BW61,-5.52808728965038
P33991,-3.01298610823456
P68106,-3.66542892307754
O94967,-7.87736874383117
Q9Y4X4,-2.75592421311465
Q9BRR6,-5.63198430669715
Q96T76,-4.9650642101388
P49641,-2.37923461177531
Q9NRL3,-4.28502468708457
Q86WB0,-5.4295665019183
Q7L592,-15.009392914566
Q86VW0,-3.42532116819583
Q9P258,-3.98459418848691
Q9P2R3,-5.44268200046149
O60347,0.493715753626015
O00451,-3.08568724999644
Q9Y5F7,-1.41533705525262
P19388,-6.98485938612334
Q6ULP2,-2.42766307338976
Q9UBF2,-5.9808368130388
Q8IV38,-2.96324100725624
Q9BX66,-4.44437379760739
Q96T37,-6.26873696502169
Q8NAV1,-5.81575267616226
Q9Y6D9,-2.75267239446274
Q15904,-5.42765316067315
Q3SXM5,-6.15116358198343
Q5MIZ7,-2.34324099092674
Q9NS39,-0.654814473921599
Q6IS24,-13.097463038721
Q8NF37,-5.1320975138448
Q96S90,-3.89221768522984
P78559,-5.24551448135236
Q9GZR7,-5.43815977133021
Q8IVL0,-4.48242159785836
Q9BZR6,-0.586141615290621
O60291,-3.72323280166765
Q9NX05,-2.37855587225073
Q9BZ72,-3.79125480046983
Q8N5Y2,-5.66514574690858
P04062,-6.07220559729859
P49815,-4.338730998859
Q96RT7,-2.67563698862003
Q9Y2X0,-5.56599785005704
Q9Y2G0,-4.05353804203562
O00487,-6.34948126683679
Q9H3K2,-5.8464514659615
Q8IV32,-2.11358007263387
Q9Y2E5,-6.24278559804441
Q92618,-2.45841869456922
Q8N9R8,-4.82818540874731
Q5JU69,-3.16568071316899
Q08AM6,-5.01749684182987
Q9BTE3,-5.54415567189016
P78356,-4.25297468097533
Q9UBB4,-2.65170543580228
Q643R3,-2.74035205551368
Q9HCD6,-3.3875743176491
P23443,-3.2718949240541
P62847,-5.32080183185145
O00468,-4.13169348311818
Q16827,-3.01552580001151
P62937,-5.88147757572159
Q93050,-4.6395129439833
Q9BSV6,-1.74697486268161
Q9P0K9,3.44215793401888
P51148,-4.25153766751503
O95757,-3.47267034985442
P08579,-4.72872978921699
P62380,-3.61937670872509
O95819,-4.89619518764201
Q9UBI9,-3.45298384832475
Q5GH72,-6.01834357805846
P62263,-5.09590889372309
P78318,-3.18416602240872
O15020,-4.94891701234951
Q8NBJ7,-3.52225352289134
Q8WZ82,-4.96622124468244
O95340,-3.23373111697194
Q5T8D3,-4.16572157192959
O75882,-3.30022814709104
Q12923,-5.68789827870096
Q6DKJ4,-3.96147995219158
Q147X3,-4.47897397368824
Q6P1R4,-3.69467380375254
Q02338,-0.698005237360975
Q2TAL8,-1.59602205742252
O96000,-5.44707455762672
P54098,-5.13573102584335
Q9Y5B9,-7.10215047316851
P30048,-5.92944814183094
Q68CQ4,-4.09167133919213
Q9Y5E9,-4.64739085817944
Q8TCT7,-5.44834392256921
O60245,-3.41193199112261
P43004,-4.86706843897347
Q96K37,-4.13298037022512
Q8TBC5,-4.33476406882605
Q9UKZ9,-4.85921543342193
Q7L2E3,-6.73914797444808
Q13315,-5.65190231332819
A1L020,-3.76935031700442
Q06136,-6.19273436175363
Q9BTU6,-4.27698764918917
P16949,-5.20403120159799
P45974,-5.7526458902016
Q14669,-3.94991385677357
Q92729,-3.21286659590931
Q96NI6,-4.01836858124922
Q9NZ32,-5.17995943832581
P84095,-3.28621560367908
Q8TB52,-2.99637734949804
P19404,-6.44537607794039
Q9UK99,-3.43237581595028
O43169,-5.36736197675021
O15260,-5.98708860307442
Q96FV2,-2.91076231294415
O60318,-4.49907090800036
O75376,-1.61947294996632
A7KAX9,-6.00428736844753
P48651,-3.29287752444862
Q9BRX2,-3.11234065584907
Q86XE3,-5.55738730353658
Q9Y250,-3.23047776718942
O75054,-5.56003078275483
Q6UXD5,-1.46867615644006
Q9H3P2,-4.69689899170113
Q9H7P9,-3.44963303510534
Q9Y6M1,-5.0696746863517
Q0VG06,-4.07743283418944
P15622,-3.35008088936894
Q9ULV4,-5.57276899100589
Q8WU76,-5.9860469961877
Q9UJ14,-5.92745386867603
O00264,-4.21034227385308
O43524,-3.2419881089272
O14730,-1.76808783071556
P00367,-6.67610242464384
P21953,-4.6444078947789
Q16539,-0.0483627456197939
Q5GH73,-4.68383904888905
Q9ULP9,-6.66202982125426
Q9ULI0,-5.94065334393389
Q0VDG4,-5.28080059857533
Q9NPF5,-2.7355010121055
O75970,-4.72024381190329
Q12860,-7.39593825524485
Q96FE5,-5.39052740919027
Q5VSG8,-1.98812076288386
P48729,-3.23799801708291
Q8N5A5,-2.89894119184782
Q9UNH7,-5.60588046299514
O95140,-4.24373966653722
Q1L5Z9,-3.65914047453397
Q9UG01,-10.8102318088845
Q14457,-1.83804889565885
Q96GQ7,-5.73133238501617
Q9HBF4,-4.47973042821476
Q9P0J1,-5.38509085517786
Q13242,-7.42763423289381
P61421,-7.29664741114249
P58004,-6.13717907442579
Q8WVM7,-4.92427815602181
Q8WVZ9,-3.54360283256816
Q9UHK6,-4.65484715037311
Q9NVR5,-10.2146028731797
O15079,-5.77770625247146
Q9Y2I8,-5.95908038191604
O95772,-23.2534966642115
Q9BWD1,-6.97363024947638
Q15560,-1.60620066957713
Q9HCM7,-2.98675759716808
Q15650,-3.4065803008335
O95758,-3.69732785114272
Q14697,-6.82579722166383
Q9UNF0,-5.81947774404723
Q15599,-3.01251274841459
Q9HCG7,-5.48648251381115
O75044,-4.38192425257429
Q02127,-5.74319597822595
P55786,-6.06351922473216
Q9HCD5,-5.40482674192662
Q92520,-3.72126558842684
O94966,-6.44793791287709
Q9UN74,-2.10294756428282
Q9P2N5,-3.6161972535422
Q9Y376,-4.04917299510771
Q9UJF2,-3.64649061144961
Q8IZ21,-4.63981147651529
Q9UID3,-4.64259512554058
Q15545,-1.83063660933815
Q66K64,-2.99572234822531
O95248,-6.56493849505419
Q9C0H2,-5.92840174704923
P82909,-4.42137375617309
Q9P1Z2,-4.16636456242045
Q13394,-2.60254680541356
O75380,-3.65941066258014
O60583,-0.683504330659527
P48067,-2.86915430627211
Q9NYJ8,-4.56750205140798
Q9Y2B0,-5.84580282345904
Q96L34,-3.67293578978622
Q9UPV9,-4.31523314212945
P78352,-4.54385402288217
Q92784,-2.96201524958429
Q86V42,-3.27558131295096
P48634,-3.25500868374763
Q5JU85,-2.1170674396996
Q16629,-4.29269198015451
P34059,-4.30296064427974
Q00403,-3.89099916548406
Q96MP8,-4.26962968426258
Q4J6C6,-5.57669755885527
Q75T13,-5.12749741640137
Q9H019,-4.03526726671103
Q8TEH3,-4.66944376090816
Q15345,-4.83435363364546
Q9Y6V7,-2.30844361889205
Q6PCB7,-3.15522440322745
P62249,-6.62059579911325
P49116,-2.88934564237035
Q8N5H7,-2.91257831977888
Q9Y2D5,-6.91660190858571
P09455,-6.50474636281792
P55795,-3.74933393070146
Q9P0J7,-4.14867412356409
Q6ZSY5,-4.51035733820699
P49419,-8.29509432736385
Q9BZV1,-5.19600752049016
O14828,-3.37806095671219
Q15633,-23.2534966642115
P46019,-23.2534966642115
Q9UI08,-3.54046128022801
O95983,-3.99342045792857
Q92609,-3.47402803465021
Q9H2E6,-4.24004638383017
P18206,-10.0353281196281
Q9H7F0,-3.96865825849941
Q8WZA1,-1.38449434803469
Q13873,-3.11772613837777
Q9H444,-4.96794660772101
O60828,-3.60851515652074
Q92994,-2.95736560409788
O60299,-1.04586524896555
O75643,-5.28904380119535
Q15006,-2.30858079357204
Q9UKE5,-2.75571226035654
Q96JN8,-4.77730836280526
P07948,-23.2534966642115
Q15596,-4.65030242780341
Q9H469,-5.21432500808591
Q8WV41,-5.35810553519846
Q9C0D0,-4.56488148611083
P21912,-23.2534966642115
Q07812,-4.60143200915325
P33316,-5.36974247337445
O00499,-5.78477807583739
P32322,-5.27326720745279
P55769,-5.53043187757066
Q16799,-6.54317874291543
Q9NP90,-2.69323811482942
Q9P265,-5.11207219117208
Q9H2D6,-4.35019591504266
P53804,-3.08539403977986
O43639,-3.63302855820051
Q9NRF8,-5.66035766247006
P55283,-3.00591670492925
Q9GZT9,-3.47639613346583
Q5TF21,-5.94916484977357
P19022,-6.09460878873013
O94813,-5.53973292653958
Q8IYQ7,-7.07363132474049
Q96CW5,-5.21077808585844
O75914,-8.98130552344133
Q969T9,-6.26124028010792
Q9GZN7,-8.94184306065499
Q12770,-6.18989562010765
Q13115,-23.2534966642115
Q5SRE5,-7.61478547860408
P61916,-7.5907992538772
Q92759,-5.5311228875361
O14508,1.88202780690026
Q969R8,0.474704235183854
P36873,-3.5202944053393
O75864,-3.15268818258206
Q9Y2T2,-6.70851681573688
Q8TC26,-5.42358803037256
P82650,-5.98590846947474
Q07889,-6.83428761602619
Q08211,-5.69149501106543
O14787,-5.16451583216619
Q9ULK0,-2.32171023145729
Q9NQV5,3.37672047248547
P20594,-5.14460893179987
Q8IXH7,-4.43868730536135
Q8NEM7,-2.28104936846107
Q6ZT12,-3.96297068404727
Q4V328,-6.08611369634266
Q9HBU6,-2.47682765536553
P62136,-5.61786316613326
P36954,-3.93166276984238
P82933,-4.78560529333736
O00222,-2.13116610042253
O15085,-6.03567415819009
Q9BY11,-2.00293724777022
P78316,-6.09792895439215
Q9H175,1.36324970075764
O95486,-5.86110798013496
Q8IUR7,-5.65944959644146
O75179,-4.10329145292742
P26196,-4.88673758467682
Q96JK2,-2.88542104545942
Q9UGI6,-1.51797031824082
O43741,-3.81834608275408
Q96SB3,-6.21939923086634
P07437,-8.49601701516602
Q6ZVM7,-4.25723331593118
Q9NV06,-2.68250481407934
P22304,-4.40415270179624
Q96KC8,-3.62911651632935
Q6P996,-2.86725605203091
Q8TBA6,-2.54464167683898
Q13002,-0.60094645995404
Q8N6G5,-3.26488033123095
O43155,-2.52898245156599
Q7Z4K8,-3.44815461885639
Q8NFG4,-2.32040739402221
Q9BY77,-4.45856024910915
Q16740,-23.2534966642115
O75037,-7.47624844450627
O95834,-5.4013543183086
Q15878,-4.31314443697845
Q13322,-4.97281733690835
Q9GZP4,-5.38413510383995
Q9P286,-4.55099728310144
O95782,-7.26998769771029
Q76KP1,-3.31937076528379
O14733,-3.69971291990058
Q9BWH6,-4.09086388486489
P17858,-6.06955022536219
P60763,-4.83324271136212
O00750,-3.68710822433363
O75051,-5.24758894331739
Q2TAY7,-5.84888322672069
Q8N608,-5.48788216520777
P08670,-7.63839257568185
Q9BW91,-8.06082218787024
O75746,-6.64106017728165
P62760,-4.55990769002115
Q9NRX4,-11.5369754884399
Q08828,-4.28826587848369
Q14202,-3.5418824033325
P10768,-6.50532271381667
Q9UH99,-3.24792769141837
Q9NVT9,-4.18456166075844
Q8N961,-4.44473550755203
P35080,-7.5061726564755
Q16774,-4.76392326724171
Q9NRG7,-5.64286377751564
Q99873,-5.72307544362389
O15068,-3.21797569255357
P27707,-4.37272902745767
Q7Z3C6,-5.62817231471896
Q16706,-2.8566975076704
Q9NR22,-5.71270214815672
Q96KA5,-5.7352347015891
P35232,-6.28169839365853
Q9NZ63,-2.24283960861443
P06241,-4.37339355517122
O43432,-6.46592151184603
Q8N6H7,-5.04687669044419
O75912,-5.40667665370226
P42694,-3.01703593075773
Q92581,-5.16995162563391
P98175,-3.31873923854124
O94876,-2.0970442847342
Q9C0E8,-5.85247003551005
O76031,-7.5969658370606
Q9GZT4,-5.48546056424256
P20336,-7.36414190406928
Q9NQZ5,-1.55396381622941
Q9P2G1,-5.5592763793173
Q96KG9,-4.92347849464001
O15523,-7.96897820758703
O75347,-6.53950829371051
Q6UN15,-5.72658279070692
Q9P244,-5.28431647933783
Q8N8L6,-2.31258058457411
Q9Y2G5,-1.94025335780924
Q64LD2,-4.12528830551971
Q15120,-4.78373852298266
Q9Y371,-3.15877368029144
Q96ME7,-6.55570912406434
P53680,-7.22722825581516
Q96JQ0,-2.40092659196385
Q9H553,-5.07760063800678
Q86TJ2,-3.70829337403677
O60293,-2.68589075095668
O95870,-4.72927215201488
Q9BQT9,-2.18995769650665
Q96P11,-4.02447975005093
Q96PY6,-3.69861031637886
Q9NT99,-3.7308741030042
O15164,-1.57061127703328
Q92993,-3.54962047932605
O95025,-23.2534966642115
Q8NCB2,-4.25766490508423
P13647,-23.2534966642115
P45954,-5.62788581843291
Q93075,-3.49358908340577
Q8NEY8,-4.32925106678721
Q5JPI3,-4.27296200582578
P49903,-6.74974626962969
Q96T21,-1.74690071149292
Q9C0I3,0.00897742973451801
P36894,-3.85410761716408
Q9NZ94,-4.08971767619016
Q8N335,-4.5719547418916
Q9BXR0,-5.96056964836384
P62314,-7.37365165397872
P62826,-8.99145856861671
Q9ULJ7,-4.31354051240183
Q9P2K2,-23.2534966642115
Q9NRD5,-4.97535307968939
Q13627,-3.33695859257009
O15258,-7.12991326047856
Q969Q5,-3.60644313168883
P09001,-3.63568919836945
Q96I59,-5.97221027417335
