PG.ProteinGroups,P300
Q9GZL7,0.587416773054434
Q13011,-6.58360147388002
Q8IWV8,-3.84702153536191
Q9H0E2,-3.14185108799745
A6NJT0,-1.3754351092855
P51784,-3.02912312752129
P61086,-3.79726462556411
O43151,-2.03994019618243
P46109,-6.30581186015332
Q9HCM3,-3.45924090049698
Q9UHR5,-3.81646025289068
Q5VTL8,-4.10734242912668
Q96RN5,-3.78273891056978
P42892,-2.35362000808108
Q658Y4,-4.79409165238918
Q8TF61,-4.19580583181319
Q96PB7,-1.81262614826983
Q7Z4V5,-8.17391072577944
Q5T7P8,-2.5861079569475
Q9UIF9,-4.9432347650418
O94985,-1.31087403790174
Q9UN75,-3.19055945746016
Q7L775,-3.86023550199694
Q9BQ39,-5.63228767984767
Q7KZ85,-4.3898561688958
P35716,-1.02484993709081
Q9H4M3,-2.95344531291244
Q8IV08,-2.96871641787826
Q9UIC8,-6.41412701618317
P36578,-7.46230278566403
Q6PID6,-2.77016727726708
O94921,-4.07204703446052
Q92785,-2.86998456030005
P30876,-4.07096332405243
O60506,-8.62027801666582
P10586,-2.52190276555012
Q9NP72,-3.51454275372293
Q5JSZ5,-2.76425791585166
O15027,-3.63456511699524
Q06455,-0.831740516034415
A1L0T0,-4.23284280112625
P23743,-3.26470389071113
Q674X7,-3.6944538245659
Q96EY1,-4.21700604992326
O00767,-14.0328763319461
Q92925,-1.6723990982584
Q2V2M9,-2.57236761979198
Q06210,-2.54131465242536
Q9GZN1,-3.01498659881671
Q14344,-4.69748988336518
O75093,-2.86544815587022
Q5ZPR3,-6.69528934199342
P52292,-2.40019993669227
Q96A35,-4.67428551755189
P63244,-5.59724310962064
Q24JP5,-2.15669709391863
O96005,-6.53337487744157
O94812,-1.87434389917026
Q8IUH5,-2.55632337124798
Q8IVU1,-2.97391052324625
Q13772,-2.0530086541977
Q9BY67,-4.11187949150959
P17405,-4.60500734345781
O15213,-4.27186800484244
Q8IWT6,-4.48374633171301
Q9ULN7,-2.50339640974186
P49918,-2.30045208690585
O75190,-2.7674535414139
Q96DE0,-3.73926480450774
Q9NR46,-6.15468272383265
Q53FT3,-4.6890535218622
Q6P1Q0,-5.71998106880307
Q5VTB9,-3.56264348569944
O95057,-4.00714217362852
Q8N0Z6,-4.57814727151781
P09104,-5.40605110125533
Q9HCK5,-3.66950280052925
O95071,-3.31774905230768
O43310,-2.27444598164784
P22303,-2.02719326777181
P27695,-8.66382621459175
Q9UPN6,-2.31666807659467
Q02252,-5.13666789570621
Q86XP3,-3.54790564361625
P31930,-5.55971836639836
Q969G2,-1.42040904642435
Q9P2S2,-3.04723977059307
Q9UHN1,-5.05906942969286
Q86Y82,-2.81803465783563
O43312,-3.33041737565335
P30040,-4.60164293592252
Q9Y4C2,-1.81815472392232
O95864,-3.13259283451829
Q12824,-2.82659301285828
O95996,-2.28577930095634
Q9Y4P1,-7.47574574413415
O43405,-2.03337253684019
P55265,-4.40709502356603
Q96HE7,-7.39483429156225
Q16585,-3.63621281880531
Q9UKC9,-4.09107238481225
Q9NPZ5,-3.19949554698806
O14525,-4.83891199442451
Q13569,-2.25780813519567
P60891,-6.78422722845528
Q9NPH2,-3.63759587031197
Q9NZV5,-2.95044107698583
Q9Y5Z7,-1.99049648464984
P46379,-2.92398851931178
Q9HAT8,-2.54452025229381
Q9HBE1,-1.13745554435734
Q14671,-2.84824221230303
P0CK96,-0.292273332536694
Q9H6T3,-3.12420225991611
Q92529,-3.51901782947762
Q8N766,-5.66863048069286
P62241,-8.2829630849978
Q8NFT8,-1.82297285592334
O15394,-2.63766461186066
Q9NQG5,-3.82748126198041
O43526,-2.19711051356402
Q13951,-4.67635625412269
Q9BX68,-5.77386819524776
O00571,-3.11625201266667
Q9HCG8,-4.14585110021546
P07741,-4.56706867141191
Q9NV31,-2.9752617219807
Q9Y3C6,-6.69700914805946
Q96MY1,-1.80335802196566
P49674,-4.36714226927767
Q719H9,-2.11235042898267
Q9UL15,-7.14864729435602
Q13490,-3.76888202573311
O14735,-5.1298959955006
Q8WV44,-3.05830789679693
Q9ULH0,-5.58763130208215
Q9Y5A7,-1.76461459056539
Q9H3P7,-5.11305099753376
P51116,-2.98146286174724
Q9NWQ8,-3.07157645142831
Q9HCH0,-3.0288276862853
Q86UN3,-2.92865797351213
P14373,-2.21038576240484
Q7L3B6,-0.417079048856043
Q9ULJ6,-1.43467772041029
Q09472,-5.1518406054963
Q16718,-3.57944174290256
Q9Y608,-4.50371306053715
Q96DM3,-2.81755152886135
Q76G19,-1.9315763284348
Q8IVL1,-3.75890228653574
Q15334,-5.28342110619496
Q8NFZ8,-2.39319432843084
Q9UL46,-5.53793551013674
Q5T3F8,-3.00020723832321
P38606,-4.12179846589058
Q9Y3I1,-2.91533479768076
Q8NB37,-2.82779001673332
Q96KQ7,-3.72640692826328
Q99848,-4.10622810514069
Q9BQI5,-3.74117295429149
Q9BRJ6,-5.28250990423148
P07949,-2.73093346008736
O94964,-2.93923851708344
Q8N5J2,-3.51902851827944
P54105,-4.37078113672383
Q9Y2H5,-2.2160497196135
O95848,-6.95468349891354
P52594,-6.98923055276603
P78332,-6.68948988147299
Q12852,-3.10733532087839
O00743,-4.67212874966755
Q684P5,-3.59623886258872
Q9GZS1,-1.23110289143663
Q9NWZ5,-4.41780356084108
P60510,-3.58701364968078
O95297,-5.18510477076116
O15550,-1.98682517178191
Q8N158,-3.88523119396767
Q96N64,-2.89526680422568
Q8IWA4,-4.14360170487403
Q6IEE7,-2.50249034323432
Q9BT67,-2.71859612575874
P13489,-4.5845511684436
P04843,-4.83375748856561
O43683,-4.2478915530976
Q9BV68,-4.47640071361978
O94856,-3.5605848228743
Q96SW2,-3.50160159295127
Q96CX2,-2.58698647795718
Q9BRD0,-3.0696434041762
Q2TBE0,-2.544037756964
O15270,-3.27637111884955
Q9Y4F5,-2.506898114121
P52756,-4.13839194819212
Q53T59,-6.13453784006446
O94829,-3.68353565847457
Q9Y5X1,-5.40266448406835
Q9NRN7,-2.88214263758736
P00441,-5.5691725740479
Q9H5H4,-4.06881135814076
Q9Y2I1,-3.363080587352
Q9H6U8,-4.59200179057359
P11413,-4.61127201094179
P35568,-3.08788986398064
Q96JJ6,-2.37454083182315
Q86SK9,-2.3649809817759
Q9UPU3,-2.06337820352101
O14522,-2.75792358391432
Q8NEU8,-5.1987627783066
Q9H857,-3.89256903605185
Q9H2V7,-3.41864962785551
Q5TCY1,-3.50891125775887
Q14728,-4.48060085251762
P62979,-2.36023061711854
P47756,-4.07005235378855
P22694,-3.74305141618304
Q9BYP7,-4.01289782315359
Q9C0J8,-2.40323749189038
Q9C0D9,-23.2534966642115
P51149,-6.90992390951363
O95487,-5.3360740138313
P49840,-4.040310286116
Q9BWM7,-4.02770527456834
Q5TGY3,-3.43504032252939
P28799,-0.00145353407478944
Q5TGI0,-3.55231120969864
